Localidade;Ano;PopulacaoEstimada0-4;PopulacaoEstimada5-9;PopulacaoEstimada10-14;PopulacaoEstimada15-19;PopulacaoEstimada20-29;PopulacaoEstimada30-39;PopulacaoEstimada40-49;PopulacaoEstimada50-59;PopulacaoEstimada60-69;PopulacaoEstimada70-79;PopulacaoEstimada80
Abadiânia;2008;1164;1216;1164;1078;2199;2140;1704;1159;757;458;170
Abadiânia;2009;1141;1224;1174;1103;2181;2154;1789;1201;768;474;181
Abadiânia;2011;;;;;;;;;;;
Abadiânia;2012;;;;;;;;;;;
Abadiânia;2013;;;;;;;;;;;
Abadiânia;2014;;;;;;;;;;;
Abadiânia;2015;;;;;;;;;;;
Abadiânia;2016;;;;;;;;;;;
Abadiânia;2017;;;;;;;;;;;
Abadiânia;2018;;;;;;;;;;;
Abadiânia;2019;;;;;;;;;;;
Acreúna;1992;;;;;;;;;;;
Acreúna;1993;;;;;;;;;;;
Acreúna;1994;;;;;;;;;;;
Acreúna;1995;;;;;;;;;;;
Acreúna;1997;;;;;;;;;;;
Acreúna;1998;;;;;;;;;;;
Acreúna;1999;;;;;;;;;;;
Acreúna;2001;1852;1835;1998;1917;3529;3098;2079;1277;753;340;117
Acreúna;2002;1892;1874;2040;1958;3605;3165;2123;1304;769;347;120
Acreúna;2003;1932;1914;2083;2000;3682;3233;2169;1332;785;355;122
Acreúna;2004;1973;1954;2128;2041;3760;3301;2214;1359;802;362;125
Acreúna;2005;2066;2045;2228;2136;3936;3455;2318;1423;839;379;131
Acreúna;2006;2114;2094;2278;2186;4026;3534;2371;1456;858;387;134
Acreúna;2008;1668;1785;1686;1723;3522;3144;2532;1536;938;463;176
Acreúna;2009;1616;1784;1685;1677;3524;3164;2570;1594;963;482;185
Acreúna;2011;;;;;;;;;;;
Acreúna;2012;;;;;;;;;;;
Acreúna;2013;;;;;;;;;;;
Acreúna;2014;;;;;;;;;;;
Acreúna;2015;;;;;;;;;;;
Acreúna;2016;;;;;;;;;;;
Acreúna;2017;;;;;;;;;;;
Acreúna;2018;;;;;;;;;;;
Acreúna;2019;;;;;;;;;;;
Adelândia;1992;;;;;;;;;;;
Adelândia;1993;;;;;;;;;;;
Adelândia;1994;;;;;;;;;;;
Adelândia;1995;;;;;;;;;;;
Adelândia;1997;;;;;;;;;;;
Adelândia;1998;;;;;;;;;;;
Adelândia;1999;;;;;;;;;;;
Adelândia;2001;224;239;252;263;411;357;309;210;143;74;22
Adelândia;2002;222;235;249;261;408;355;307;208;143;74;22
Adelândia;2003;224;239;252;263;410;356;309;209;143;74;22
Adelândia;2004;225;239;252;263;412;358;311;210;144;74;22
Adelândia;2005;227;240;254;266;417;362;313;212;145;76;23
Adelândia;2006;227;244;256;268;419;364;315;214;146;76;23
Adelândia;2008;200;207;206;207;442;371;350;278;185;108;42
Adelândia;2009;201;211;207;208;430;370;352;293;189;112;47
Adelândia;2011;;;;;;;;;;;
Adelândia;2012;;;;;;;;;;;
Adelândia;2013;;;;;;;;;;;
Adelândia;2014;;;;;;;;;;;
Adelândia;2015;;;;;;;;;;;
Adelândia;2016;;;;;;;;;;;
Adelândia;2017;;;;;;;;;;;
Adelândia;2018;;;;;;;;;;;
Adelândia;2019;;;;;;;;;;;
Água Fria de Goiás;1992;;;;;;;;;;;
Água Fria de Goiás;1993;;;;;;;;;;;
Água Fria de Goiás;1994;;;;;;;;;;;
Água Fria de Goiás;1995;;;;;;;;;;;
Água Fria de Goiás;1997;;;;;;;;;;;
Água Fria de Goiás;1998;;;;;;;;;;;
Água Fria de Goiás;1999;;;;;;;;;;;
Água Fria de Goiás;2001;466;471;505;507;778;657;469;353;213;73;30
Água Fria de Goiás;2002;471;478;511;513;786;664;474;357;215;74;31
Água Fria de Goiás;2003;476;483;517;518;794;671;478;361;217;74;31
Água Fria de Goiás;2004;481;487;522;523;802;678;484;365;219;75;31
Água Fria de Goiás;2005;493;498;535;536;821;694;495;373;224;77;32
Água Fria de Goiás;2006;498;503;541;542;831;702;501;377;227;78;32
Água Fria de Goiás;2008;511;483;452;471;964;773;652;446;301;145;45
Água Fria de Goiás;2009;505;497;450;462;979;783;675;460;311;155;48
Água Fria de Goiás;2011;;;;;;;;;;;
Água Fria de Goiás;2012;;;;;;;;;;;
Água Fria de Goiás;2013;;;;;;;;;;;
Água Fria de Goiás;2014;;;;;;;;;;;
Água Fria de Goiás;2015;;;;;;;;;;;
Água Fria de Goiás;2016;;;;;;;;;;;
Água Fria de Goiás;2017;;;;;;;;;;;
Água Fria de Goiás;2018;;;;;;;;;;;
Água Fria de Goiás;2019;;;;;;;;;;;
Água Limpa;1992;;;;;;;;;;;
Água Limpa;1993;;;;;;;;;;;
Água Limpa;1994;;;;;;;;;;;
Água Limpa;1995;;;;;;;;;;;
Água Limpa;1997;;;;;;;;;;;
Água Limpa;1998;;;;;;;;;;;
Água Limpa;1999;;;;;;;;;;;
Água Limpa;2001;215;210;216;179;368;352;254;227;125;63;29
Água Limpa;2002;216;210;216;181;372;355;256;229;126;64;30
Água Limpa;2003;219;212;219;182;376;360;259;231;128;64;30
Água Limpa;2004;221;215;221;185;380;364;262;234;129;65;30
Água Limpa;2005;227;221;226;189;391;373;269;240;133;67;31
Água Limpa;2006;229;222;229;192;395;378;272;242;134;67;32
Água Limpa;2008;169;175;167;172;315;321;301;215;172;76;38
Água Limpa;2009;163;170;162;167;316;315;302;216;177;81;38
Água Limpa;2011;;;;;;;;;;;
Água Limpa;2012;;;;;;;;;;;
Água Limpa;2013;;;;;;;;;;;
Água Limpa;2014;;;;;;;;;;;
Água Limpa;2015;;;;;;;;;;;
Água Limpa;2016;;;;;;;;;;;
Água Limpa;2017;;;;;;;;;;;
Água Limpa;2018;;;;;;;;;;;
Água Limpa;2019;;;;;;;;;;;
Águas Lindas de Goiás;1992;;;;;;;;;;;
Águas Lindas de Goiás;1993;;;;;;;;;;;
Águas Lindas de Goiás;1994;;;;;;;;;;;
Águas Lindas de Goiás;1995;;;;;;;;;;;
Águas Lindas de Goiás;1997;;;;;;;;;;;
Águas Lindas de Goiás;1998;;;;;;;;;;;
Águas Lindas de Goiás;1999;;;;;;;;;;;
Águas Lindas de Goiás;2001;18230;15253;11240;10324;25551;19836;8394;4320;2012;710;253
Águas Lindas de Goiás;2002;19425;16253;11976;11001;27225;21135;8944;4603;2144;756;269
Águas Lindas de Goiás;2003;20735;17348;12785;11744;29062;22561;9548;4913;2289;807;287
Águas Lindas de Goiás;2004;22041;18442;13589;12483;30893;23982;10149;5224;2432;857;305
Águas Lindas de Goiás;2005;25008;20924;15419;14163;35050;27210;11514;5926;2760;973;346
Águas Lindas de Goiás;2006;26519;22188;16351;15019;37168;28854;12211;6284;2926;1032;367
Águas Lindas de Goiás;2008;18868;16102;14572;14111;27030;29147;13064;4382;1682;647;199
Águas Lindas de Goiás;2009;18872;16314;14644;14827;27563;29907;14073;4471;1668;643;196
Águas Lindas de Goiás;2011;;;;;;;;;;;
Águas Lindas de Goiás;2012;;;;;;;;;;;
Águas Lindas de Goiás;2013;;;;;;;;;;;
Águas Lindas de Goiás;2014;;;;;;;;;;;
Águas Lindas de Goiás;2015;;;;;;;;;;;
Águas Lindas de Goiás;2016;;;;;;;;;;;
Águas Lindas de Goiás;2017;;;;;;;;;;;
Águas Lindas de Goiás;2018;;;;;;;;;;;
Águas Lindas de Goiás;2019;;;;;;;;;;;
Alexânia;1992;;;;;;;;;;;
Alexânia;1993;;;;;;;;;;;
Alexânia;1994;;;;;;;;;;;
Alexânia;1995;;;;;;;;;;;
Alexânia;1997;;;;;;;;;;;
Alexânia;1998;;;;;;;;;;;
Alexânia;1999;;;;;;;;;;;
Alexânia;2001;2246;2143;2060;2177;3830;2825;2054;1454;1036;497;183
Alexânia;2002;2279;2173;2090;2207;3886;2866;2083;1475;1051;504;186
Alexânia;2003;2317;2209;2124;2243;3951;2914;2118;1500;1069;512;189
Alexânia;2004;2355;2247;2159;2282;4016;2962;2153;1525;1086;522;192
Alexânia;2005;2441;2330;2240;2364;4164;3071;2232;1581;1126;540;199
Alexânia;2006;2486;2371;2279;2407;4238;3126;2272;1610;1147;550;203
Alexânia;2008;2033;2071;1911;1811;3711;3187;2319;1663;1076;624;255
Alexânia;2009;1965;2076;1901;1805;3651;3255;2363;1700;1081;644;267
Alexânia;2011;;;;;;;;;;;
Alexânia;2012;;;;;;;;;;;
Alexânia;2013;;;;;;;;;;;
Alexânia;2014;;;;;;;;;;;
Alexânia;2015;;;;;;;;;;;
Alexânia;2016;;;;;;;;;;;
Alexânia;2017;;;;;;;;;;;
Alexânia;2018;;;;;;;;;;;
Alexânia;2019;;;;;;;;;;;
Aloândia;1992;;;;;;;;;;;
Aloândia;1993;;;;;;;;;;;
Aloândia;1994;;;;;;;;;;;
Aloândia;1995;;;;;;;;;;;
Aloândia;1997;;;;;;;;;;;
Aloândia;1998;;;;;;;;;;;
Aloândia;1999;;;;;;;;;;;
Aloândia;2001;166;167;167;174;353;323;259;223;159;97;50
Aloândia;2002;168;168;169;175;356;325;261;224;159;99;51
Aloândia;2003;171;172;171;178;358;327;262;225;160;99;51
Aloândia;2004;171;172;172;179;360;329;263;227;161;99;51
Aloândia;2005;173;173;174;180;366;333;267;230;163;101;52
Aloândia;2006;174;175;175;183;368;337;269;231;164;102;52
Aloândia;2008;134;143;142;141;311;337;306;237;189;115;66
Aloândia;2009;124;141;139;138;303;335;311;241;193;115;68
Aloândia;2011;;;;;;;;;;;
Aloândia;2012;;;;;;;;;;;
Aloândia;2013;;;;;;;;;;;
Aloândia;2014;;;;;;;;;;;
Aloândia;2015;;;;;;;;;;;
Aloândia;2016;;;;;;;;;;;
Aloândia;2017;;;;;;;;;;;
Aloândia;2018;;;;;;;;;;;
Aloândia;2019;;;;;;;;;;;
Alto Horizonte;1992;;;;;;;;;;;
Alto Horizonte;1993;;;;;;;;;;;
Alto Horizonte;1994;;;;;;;;;;;
Alto Horizonte;1995;;;;;;;;;;;
Alto Horizonte;1997;;;;;;;;;;;
Alto Horizonte;1998;;;;;;;;;;;
Alto Horizonte;1999;;;;;;;;;;;
Alto Horizonte;2001;250;251;256;266;464;421;284;211;126;63;23
Alto Horizonte;2002;252;256;261;271;471;427;288;214;127;64;24
Alto Horizonte;2003;257;257;263;275;478;434;292;217;129;65;24
Alto Horizonte;2004;262;262;267;279;485;440;296;221;131;66;25
Alto Horizonte;2005;270;272;276;288;501;455;307;228;135;68;25
Alto Horizonte;2006;275;276;281;292;509;463;311;231;138;70;26
Alto Horizonte;2008;267;290;269;265;557;541;467;321;201;96;44
Alto Horizonte;2009;263;295;277;266;560;550;492;332;212;103;47
Alto Horizonte;2011;;;;;;;;;;;
Alto Horizonte;2012;;;;;;;;;;;
Alto Horizonte;2013;;;;;;;;;;;
Alto Horizonte;2014;;;;;;;;;;;
Alto Horizonte;2015;;;;;;;;;;;
Alto Horizonte;2016;;;;;;;;;;;
Alto Horizonte;2017;;;;;;;;;;;
Alto Horizonte;2018;;;;;;;;;;;
Alto Horizonte;2019;;;;;;;;;;;
Alto Paraíso de Goiás;1992;;;;;;;;;;;
Alto Paraíso de Goiás;1993;;;;;;;;;;;
Alto Paraíso de Goiás;1994;;;;;;;;;;;
Alto Paraíso de Goiás;1995;;;;;;;;;;;
Alto Paraíso de Goiás;1997;;;;;;;;;;;
Alto Paraíso de Goiás;1998;;;;;;;;;;;
Alto Paraíso de Goiás;1999;;;;;;;;;;;
Alto Paraíso de Goiás;2001;764;729;825;763;1129;866;652;348;211;90;38
Alto Paraíso de Goiás;2002;786;751;849;786;1162;890;671;358;216;93;40
Alto Paraíso de Goiás;2003;809;773;874;809;1196;916;690;369;223;95;41
Alto Paraíso de Goiás;2004;832;794;899;833;1229;942;710;378;229;98;42
Alto Paraíso de Goiás;2005;884;845;955;884;1307;1002;754;403;244;104;44
Alto Paraíso de Goiás;2006;911;869;985;911;1347;1032;778;414;251;108;46
Alto Paraíso de Goiás;2008;794;786;672;671;1346;977;730;479;263;143;52
Alto Paraíso de Goiás;2009;775;799;680;646;1358;1005;754;492;270;147;56
Alto Paraíso de Goiás;2011;;;;;;;;;;;
Alto Paraíso de Goiás;2012;;;;;;;;;;;
Alto Paraíso de Goiás;2013;;;;;;;;;;;
Alto Paraíso de Goiás;2014;;;;;;;;;;;
Alto Paraíso de Goiás;2015;;;;;;;;;;;
Alto Paraíso de Goiás;2016;;;;;;;;;;;
Alto Paraíso de Goiás;2017;;;;;;;;;;;
Alto Paraíso de Goiás;2018;;;;;;;;;;;
Alto Paraíso de Goiás;2019;;;;;;;;;;;
Alvorada do Norte;1992;;;;;;;;;;;
Alvorada do Norte;1993;;;;;;;;;;;
Alvorada do Norte;1994;;;;;;;;;;;
Alvorada do Norte;1995;;;;;;;;;;;
Alvorada do Norte;1997;;;;;;;;;;;
Alvorada do Norte;1998;;;;;;;;;;;
Alvorada do Norte;1999;;;;;;;;;;;
Alvorada do Norte;2001;778;799;938;948;1348;1021;724;461;333;145;70
Alvorada do Norte;2002;783;804;943;953;1353;1024;726;463;335;145;70
Alvorada do Norte;2003;783;804;943;953;1355;1026;728;464;335;146;70
Alvorada do Norte;2004;784;805;948;958;1358;1028;730;465;336;146;71
Alvorada do Norte;2005;788;809;951;962;1365;1033;733;467;338;147;71
Alvorada do Norte;2006;792;813;953;963;1369;1036;735;469;338;148;71
Alvorada do Norte;2008;855;877;777;797;1689;1216;966;631;414;250;98
Alvorada do Norte;2009;833;900;780;768;1688;1255;983;666;427;263;104
Alvorada do Norte;2011;;;;;;;;;;;
Alvorada do Norte;2012;;;;;;;;;;;
Alvorada do Norte;2013;;;;;;;;;;;
Alvorada do Norte;2014;;;;;;;;;;;
Alvorada do Norte;2015;;;;;;;;;;;
Alvorada do Norte;2016;;;;;;;;;;;
Alvorada do Norte;2017;;;;;;;;;;;
Alvorada do Norte;2018;;;;;;;;;;;
Alvorada do Norte;2019;;;;;;;;;;;
Amaralina;1992;;;;;;;;;;;
Amaralina;1993;;;;;;;;;;;
Amaralina;1994;;;;;;;;;;;
Amaralina;1995;;;;;;;;;;;
Amaralina;1997;;;;;;;;;;;
Amaralina;1998;;;;;;;;;;;
Amaralina;1999;;;;;;;;;;;
Amaralina;2001;277;353;348;316;457;496;362;224;152;80;14
Amaralina;2002;277;353;348;316;457;496;363;225;152;80;14
Amaralina;2003;277;354;350;316;458;498;363;226;153;80;14
Amaralina;2004;280;358;353;321;459;498;364;226;154;80;14
Amaralina;2005;281;358;353;321;461;500;366;227;154;82;14
Amaralina;2006;282;358;353;321;462;502;366;228;154;82;14
Amaralina;2008;303;290;332;350;614;500;573;344;198;113;45
Amaralina;2009;301;297;317;352;627;511;583;364;205;118;47
Amaralina;2011;;;;;;;;;;;
Amaralina;2012;;;;;;;;;;;
Amaralina;2013;;;;;;;;;;;
Amaralina;2014;;;;;;;;;;;
Amaralina;2015;;;;;;;;;;;
Amaralina;2016;;;;;;;;;;;
Amaralina;2017;;;;;;;;;;;
Amaralina;2018;;;;;;;;;;;
Amaralina;2019;;;;;;;;;;;
Americano do Brasil;1992;;;;;;;;;;;
Americano do Brasil;1993;;;;;;;;;;;
Americano do Brasil;1994;;;;;;;;;;;
Americano do Brasil;1995;;;;;;;;;;;
Americano do Brasil;1997;;;;;;;;;;;
Americano do Brasil;1998;;;;;;;;;;;
Americano do Brasil;1999;;;;;;;;;;;
Americano do Brasil;2001;426;418;492;492;841;749;601;403;310;148;53
Americano do Brasil;2002;426;418;492;492;843;751;603;405;310;148;53
Americano do Brasil;2003;426;418;492;492;845;753;603;405;312;148;53
Americano do Brasil;2004;428;420;497;497;846;753;605;405;312;149;53
Americano do Brasil;2005;431;423;497;497;849;756;607;407;312;149;53
Americano do Brasil;2006;431;423;497;497;850;757;607;407;314;149;54
Americano do Brasil;2008;358;402;360;368;804;730;672;513;314;211;79
Americano do Brasil;2009;342;398;367;355;789;730;676;523;322;215;85
Americano do Brasil;2011;;;;;;;;;;;
Americano do Brasil;2012;;;;;;;;;;;
Americano do Brasil;2013;;;;;;;;;;;
Americano do Brasil;2014;;;;;;;;;;;
Americano do Brasil;2015;;;;;;;;;;;
Americano do Brasil;2016;;;;;;;;;;;
Americano do Brasil;2017;;;;;;;;;;;
Americano do Brasil;2018;;;;;;;;;;;
Americano do Brasil;2019;;;;;;;;;;;
Amorinópolis;1992;;;;;;;;;;;
Amorinópolis;1993;;;;;;;;;;;
Amorinópolis;1994;;;;;;;;;;;
Amorinópolis;1995;;;;;;;;;;;
Amorinópolis;1997;;;;;;;;;;;
Amorinópolis;1998;;;;;;;;;;;
Amorinópolis;1999;;;;;;;;;;;
Amorinópolis;2001;300;348;398;368;700;660;507;375;278;121;51
Amorinópolis;2002;298;347;398;368;696;656;504;373;276;120;50
Amorinópolis;2003;298;344;393;365;692;652;500;370;274;120;50
Amorinópolis;2004;294;342;392;363;686;648;497;368;272;118;50
Amorinópolis;2005;290;337;385;356;676;637;489;362;268;117;49
Amorinópolis;2006;288;334;382;354;670;633;485;359;266;116;48
Amorinópolis;2008;225;234;248;291;590;550;535;400;253;162;61
Amorinópolis;2009;211;230;232;274;581;543;526;402;259;160;62
Amorinópolis;2011;;;;;;;;;;;
Amorinópolis;2012;;;;;;;;;;;
Amorinópolis;2013;;;;;;;;;;;
Amorinópolis;2014;;;;;;;;;;;
Amorinópolis;2015;;;;;;;;;;;
Amorinópolis;2016;;;;;;;;;;;
Amorinópolis;2017;;;;;;;;;;;
Amorinópolis;2018;;;;;;;;;;;
Amorinópolis;2019;;;;;;;;;;;
Anápolis;1992;;;;;;;;;;;
Anápolis;1993;;;;;;;;;;;
Anápolis;1994;;;;;;;;;;;
Anápolis;1995;;;;;;;;;;;
Anápolis;1997;;;;;;;;;;;
Anápolis;1998;;;;;;;;;;;
Anápolis;1999;;;;;;;;;;;
Anápolis;2001;26839;26790;28136;29216;54076;46853;34302;20803;12883;6582;2335
Anápolis;2002;27273;27221;28590;29686;54949;47609;34856;21139;13091;6688;2372
Anápolis;2003;27708;27655;29045;30160;55826;48369;35411;21476;13300;6794;2410
Anápolis;2004;28142;28089;29500;30632;56699;49126;35966;21812;13508;6900;2448
Anápolis;2005;29127;29071;30533;31704;58682;50844;37223;22575;13980;7142;2534
Anápolis;2006;29627;29572;31058;32249;59692;51719;37864;22963;14221;7265;2577
Anápolis;2008;26574;28461;28182;28875;61009;53138;44683;30117;17162;9196;3932
Anápolis;2009;25977;28650;28302;28819;61178;54287;45638;31427;17928;9586;4164
Anápolis;2011;;;;;;;;;;;
Anápolis;2012;;;;;;;;;;;
Anápolis;2013;;;;;;;;;;;
Anápolis;2014;;;;;;;;;;;
Anápolis;2015;;;;;;;;;;;
Anápolis;2016;;;;;;;;;;;
Anápolis;2017;;;;;;;;;;;
Anápolis;2018;;;;;;;;;;;
Anápolis;2019;;;;;;;;;;;
Anhanguera;1992;;;;;;;;;;;
Anhanguera;1993;;;;;;;;;;;
Anhanguera;1994;;;;;;;;;;;
Anhanguera;1995;;;;;;;;;;;
Anhanguera;1997;;;;;;;;;;;
Anhanguera;1998;;;;;;;;;;;
Anhanguera;1999;;;;;;;;;;;
Anhanguera;2001;66;79;85;90;148;123;111;90;53;34;9
Anhanguera;2002;66;79;85;90;150;125;113;91;53;34;9
Anhanguera;2003;66;79;85;90;152;127;114;91;53;34;9
Anhanguera;2004;66;79;85;90;152;127;115;92;53;34;9
Anhanguera;2005;66;79;85;90;152;127;115;93;54;34;9
Anhanguera;2006;66;79;85;90;153;127;115;93;54;34;9
Anhanguera;2008;60;66;69;73;174;145;134;131;85;47;23
Anhanguera;2009;63;69;72;77;168;146;137;135;93;44;24
Anhanguera;2011;;;;;;;;;;;
Anhanguera;2012;;;;;;;;;;;
Anhanguera;2013;;;;;;;;;;;
Anhanguera;2014;;;;;;;;;;;
Anhanguera;2015;;;;;;;;;;;
Anhanguera;2016;;;;;;;;;;;
Anhanguera;2017;;;;;;;;;;;
Anhanguera;2018;;;;;;;;;;;
Anhanguera;2019;;;;;;;;;;;
Anicuns;1992;;;;;;;;;;;
Anicuns;1993;;;;;;;;;;;
Anicuns;1994;;;;;;;;;;;
Anicuns;1995;;;;;;;;;;;
Anicuns;1997;;;;;;;;;;;
Anicuns;1998;;;;;;;;;;;
Anicuns;1999;;;;;;;;;;;
Anicuns;2001;1510;1789;1840;1858;3422;3031;2223;1525;990;478;181
Anicuns;2002;1513;1789;1840;1858;3426;3035;2225;1527;992;479;181
Anicuns;2003;1516;1794;1845;1863;3436;3044;2232;1532;994;480;182
Anicuns;2004;1520;1799;1851;1869;3446;3053;2238;1536;997;481;182
Anicuns;2005;1531;1811;1864;1883;3468;3072;2252;1546;1003;485;183
Anicuns;2006;1536;1818;1870;1888;3480;3082;2259;1551;1006;486;184
Anicuns;2008;1244;1280;1410;1548;3138;2971;2583;1821;1201;643;271
Anicuns;2009;1197;1274;1330;1514;3108;2960;2600;1865;1227;676;282
Anicuns;2011;;;;;;;;;;;
Anicuns;2012;;;;;;;;;;;
Anicuns;2013;;;;;;;;;;;
Anicuns;2014;;;;;;;;;;;
Anicuns;2015;;;;;;;;;;;
Anicuns;2016;;;;;;;;;;;
Anicuns;2017;;;;;;;;;;;
Anicuns;2018;;;;;;;;;;;
Anicuns;2019;;;;;;;;;;;
Aparecida de Goiânia;1992;;;;;;;;;;;
Aparecida de Goiânia;1993;;;;;;;;;;;
Aparecida de Goiânia;1994;;;;;;;;;;;
Aparecida de Goiânia;1995;;;;;;;;;;;
Aparecida de Goiânia;1997;;;;;;;;;;;
Aparecida de Goiânia;1998;;;;;;;;;;;
Aparecida de Goiânia;1999;;;;;;;;;;;
Aparecida de Goiânia;2001;39126;37985;36882;37616;73003;59566;36940;18808;9948;4003;1294
Aparecida de Goiânia;2002;40716;39530;38382;39148;75972;61989;38443;19573;10353;4165;1347
Aparecida de Goiânia;2003;42414;41178;39983;40780;79141;64575;40047;20389;10784;4339;1403
Aparecida de Goiânia;2004;44108;42824;41580;42408;82303;67154;41646;21203;11215;4512;1459
Aparecida de Goiânia;2005;47954;46557;45205;46106;89477;73009;45277;23052;12192;4906;1587
Aparecida de Goiânia;2006;49913;48460;47051;47988;93133;75991;47126;23993;12691;5107;1651
Aparecida de Goiânia;2008;46940;46440;45821;47413;100656;88030;60141;33798;15985;7254;2441
Aparecida de Goiânia;2009;46867;47605;46400;48544;102984;91998;63059;35952;17008;7742;2611
Aparecida de Goiânia;2011;;;;;;;;;;;
Aparecida de Goiânia;2012;;;;;;;;;;;
Aparecida de Goiânia;2013;;;;;;;;;;;
Aparecida de Goiânia;2014;;;;;;;;;;;
Aparecida de Goiânia;2015;;;;;;;;;;;
Aparecida de Goiânia;2016;;;;;;;;;;;
Aparecida de Goiânia;2017;;;;;;;;;;;
Aparecida de Goiânia;2018;;;;;;;;;;;
Aparecida de Goiânia;2019;;;;;;;;;;;
Aparecida do Rio Doce;1992;;;;;;;;;;;
Aparecida do Rio Doce;1993;;;;;;;;;;;
Aparecida do Rio Doce;1994;;;;;;;;;;;
Aparecida do Rio Doce;1995;;;;;;;;;;;
Aparecida do Rio Doce;1997;;;;;;;;;;;
Aparecida do Rio Doce;1998;;;;;;;;;;;
Aparecida do Rio Doce;1999;;;;;;;;;;;
Aparecida do Rio Doce;2001;228;252;225;263;437;378;263;192;123;69;29
Aparecida do Rio Doce;2002;233;257;230;269;447;385;269;196;126;70;29
Aparecida do Rio Doce;2003;238;262;234;275;455;394;274;200;128;71;30
Aparecida do Rio Doce;2004;243;267;239;280;464;401;280;204;131;73;30
Aparecida do Rio Doce;2005;254;280;249;293;485;419;292;213;137;76;32
Aparecida do Rio Doce;2006;260;285;256;299;496;428;298;217;139;78;32
Aparecida do Rio Doce;2008;245;242;256;255;506;440;358;242;164;77;45
Aparecida do Rio Doce;2009;238;243;246;261;517;444;378;248;166;85;44
Aparecida do Rio Doce;2011;;;;;;;;;;;
Aparecida do Rio Doce;2012;;;;;;;;;;;
Aparecida do Rio Doce;2013;;;;;;;;;;;
Aparecida do Rio Doce;2014;;;;;;;;;;;
Aparecida do Rio Doce;2015;;;;;;;;;;;
Aparecida do Rio Doce;2016;;;;;;;;;;;
Aparecida do Rio Doce;2017;;;;;;;;;;;
Aparecida do Rio Doce;2018;;;;;;;;;;;
Aparecida do Rio Doce;2019;;;;;;;;;;;
Aporé;1992;;;;;;;;;;;
Aporé;1993;;;;;;;;;;;
Aporé;1994;;;;;;;;;;;
Aporé;1995;;;;;;;;;;;
Aporé;1997;;;;;;;;;;;
Aporé;1998;;;;;;;;;;;
Aporé;1999;;;;;;;;;;;
Aporé;2001;302;335;360;360;551;589;386;282;175;70;25
Aporé;2002;303;337;362;363;553;591;386;282;176;70;25
Aporé;2003;306;340;365;365;554;593;388;283;177;70;25
Aporé;2004;307;340;365;365;556;595;389;284;177;71;25
Aporé;2005;308;342;368;368;561;599;392;286;178;71;26
Aporé;2006;309;345;370;369;563;602;394;287;180;72;26
Aporé;2008;287;273;280;320;640;560;556;358;244;124;42
Aporé;2009;278;271;269;308;664;548;569;370;254;130;45
Aporé;2011;;;;;;;;;;;
Aporé;2012;;;;;;;;;;;
Aporé;2013;;;;;;;;;;;
Aporé;2014;;;;;;;;;;;
Aporé;2015;;;;;;;;;;;
Aporé;2016;;;;;;;;;;;
Aporé;2017;;;;;;;;;;;
