Localidade;Ano;LigacoesAgua;PercentualPopulacaoAtendidaAgua
Nova Veneza;2003;1686;
Nova Veneza;2004;1732;
Nova Veneza;2005;1784;97,91
Nova Veneza;2006;1844;98,71
Nova Veneza;2007;1964;100
Nova Veneza;2008;2076;100
Nova Veneza;2009;2131;100
Nova Veneza;2010;2182;96,6
Nova Veneza;2011;2241;93,95
Nova Veneza;2012;2287;94,7
Nova Veneza;2013;2348;91,1
Nova Veneza;2014;2444;94,1
Nova Veneza;2015;2560;96,7
Nova Veneza;2016;2677;100
Nova Veneza;2017;2763;100
Nova Veneza;2018;2871;100
Novo Brasil;2000;1015;
Novo Brasil;2001;1048;
Novo Brasil;2002;1071;
Novo Brasil;2003;1075;
Novo Brasil;2004;1066;
Novo Brasil;2005;1059;71,46
Novo Brasil;2006;1075;72,67
Novo Brasil;2007;1101;94,44
Novo Brasil;2008;1134;95,1
Novo Brasil;2009;1163;95,7
Novo Brasil;2010;1185;96,3
Novo Brasil;2011;1208;98,44
Novo Brasil;2012;1229;98,51
Novo Brasil;2013;1287;98,52
Novo Brasil;2014;1331;99,2
Novo Brasil;2015;1344;100
Novo Brasil;2016;1360;100
Novo Brasil;2017;1388;100
Novo Brasil;2018;1420;100
Novo Gama;2000;8053;
Novo Gama;2001;8574;
Novo Gama;2002;12549;
Novo Gama;2003;12861;
Novo Gama;2004;12994;
Novo Gama;2005;12877;67,68
Novo Gama;2006;14793;71,31
Novo Gama;2007;16806;85,19
Novo Gama;2008;17512;84,27
Novo Gama;2009;18478;87
Novo Gama;2010;19987;85,7
Novo Gama;2011;21495;87,38
Novo Gama;2012;23501;93,6
Novo Gama;2013;25162;92,7
Novo Gama;2014;26507;96,5
Novo Gama;2015;27327;97,5
Novo Gama;2016;27995;97,8
Novo Gama;2017;28454;97,5
Novo Gama;2018;28942;97,3
Novo Planalto;2000;786;
Novo Planalto;2001;814;
Novo Planalto;2002;827;
Novo Planalto;2003;890;
Novo Planalto;2004;899;
Novo Planalto;2005;893;90,83
Novo Planalto;2006;896;90,93
Novo Planalto;2007;929;97,52
Novo Planalto;2008;949;94,99
Novo Planalto;2009;974;96,4
Novo Planalto;2010;1008;100
Novo Planalto;2011;1033;100
Novo Planalto;2012;1086;100
Novo Planalto;2013;1115;100
Novo Planalto;2014;1150;100
Novo Planalto;2015;1180;100
Novo Planalto;2016;1208;100
Novo Planalto;2017;1233;100
Novo Planalto;2018;1274;100
Orizona;2000;2077;
Orizona;2001;2133;
Orizona;2002;2201;
Orizona;2003;2274;
Orizona;2004;2328;
Orizona;2005;2299;95,28
Orizona;2006;2338;96,68
Orizona;2007;2420;87,08
Orizona;2008;2480;85,41
Orizona;2009;2747;93,9
Orizona;2010;3066;100
Orizona;2011;3207;100
Orizona;2012;3396;100
Orizona;2013;3639;100
Orizona;2014;3815;100
Orizona;2015;3955;100
Orizona;2016;4091;100
Orizona;2017;4303;100
Orizona;2018;4310;100
Ouro Verde de Goiás;2000;817;
Ouro Verde de Goiás;2001;824;
Ouro Verde de Goiás;2002;833;
Ouro Verde de Goiás;2003;842;
Ouro Verde de Goiás;2004;860;
Ouro Verde de Goiás;2005;881;97,13
Ouro Verde de Goiás;2006;887;98,13
Ouro Verde de Goiás;2007;916;96,06
Ouro Verde de Goiás;2008;935;95,18
Ouro Verde de Goiás;2009;989;100
Ouro Verde de Goiás;2010;1020;100
Ouro Verde de Goiás;2011;1039;100
Ouro Verde de Goiás;2012;1061;100
Ouro Verde de Goiás;2013;1087;100
Ouro Verde de Goiás;2014;1121;100
Ouro Verde de Goiás;2015;1200;100
Ouro Verde de Goiás;2016;1216;100
Ouro Verde de Goiás;2017;1234;100
Ouro Verde de Goiás;2018;1246;100
Ouvidor;2000;1138;
Ouvidor;2001;1178;
Ouvidor;2002;1211;
Ouvidor;2003;1336;
Ouvidor;2004;1394;
Ouvidor;2005;1441;97,44
Ouvidor;2006;1512;90,33
Ouvidor;2007;1559;100
Ouvidor;2008;1631;100
Ouvidor;2009;1742;100
Ouvidor;2010;1821;100
Ouvidor;2011;1911;100
Ouvidor;2012;2015;100
Ouvidor;2013;2128;100
Ouvidor;2014;2260;100
Ouvidor;2015;2390;100
Ouvidor;2016;2532;100
Ouvidor;2017;2606;100
Ouvidor;2018;2668;100
Padre Bernardo;2000;2767;
Padre Bernardo;2001;2833;
Padre Bernardo;2002;2983;
Padre Bernardo;2003;3092;
Padre Bernardo;2004;3209;
Padre Bernardo;2005;3322;67,82
Padre Bernardo;2006;3413;65,42
Padre Bernardo;2007;3511;75,26
Padre Bernardo;2008;3655;74,08
Padre Bernardo;2009;3857;78,1
Padre Bernardo;2010;4105;100
Padre Bernardo;2011;4399;100
Padre Bernardo;2012;4649;100
Padre Bernardo;2013;4856;100
Padre Bernardo;2014;5015;100
Padre Bernardo;2015;5209;100
Padre Bernardo;2016;5364;100
Padre Bernardo;2017;5474;100
Padre Bernardo;2018;5498;100
Palestina de Goiás;2000;600;
Palestina de Goiás;2001;600;
Palestina de Goiás;2002;632;
Palestina de Goiás;2003;663;
Palestina de Goiás;2004;663;
Palestina de Goiás;2005;663;86,85
Palestina de Goiás;2006;681;88,32
Palestina de Goiás;2007;697;98,87
Palestina de Goiás;2008;806;100
Palestina de Goiás;2009;837;100
Palestina de Goiás;2010;842;100
Palestina de Goiás;2011;853;100
Palestina de Goiás;2012;870;100
Palestina de Goiás;2013;883;100
Palestina de Goiás;2014;888;100
Palestina de Goiás;2015;902;100
Palestina de Goiás;2016;920;100
Palestina de Goiás;2017;934;100
Palestina de Goiás;2018;940;100
Palmeiras de Goiás;2000;2781;
Palmeiras de Goiás;2001;2964;
Palmeiras de Goiás;2002;3197;
Palmeiras de Goiás;2003;3461;
Palmeiras de Goiás;2004;3936;
Palmeiras de Goiás;2005;4027;93,91
Palmeiras de Goiás;2006;4162;96,5
Palmeiras de Goiás;2007;4452;74,61
Palmeiras de Goiás;2008;4795;74,39
Palmeiras de Goiás;2009;5106;77,1
Palmeiras de Goiás;2010;5430;75,2
Palmeiras de Goiás;2011;5809;77,29
Palmeiras de Goiás;2012;6274;82,2
Palmeiras de Goiás;2013;6784;83,4
Palmeiras de Goiás;2014;7312;90,8
Palmeiras de Goiás;2015;8030;97,3
Palmeiras de Goiás;2016;9030;100
Palmeiras de Goiás;2017;9581;100
Palmeiras de Goiás;2018;10155;100
Palmelo;2000;802;
Palmelo;2001;809;
Palmelo;2002;821;
Palmelo;2003;826;
Palmelo;2004;838;
Palmelo;2005;823;89,77
Palmelo;2006;821;88,34
Palmelo;2007;847;100
Palmelo;2008;861;100
Palmelo;2009;877;100
Palmelo;2010;891;100
Palmelo;2011;913;100
Palmelo;2012;931;100
Palmelo;2013;969;100
Palmelo;2014;997;100
Palmelo;2015;1026;100
Palmelo;2016;1046;100
Palmelo;2017;1066;100
Palmelo;2018;1076;100
Palminópolis;2000;804;
Palminópolis;2001;826;
Palminópolis;2002;928;
Palminópolis;2003;975;
Palminópolis;2004;1025;
Palminópolis;2005;1030;99,36
Palminópolis;2006;1038;99,52
Palminópolis;2007;1064;100
Palminópolis;2008;1139;100
Palminópolis;2009;1157;100
Palminópolis;2010;1180;100
Palminópolis;2011;1195;100
Palminópolis;2012;1212;100
Palminópolis;2013;1231;100
Palminópolis;2014;1286;100
Palminópolis;2015;1303;100
Palminópolis;2016;1324;100
Palminópolis;2017;1342;100
Palminópolis;2018;1365;100
Panamá;2000;;
Panamá;2001;;
Panamá;2002;;
Panamá;2003;;
Panamá;2004;;
Panamá;2005;;
Panamá;2006;;
Panamá;2007;;
Panamá;2008;;
Panamá;2009;;
Panamá;2010;;
Panamá;2011;;
Panamá;2012;;
Panamá;2013;;
Panamá;2014;;
Panamá;2015;;
Panamá;2016;;
Panamá;2017;;
Panamá;2018;;
Paranaiguara;2000;;
Paranaiguara;2001;;
Paranaiguara;2002;;
Paranaiguara;2003;;
Paranaiguara;2004;;
Paranaiguara;2005;;
Paranaiguara;2006;;
Paranaiguara;2007;;
Paranaiguara;2008;;
Paranaiguara;2009;;
Paranaiguara;2010;;
Paranaiguara;2011;;
Paranaiguara;2012;;
Paranaiguara;2013;;
Paranaiguara;2014;;
Paranaiguara;2015;;
Paranaiguara;2016;;
Paranaiguara;2017;;
Paranaiguara;2018;;
Paraúna;2000;2612;
Paraúna;2001;2680;
Paraúna;2002;2704;
Paraúna;2003;2756;
Paraúna;2004;2790;
Paraúna;2005;2774;91,59
Paraúna;2006;2829;93,24
Paraúna;2007;2932;100
Paraúna;2008;3026;100
Paraúna;2009;3099;100
Paraúna;2010;3169;100
Paraúna;2011;3250;100
Paraúna;2012;3459;100
Paraúna;2013;3605;100
Paraúna;2014;3794;100
Paraúna;2015;3896;100
Paraúna;2016;4034;100
Paraúna;2017;4130;100
Paraúna;2018;4195;100
Perolândia;2000;496;
Perolândia;2001;527;
Perolândia;2002;535;
Perolândia;2003;544;
Perolândia;2004;550;
Perolândia;2005;532;59,17
Perolândia;2006;538;54,31
Perolândia;2007;548;92,52
Perolândia;2008;601;99,78
Perolândia;2009;656;100
Perolândia;2010;695;100
Perolândia;2011;757;100
Perolândia;2012;788;100
Perolândia;2013;806;100
Perolândia;2014;833;100
Perolândia;2015;862;100
Perolândia;2016;914;100
Perolândia;2017;932;100
Perolândia;2018;943;100
Petrolina de Goiás;2000;1987;
Petrolina de Goiás;2001;2008;
Petrolina de Goiás;2002;2048;
Petrolina de Goiás;2003;2063;
Petrolina de Goiás;2004;2103;
Petrolina de Goiás;2005;2117;98,12
Petrolina de Goiás;2006;2134;98,17
Petrolina de Goiás;2007;2191;97,31
Petrolina de Goiás;2008;2246;98,48
Petrolina de Goiás;2009;2284;99,9
Petrolina de Goiás;2010;2331;100
Petrolina de Goiás;2011;2384;100
Petrolina de Goiás;2012;2425;100
Petrolina de Goiás;2013;2476;100
Petrolina de Goiás;2014;2516;100
Petrolina de Goiás;2015;2550;100
Petrolina de Goiás;2016;2740;100
Petrolina de Goiás;2017;2868;100
Petrolina de Goiás;2018;2962;100
Pilar de Goiás;2000;391;
Pilar de Goiás;2001;388;
Pilar de Goiás;2002;386;
Pilar de Goiás;2003;400;
Pilar de Goiás;2004;402;
Pilar de Goiás;2005;402;92,25
Pilar de Goiás;2006;409;93,13
Pilar de Goiás;2007;417;100
Pilar de Goiás;2008;429;100
Pilar de Goiás;2009;439;100
Pilar de Goiás;2010;442;99,4
Pilar de Goiás;2011;467;100
Pilar de Goiás;2012;494;100
Pilar de Goiás;2013;514;100
Pilar de Goiás;2014;539;100
Pilar de Goiás;2015;548;100
Pilar de Goiás;2016;555;100
Pilar de Goiás;2017;567;100
Pilar de Goiás;2018;577;100
Piracanjuba;2000;4556;
Piracanjuba;2001;4887;
Piracanjuba;2002;5120;
Piracanjuba;2003;5585;
Piracanjuba;2004;5690;
Piracanjuba;2005;5672;96,25
Piracanjuba;2006;5776;96,38
Piracanjuba;2007;6207;99,49
Piracanjuba;2008;6427;100
Piracanjuba;2009;6676;97,3
Piracanjuba;2010;6981;98,5
Piracanjuba;2011;7220;98,88
Piracanjuba;2012;7529;99,25
Piracanjuba;2013;7821;99,24
Piracanjuba;2014;8144;99,4
Piracanjuba;2015;8385;99,5
Piracanjuba;2016;8644;99,8
Piracanjuba;2017;8886;99,9
Piracanjuba;2018;9040;99,9
Piranhas;2000;3171;
Piranhas;2001;3206;
Piranhas;2002;3260;
Piranhas;2003;3325;
Piranhas;2004;3345;
Piranhas;2005;3374;99,89
Piranhas;2006;3428;90,72
Piranhas;2007;3533;100
Piranhas;2008;3642;100
Piranhas;2009;3687;100
Piranhas;2010;3768;100
Piranhas;2011;3895;100
Piranhas;2012;3964;100
Piranhas;2013;4055;100
Piranhas;2014;4175;100
Piranhas;2015;4271;100
Piranhas;2016;4351;100
Piranhas;2017;4418;100
Piranhas;2018;4473;100
Pirenópolis;2000;4156;
Pirenópolis;2001;4369;
Pirenópolis;2002;4763;
Pirenópolis;2003;4988;
Pirenópolis;2004;5150;
Pirenópolis;2005;5275;96,22
Pirenópolis;2006;5444;88,62
Pirenópolis;2007;5937;94,18
Pirenópolis;2008;6184;94,64
Pirenópolis;2009;6436;95
Pirenópolis;2010;6670;96,2
Pirenópolis;2011;6977;98,98
Pirenópolis;2012;7258;99,42
Pirenópolis;2013;7520;99,28
Pirenópolis;2014;7736;100
Pirenópolis;2015;7948;100
Pirenópolis;2016;8131;99,3
Pirenópolis;2017;8450;99,3
Pirenópolis;2018;8645;99,2
Pires do Rio;2000;8250;
Pires do Rio;2001;8481;
Pires do Rio;2002;8708;
Pires do Rio;2003;8877;
Pires do Rio;2004;9080;
Pires do Rio;2005;9237;93,28
Pires do Rio;2006;9447;94,14
Pires do Rio;2007;9815;100
Pires do Rio;2008;10116;100
Pires do Rio;2009;10376;100
Pires do Rio;2010;10702;100
Pires do Rio;2011;11004;100
Pires do Rio;2012;11438;100
Pires do Rio;2013;11838;100
Pires do Rio;2014;12225;100
Pires do Rio;2015;12493;100
Pires do Rio;2016;12732;100
Pires do Rio;2017;12981;100
Pires do Rio;2018;13248;100
Planaltina;2000;12026;
Planaltina;2001;12665;
Planaltina;2002;13063;
Planaltina;2003;14400;
Planaltina;2004;15010;
Planaltina;2005;15350;69,87
Planaltina;2006;15748;67,13
Planaltina;2007;16887;81,42
Planaltina;2008;17883;84,23
Planaltina;2009;18919;88,8
Planaltina;2010;20373;93,2
Planaltina;2011;22521;99,9
Planaltina;2012;25118;100
Planaltina;2013;27194;100
Planaltina;2014;29267;100
Planaltina;2015;31075;100
Planaltina;2016;33236;100
Planaltina;2017;34735;100
Planaltina;2018;36005;100
Pontalina;2000;4145;
Pontalina;2001;4260;
Pontalina;2002;4352;
Pontalina;2003;4550;
Pontalina;2004;4619;
Pontalina;2005;4619;92,97
Pontalina;2006;4644;92,96
Pontalina;2007;4817;94,92
Pontalina;2008;4952;95,77
Pontalina;2009;5083;97,9
Pontalina;2010;5247;97,7
Pontalina;2011;5406;98,17
Pontalina;2012;5574;100
Pontalina;2013;5870;100
Pontalina;2014;6222;100
Pontalina;2015;6379;100
Pontalina;2016;6561;100
Pontalina;2017;6700;100
Pontalina;2018;6910;100
Porangatu;2000;8374;
Porangatu;2001;8764;
Porangatu;2002;9224;
Porangatu;2003;9673;
Porangatu;2004;9706;
Porangatu;2005;9932;94,68
Porangatu;2006;10194;95,44
Porangatu;2007;10683;94,78
Porangatu;2008;11162;96,1
Porangatu;2009;11570;99,4
Porangatu;2010;12207;98,7
Porangatu;2011;12815;99,77
Porangatu;2012;13331;99,78
Porangatu;2013;13762;99,77
Porangatu;2014;14167;99,7
Porangatu;2015;14709;99,7
Porangatu;2016;15144;99,7
Porangatu;2017;15531;99,7
Porangatu;2018;15935;99,7
Porteirão;2000;681;
Porteirão;2001;692;
Porteirão;2002;743;
Porteirão;2003;728;
Porteirão;2004;720;
Porteirão;2005;716;82,42
Porteirão;2006;753;84,54
Porteirão;2007;833;88,44
Porteirão;2008;916;94,03
Porteirão;2009;971;99,6
Porteirão;2010;1032;100
Porteirão;2011;1074;100
Porteirão;2012;1205;100
Porteirão;2013;1260;100
Porteirão;2014;1307;100
Porteirão;2015;1376;100
Porteirão;2016;1480;100
Porteirão;2017;1537;100
Porteirão;2018;1526;100
Portelândia;2000;780;
Portelândia;2001;857;
Portelândia;2002;867;
Portelândia;2003;891;
Portelândia;2004;899;
Portelândia;2005;891;72,65
Portelândia;2006;889;69,45
Portelândia;2007;918;95,17
Portelândia;2008;962;100
Portelândia;2009;1008;100
Portelândia;2010;1042;92,6
Portelândia;2011;1073;92,69
Portelândia;2012;1116;96,5
Portelândia;2013;1159;96,1
Portelândia;2014;1202;100
Portelândia;2015;1325;100
Portelândia;2016;1351;100
Portelândia;2017;1369;100
Portelândia;2018;1396;100
Posse;2000;4878;
Posse;2001;5022;
Posse;2002;5172;
Posse;2003;5316;
Posse;2004;5563;
Posse;2005;5701;97,99
Posse;2006;5935;100
Posse;2007;6233;100
Posse;2008;6522;99,24
Posse;2009;6928;100
Posse;2010;7390;100
Posse;2011;7954;100
Posse;2012;8479;100
Posse;2013;8938;100
Posse;2014;9391;100
Posse;2015;9724;100
Posse;2016;10319;100
Posse;2017;10538;100
Posse;2018;10805;100
Professor Jamil;2000;757;
Professor Jamil;2001;784;
Professor Jamil;2002;798;
Professor Jamil;2003;821;
Professor Jamil;2004;836;
Professor Jamil;2005;842;95,01
Professor Jamil;2006;869;96,49
Professor Jamil;2007;903;100
Professor Jamil;2008;921;100
Professor Jamil;2009;938;100
Professor Jamil;2010;952;100
Professor Jamil;2011;965;100
Professor Jamil;2012;992;100
Professor Jamil;2013;1030;100
Professor Jamil;2014;1057;100
Professor Jamil;2015;1084;100
Professor Jamil;2016;1118;100
Professor Jamil;2017;1155;100
Professor Jamil;2018;1177;100
Quirinópolis;2000;8342;
Quirinópolis;2001;8671;
Quirinópolis;2002;8989;
Quirinópolis;2003;9135;
Quirinópolis;2004;9192;
Quirinópolis;2005;9206;91,54
Quirinópolis;2006;9451;93,16
Quirinópolis;2007;9907;84,32
Quirinópolis;2008;10325;84,78
Quirinópolis;2009;10869;88,9
Quirinópolis;2010;11476;86,1
Quirinópolis;2011;12013;85,99
Quirinópolis;2012;12828;88,8
Quirinópolis;2013;13541;91
Quirinópolis;2014;14123;94,8
Quirinópolis;2015;15012;99,6
Quirinópolis;2016;15410;100
Quirinópolis;2017;15754;100
Quirinópolis;2018;15817;98,6
Rialma;2000;;
Rialma;2001;;
Rialma;2002;;
Rialma;2003;;
Rialma;2004;2941;
Rialma;2005;2981;83,35
Rialma;2006;3135;86,45
Rialma;2007;3219;100
Rialma;2008;3336;100
Rialma;2009;3402;100
Rialma;2010;3466;100
Rialma;2011;3588;100
Rialma;2012;3791;100
Rialma;2013;3965;100
Rialma;2014;4108;100
Rialma;2015;4266;100
Rialma;2016;4420;100
Rialma;2017;4593;100
Rialma;2018;4765;100
Rianápolis;2000;1204;
Rianápolis;2001;1216;
Rianápolis;2002;1250;
Rianápolis;2003;1286;
Rianápolis;2004;1305;
Rianápolis;2005;1310;99,03
Rianápolis;2006;1337;90,02
Rianápolis;2007;1368;100
Rianápolis;2008;1423;100
Rianápolis;2009;1447;100
Rianápolis;2010;1493;100
Rianápolis;2011;1540;100
Rianápolis;2012;1633;100
Rianápolis;2013;1687;100
Rianápolis;2014;1771;100
Rianápolis;2015;1831;100
Rianápolis;2016;1866;100
Rianápolis;2017;1874;100
Rianápolis;2018;1874;100
Rio Quente;2000;;
Rio Quente;2001;;
Rio Quente;2002;;
Rio Quente;2003;;
Rio Quente;2004;;
Rio Quente;2005;;
Rio Quente;2006;;
Rio Quente;2007;;
Rio Quente;2008;;
Rio Quente;2009;;
Rio Quente;2010;;
Rio Quente;2011;;
Rio Quente;2012;;
Rio Quente;2013;;
Rio Quente;2014;;
Rio Quente;2015;;
Rio Quente;2016;;
Rio Quente;2017;;
Rio Quente;2018;;
Rio Verde;2000;24274;
Rio Verde;2001;25830;
Rio Verde;2002;27880;
Rio Verde;2003;28897;
Rio Verde;2004;31308;
Rio Verde;2005;32873;91,98
Rio Verde;2006;35303;94,52
Rio Verde;2007;37963;84,08
Rio Verde;2008;41447;85,12
Rio Verde;2009;44868;90,5
Rio Verde;2010;47637;90,4
Rio Verde;2011;50715;92,23
Rio Verde;2012;53855;96,14
Rio Verde;2013;56604;94,45
Rio Verde;2014;59730;97,3
Rio Verde;2015;62188;99
Rio Verde;2016;64015;100
Rio Verde;2017;65919;100
Rio Verde;2018;67403;100
Rubiataba;2000;4754;
Rubiataba;2001;4810;
Rubiataba;2002;4896;
Rubiataba;2003;4887;
Rubiataba;2004;5128;
Rubiataba;2005;5153;93,46
Rubiataba;2006;5397;89,59
Rubiataba;2007;5630;90,09
Rubiataba;2008;5858;91,07
Rubiataba;2009;6019;92,8
Rubiataba;2010;6259;92,9
Rubiataba;2011;6430;93,85
Rubiataba;2012;6647;93,87
Rubiataba;2013;6798;93,68
Rubiataba;2014;6970;98,5
Rubiataba;2015;7089;99,9
Rubiataba;2016;7218;93,6
Rubiataba;2017;7338;93,7
Rubiataba;2018;7462;93,7
Sanclerlândia;2000;2165;
Sanclerlândia;2001;2215;
Sanclerlândia;2002;2295;
Sanclerlândia;2003;2345;
Sanclerlândia;2004;2508;
Sanclerlândia;2005;2513;88,83
Sanclerlândia;2006;2543;89,88
Sanclerlândia;2007;2636;95,07
Sanclerlândia;2008;2698;94,93
Sanclerlândia;2009;2770;94,8
Sanclerlândia;2010;2846;94,9
Sanclerlândia;2011;2912;95,56
Sanclerlândia;2012;2983;95,49
Sanclerlândia;2013;3072;95,2
Sanclerlândia;2014;3141;95,1
Sanclerlândia;2015;3208;95,3
Sanclerlândia;2016;3295;95,3
Sanclerlândia;2017;3361;95,5
Sanclerlândia;2018;3473;95,6
Santa Bárbara de Goiás;2000;1277;
Santa Bárbara de Goiás;2001;1304;
Santa Bárbara de Goiás;2002;1334;
Santa Bárbara de Goiás;2003;1413;
Santa Bárbara de Goiás;2004;1437;
Santa Bárbara de Goiás;2005;1558;95,14
Santa Bárbara de Goiás;2006;1572;93,6
Santa Bárbara de Goiás;2007;1606;96,88
Santa Bárbara de Goiás;2008;1668;95,76
Santa Bárbara de Goiás;2009;1705;96,7
Santa Bárbara de Goiás;2010;1776;100
Santa Bárbara de Goiás;2011;1840;99,4
Santa Bárbara de Goiás;2012;1906;100
Santa Bárbara de Goiás;2013;1986;100
Santa Bárbara de Goiás;2014;2082;100
Santa Bárbara de Goiás;2015;2160;100
Santa Bárbara de Goiás;2016;2210;100
Santa Bárbara de Goiás;2017;2244;100
Santa Bárbara de Goiás;2018;2271;100
Santa Cruz de Goiás;2000;550;
Santa Cruz de Goiás;2001;575;
Santa Cruz de Goiás;2002;580;
Santa Cruz de Goiás;2003;581;
Santa Cruz de Goiás;2004;600;
Santa Cruz de Goiás;2005;593;77,59
Santa Cruz de Goiás;2006;602;76,73
Santa Cruz de Goiás;2007;620;82,83
Santa Cruz de Goiás;2008;633;82,84
Santa Cruz de Goiás;2009;644;83,3
Santa Cruz de Goiás;2010;642;83,2
Santa Cruz de Goiás;2011;651;99,08
Santa Cruz de Goiás;2012;663;100
Santa Cruz de Goiás;2013;679;100
Santa Cruz de Goiás;2014;713;100
Santa Cruz de Goiás;2015;717;100
Santa Cruz de Goiás;2016;724;100
Santa Cruz de Goiás;2017;733;100
Santa Cruz de Goiás;2018;742;100
Santa Fé de Goiás;2000;979;
Santa Fé de Goiás;2001;1030;
Santa Fé de Goiás;2002;1068;
Santa Fé de Goiás;2003;1109;
Santa Fé de Goiás;2004;1146;
Santa Fé de Goiás;2005;1213;84,18
Santa Fé de Goiás;2006;1260;83,91
Santa Fé de Goiás;2007;1313;100
Santa Fé de Goiás;2008;1359;100
Santa Fé de Goiás;2009;1382;100
Santa Fé de Goiás;2010;1399;100
Santa Fé de Goiás;2011;1412;100
Santa Fé de Goiás;2012;1434;100
Santa Fé de Goiás;2013;1508;100
Santa Fé de Goiás;2014;1630;100
Santa Fé de Goiás;2015;1709;100
Santa Fé de Goiás;2016;1756;100
Santa Fé de Goiás;2017;1794;100
Santa Fé de Goiás;2018;1806;100
Santa Helena de Goiás;2000;8094;
Santa Helena de Goiás;2001;8347;
Santa Helena de Goiás;2002;8597;
Santa Helena de Goiás;2003;8822;
Santa Helena de Goiás;2004;9193;
Santa Helena de Goiás;2005;9301;94,03
Santa Helena de Goiás;2006;9459;93,93
Santa Helena de Goiás;2007;10020;90,54
Santa Helena de Goiás;2008;10377;90,96
Santa Helena de Goiás;2009;10699;93,3
Santa Helena de Goiás;2010;11106;92
Santa Helena de Goiás;2011;11582;92,5
Santa Helena de Goiás;2012;12103;96,3
Santa Helena de Goiás;2013;12548;95,5
Santa Helena de Goiás;2014;13013;99,9
Santa Helena de Goiás;2015;13368;100
Santa Helena de Goiás;2016;13841;100
Santa Helena de Goiás;2017;14189;100
Santa Helena de Goiás;2018;14508;100
Santa Isabel;2000;462;
Santa Isabel;2001;469;
Santa Isabel;2002;470;
Santa Isabel;2003;471;
Santa Isabel;2004;499;
Santa Isabel;2005;541;94,16
Santa Isabel;2006;538;93,55
Santa Isabel;2007;550;100
Santa Isabel;2008;935;100
Santa Isabel;2009;1000;96,9
Santa Isabel;2010;1027;97,6
Santa Isabel;2011;1043;100
Santa Isabel;2012;1060;100
Santa Isabel;2013;1078;100
Santa Isabel;2014;1131;100
Santa Isabel;2015;1160;100
Santa Isabel;2016;1178;100
Santa Isabel;2017;1202;100
Santa Isabel;2018;1241;100
Santa Rita do Araguaia;2000;1594;
Santa Rita do Araguaia;2001;1674;
Santa Rita do Araguaia;2002;1739;
Santa Rita do Araguaia;2003;1753;
Santa Rita do Araguaia;2004;1819;
Santa Rita do Araguaia;2005;1848;92,94
Santa Rita do Araguaia;2006;1918;96,72
Santa Rita do Araguaia;2007;2027;100
Santa Rita do Araguaia;2008;2298;100
Santa Rita do Araguaia;2009;2561;100
Santa Rita do Araguaia;2010;2647;100
Santa Rita do Araguaia;2011;2765;100
Santa Rita do Araguaia;2012;2870;100
Santa Rita do Araguaia;2013;2928;100
Santa Rita do Araguaia;2014;2992;100
Santa Rita do Araguaia;2015;3100;100
Santa Rita do Araguaia;2016;3156;100
Santa Rita do Araguaia;2017;3177;100
Santa Rita do Araguaia;2018;3186;100
Santa Rita do Novo Destino;2000;;
Santa Rita do Novo Destino;2001;;
Santa Rita do Novo Destino;2002;;
Santa Rita do Novo Destino;2003;;
Santa Rita do Novo Destino;2004;;
Santa Rita do Novo Destino;2005;;
Santa Rita do Novo Destino;2006;;
Santa Rita do Novo Destino;2007;;
Santa Rita do Novo Destino;2008;;
Santa Rita do Novo Destino;2009;;
Santa Rita do Novo Destino;2010;;
Santa Rita do Novo Destino;2011;;
Santa Rita do Novo Destino;2012;;
Santa Rita do Novo Destino;2013;;
Santa Rita do Novo Destino;2014;;
Santa Rita do Novo Destino;2015;;
Santa Rita do Novo Destino;2016;;
Santa Rita do Novo Destino;2017;;
Santa Rita do Novo Destino;2018;;
Santa Rosa de Goiás;2000;688;
Santa Rosa de Goiás;2001;702;
Santa Rosa de Goiás;2002;712;
Santa Rosa de Goiás;2003;722;
Santa Rosa de Goiás;2004;785;
Santa Rosa de Goiás;2005;775;92,48
Santa Rosa de Goiás;2006;778;92,68
Santa Rosa de Goiás;2007;788;99,62
Santa Rosa de Goiás;2008;802;100
Santa Rosa de Goiás;2009;812;100
Santa Rosa de Goiás;2010;815;100
Santa Rosa de Goiás;2011;831;100
Santa Rosa de Goiás;2012;848;100
Santa Rosa de Goiás;2013;869;100
Santa Rosa de Goiás;2014;891;100
Santa Rosa de Goiás;2015;957;100
Santa Rosa de Goiás;2016;974;100
Santa Rosa de Goiás;2017;995;100
Santa Rosa de Goiás;2018;1031;100
Santa Tereza de Goiás;2000;1263;
Santa Tereza de Goiás;2001;1267;
Santa Tereza de Goiás;2002;1301;
Santa Tereza de Goiás;2003;1309;
Santa Tereza de Goiás;2004;1300;
Santa Tereza de Goiás;2005;1276;91,31
Santa Tereza de Goiás;2006;1276;91,44
Santa Tereza de Goiás;2007;1300;98,79
Santa Tereza de Goiás;2008;1335;100
Santa Tereza de Goiás;2009;1352;100
Santa Tereza de Goiás;2010;1372;100
Santa Tereza de Goiás;2011;1391;100
Santa Tereza de Goiás;2012;1409;100
Santa Tereza de Goiás;2013;1420;100
Santa Tereza de Goiás;2014;1422;100
Santa Tereza de Goiás;2015;1421;100
Santa Tereza de Goiás;2016;1468;100
Santa Tereza de Goiás;2017;1505;100
Santa Tereza de Goiás;2018;1519;100
Santa Terezinha de Goiás;2000;1878;
Santa Terezinha de Goiás;2001;1931;
Santa Terezinha de Goiás;2002;1945;
