Localidade;Ano;Produtos Minerais não Metálicos;Metalúrgica;Mecânica;Materiais Elétricos e de Comunicação;Materiais de Transporte;Madeira e do Mobiliário;Papel Papelão Editorial e Gráfica;Borracha, Fumo, Couros, Peles, Produtos Similares e Indústria Diversa;Química, Produtos Farmacêuticos, Veterinários, Perfumaria, Sabões, Velas, e Matérias Plásticas;Têxtil do Vestuário e Artefatos de Tecidos;Calçados;Produtos Alimentícios de Bebida e Álcool Etílico
Abadia de Goiás;2000;  ;  ;22;  ;  ;  ;  ;  ;7;  ;  ;6
Abadia de Goiás;2001;131;  ;24;  ;  ;  ;  ;  ;14;5;  ;18
Abadia de Goiás;2002;121;;35;;;;;;17;;;19
Abadia de Goiás;2003;;;32;;;;;;;;;19
Abadia de Goiás;2004;  ;  ;35;  ;  ;  ;  ;  ;11;  ;  ;20
Abadia de Goiás;2005;  ;  ;36;  ;  ;  ;  ;  ;1;23;  ;14
Abadia de Goiás;2006;  ;  ;41;  ;  ;  ;  ;  ;  ;23;  ;25
Abadia de Goiás;2007;  ;7;44;  ;  ;  ;  ;  ;70;26;  ;15
Abadia de Goiás;2008;11;8;74;  ;  ;  ;  ;4;18;39;14;21
Abadia de Goiás;2009;  ;1;67;  ;  ;  ;  ;8;6;43;20;67
Abadia de Goiás;2010;  ;4;73;  ;7;2;  ;7;12;37;  ;48
Abadia de Goiás;2011;1;18;74;;;;;;12;52;;47
Abadia de Goiás;2012;3;32;85;;1;;;;18;45;;63
Abadia de Goiás;2013;2;59;91;;;12;6;33;23;74;5;143
Abadia de Goiás;2014;3;90;126;;10;7;7;36;21;104;3;45
Abadia de Goiás;2015;2;82;80;;12;3;6;46;17;160;;75
Abadia de Goiás;2016;2;67;28;28;13;5;4;46;37;152;;194
Abadia de Goiás;2017;2;63;49;30;22;11;2;46;92;185;5;151
Abadia de Goiás;2018;3;81;38;20;37;5;6;42;85;241;5;124
Abadiânia;1999;64;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;30
Abadiânia;2000;85;4;  ;  ;  ;  ;  ;  ;  ;  ;  ;40
Abadiânia;2001;93;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;30
Abadiânia;2002;105;4;;;;;;;;;;27
Abadiânia;2003;140;;;;;;;;;;;20
Abadiânia;2004;89;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;25
Abadiânia;2005;110;  ;  ;  ;  ;  ;  ;  ;8;  ;  ;32
Abadiânia;2006;99;  ;  ;  ;  ;21;  ;  ;  ;  ;  ;127
Abadiânia;2007;96;  ;  ;  ;  ;18;  ;3;1;  ;  ;68
Abadiânia;2008;87;  ;  ;  ;  ;18;  ;  ;  ;17;  ;105
Abadiânia;2009;112;  ;  ;  ;  ;12;  ;  ;  ;14;  ;101
Abadiânia;2010;134;  ;  ;  ;  ;16;  ;  ;1;14;  ;102
Abadiânia;2011;113;;;;;12;;1;1;;;110
Abadiânia;2012;127;;;;;39;;2;;;;127
Abadiânia;2013;89;;;;;11;;1;;2;;128
Abadiânia;2014;97;;;;;17;;;;1;;91
Abadiânia;2015;87;;;;;20;;;1;37;;98
Abadiânia;2016;94;;;;;21;;;;43;;99
Abadiânia;2017;84;;;;;21;;;;47;;125
Abadiânia;2018;76;  ;  ;  ;  ;28;  ;  ;  ;16;  ;122
Acreúna;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;96;  ;162
Acreúna;2000;  ;2;  ;  ;  ;  ;1;  ;8;109;  ;134
Acreúna;2001;  ;1;  ;  ;  ;  ;  ;  ;  ;109;  ;130
Acreúna;2002;;3;10;;;;1;;16;126;;120
Acreúna;2003;;2;;;;;3;;11;227;;174
Acreúna;2004;  ;3;  ;  ;  ;  ;3;  ;9;272;  ;175
Acreúna;2005;  ;4;3;  ;  ;  ;2;  ;9;404;  ;148
Acreúna;2006;  ;3;  ;  ;  ;  ;2;  ;10;590;  ;193
Acreúna;2007;  ;2;  ;  ;  ;  ;2;  ;4;164;  ;91
Acreúna;2008;2;5;  ;  ;  ;  ;2;  ;2;137;  ;292
Acreúna;2009;2;7;  ;  ;  ;  ;1;  ;  ;93;  ;294
Acreúna;2010;  ;10;  ;  ;  ;  ;1;  ;  ;72;  ;205
Acreúna;2011;;3;5;;;;3;;;91;;223
Acreúna;2012;;4;6;;;;2;;;85;;222
Acreúna;2013;;15;2;;;;1;;;111;;227
Acreúna;2014;;2;7;;;6;1;;;107;;218
Acreúna;2015;;3;8;;;;3;;;14;;194
Acreúna;2016;;7;5;;;1;2;;;27;;210
Acreúna;2017;;5;7;21;;1;1;;;21;;228
Acreúna;2018;  ;5;15;20;  ;1;2;  ;1;20;  ;219
Adelândia;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;4
Adelândia;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Adelândia;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Adelândia;2002;6;;;;;;;;;;;
Adelândia;2003;;;;;;;;;;;;3
Adelândia;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Adelândia;2005;23;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1
Adelândia;2006;21;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;11
Adelândia;2007;25;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;12
Adelândia;2008;29;  ;  ;  ;  ;  ;  ;  ;  ;9;  ;11
Adelândia;2009;28;  ;  ;  ;  ;  ;  ;  ;  ;27;  ;10
Adelândia;2010;  ;  ;  ;  ;  ;  ;  ;  ;  ;20;  ;16
Adelândia;2011;52;;;;;;;;;12;;11
Adelândia;2012;48;;;;;;;;;23;;12
Adelândia;2013;86;;;;;;;;;35;;16
Adelândia;2014;77;;;;;;;;;40;;4
Adelândia;2015;76;;;;;;;;;41;;
Adelândia;2016;64;;;;;;;;;38;;15
Adelândia;2017;41;;;;;;;;;39;;17
Adelândia;2018;30;  ;  ;  ;  ;  ;  ;  ;  ;32;  ;9
Água Fria de Goiás;1999;  ;  ;  ;  ;  ;1;  ;  ;  ;  ;  ;3
Água Fria de Goiás;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;5
Água Fria de Goiás;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;5
Água Fria de Goiás;2002;;;;;;;;;;;;3
Água Fria de Goiás;2003;;;;;;;;;;;;3
Água Fria de Goiás;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;5
Água Fria de Goiás;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;5
Água Fria de Goiás;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;7
Água Fria de Goiás;2007;2;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;8
Água Fria de Goiás;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;10
Água Fria de Goiás;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;12
Água Fria de Goiás;2010;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;8
Água Fria de Goiás;2011;;;;;;;;;;;;7
Água Fria de Goiás;2012;;;;;;;;;;;;3
Água Fria de Goiás;2013;;;;;;;;;;;;6
Água Fria de Goiás;2014;;;;;;;;;;;;5
Água Fria de Goiás;2015;;;;;;;;;;;;4
Água Fria de Goiás;2016;;;;;;3;;;;;;5
Água Fria de Goiás;2017;;;;;;1;;;;;;5
Água Fria de Goiás;2018;  ;  ;  ;  ;  ;3;  ;  ;  ;  ;  ;3
Água Limpa;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;11
Água Limpa;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;10
Água Limpa;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;10
Água Limpa;2002;;;;;;;;;;;;13
Água Limpa;2003;;;;;;;;;;;;9
Água Limpa;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;6
Água Limpa;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;9
Água Limpa;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;2
Água Limpa;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;3
Água Limpa;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1
Água Limpa;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;4
Água Limpa;2010;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;6
Água Limpa;2011;;;;;;;;;;;;3
Água Limpa;2012;;;;;;;;;;;;1
Água Limpa;2013;;;;;;;;;;;;
Água Limpa;2014;;;;;;;;;;;;
Água Limpa;2015;;;;;;;;;;;;
Água Limpa;2016;;;;;;;;;;;;
Água Limpa;2017;;;;;;;;;;;;
Água Limpa;2018;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;13
Águas Lindas de Goiás;1999;4;14;  ;  ;  ;1;  ;  ;2;  ;  ;1
Águas Lindas de Goiás;2000;2;19;  ;  ;14;21;  ;  ;28;  ;  ;  
Águas Lindas de Goiás;2001;1;60;  ;  ;  ;25;  ;  ;  ;  ;  ;  
Águas Lindas de Goiás;2002;2;66;;;;9;1;;;1;;3
Águas Lindas de Goiás;2003;1;62;;;17;6;4;;;1;;8
Águas Lindas de Goiás;2004;1;76;  ;  ;  ;3;1;3;  ;  ;  ;11
Águas Lindas de Goiás;2005;1;90;  ;  ;  ;6;  ;9;  ;4;  ;13
Águas Lindas de Goiás;2006;  ;57;  ;  ;11;3;3;3;3;  ;  ;51
Águas Lindas de Goiás;2007;1;134;  ;  ;  ;2;  ;6;6;7;  ;34
Águas Lindas de Goiás;2008;  ;157;  ;  ;  ;6;  ;3;  ;6;  ;61
Águas Lindas de Goiás;2009;4;147;  ;  ;  ;16;  ;4;  ;28;2;90
Águas Lindas de Goiás;2010;6;155;  ;  ;  ;13;5;17;1;22;3;74
Águas Lindas de Goiás;2011;51;152;;2;;18;8;11;2;12;3;88
Águas Lindas de Goiás;2012;68;166;;;;22;3;10;3;13;1;123
Águas Lindas de Goiás;2013;75;188;12;;;35;4;12;3;40;2;49
Águas Lindas de Goiás;2014;115;212;;1;2;46;4;25;9;25;1;85
Águas Lindas de Goiás;2015;85;207;;;3;44;6;5;;17;1;55
Águas Lindas de Goiás;2016;85;138;2;;3;37;8;15;7;26;1;82
Águas Lindas de Goiás;2017;104;59;;;3;37;9;1;11;6;;93
Águas Lindas de Goiás;2018;142;35;2;1;3;33;10;10;14;6;1;88
Alexânia;1999;11;5;  ;  ;  ;29;2;  ;4;1;  ;19
Alexânia;2000;31;  ;  ;  ;  ;32;11;1;3;2;  ;39
Alexânia;2001;25;6;  ;  ;  ;35;9;  ;5;1;  ;14
Alexânia;2002;28;;;;;28;3;;5;1;;134
Alexânia;2003;16;4;;;;24;3;;1;2;;286
Alexânia;2004;34;9;  ;  ;  ;23;7;  ;  ;2;  ;444
Alexânia;2005;42;4;  ;  ;  ;25;4;3;1;2;  ;103
Alexânia;2006;29;6;  ;  ;  ;22;3;  ;5;2;  ;701
Alexânia;2007;36;9;  ;  ;  ;27;5;  ;1;  ;  ;769
Alexânia;2008;56;15;  ;  ;  ;34;2;1;3;  ;  ;691
Alexânia;2009;43;15;  ;  ;  ;21;1;  ;4;19;  ;427
Alexânia;2010;68;23;  ;  ;2;20;2;3;14;15;  ;471
Alexânia;2011;75;26;;;1;28;2;1;19;16;;432
Alexânia;2012;66;28;2;;;19;3;102;9;3;;471
Alexânia;2013;61;27;1;;;18;4;218;11;10;;445
Alexânia;2014;57;23;2;;;20;4;2;8;7;;453
Alexânia;2015;44;37;;;;2;3;5;16;1;;429
Alexânia;2016;25;25;1;;;8;1;1;1;5;;784
Alexânia;2017;17;18;;;;9;2;;1;5;;1033
Alexânia;2018;28;12;  ;  ;  ;8;2;  ;1;17;  ;952
Aloândia;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Aloândia;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Aloândia;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Aloândia;2002;;;;;;;;;;;;
Aloândia;2003;;;;;;;;;;;;1
Aloândia;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1
Aloândia;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;3
Aloândia;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Aloândia;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1
Aloândia;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1
Aloândia;2009;5;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Aloândia;2010;4;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Aloândia;2011;7;;;;;;;;;;;
Aloândia;2012;16;;;;;;;;;;;3
Aloândia;2013;12;;;;;;;;;;;2
Aloândia;2014;12;;;;;;;;;1;;2
Aloândia;2015;15;;;;;;;;;;;5
Aloândia;2016;14;;;;;;;;;;;1
Aloândia;2017;13;;;;;;;;;;;
Aloândia;2018;7;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1
Alto Horizonte;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1
Alto Horizonte;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;5
Alto Horizonte;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;6
Alto Horizonte;2002;;;;;;;;;;;;2
Alto Horizonte;2003;4;;;;;;;;;;;
Alto Horizonte;2004;7;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Alto Horizonte;2005;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Alto Horizonte;2006;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;30
Alto Horizonte;2007;4;7;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Alto Horizonte;2008;  ;15;  ;  ;  ;  ;2;  ;  ;  ;  ;  
Alto Horizonte;2009;4;23;  ;  ;  ;  ;2;  ;  ;  ;  ;  
Alto Horizonte;2010;3;20;21;3;  ;  ;2;  ;  ;  ;  ;  
Alto Horizonte;2011;14;21;41;4;;;2;;;;;33
Alto Horizonte;2012;9;11;100;5;;;;;;;;30
Alto Horizonte;2013;;11;211;5;;;;;;;;36
Alto Horizonte;2014;;11;221;4;;;;;;;;37
Alto Horizonte;2015;;7;215;4;;;;;;;;36
Alto Horizonte;2016;2;3;260;5;;;;;;;;35
Alto Horizonte;2017;2;3;173;7;;;;;;;;34
Alto Horizonte;2018;3;5;9;5;  ;  ;  ;  ;  ;  ;  ;36
Alto Paraíso de Goiás;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Alto Paraíso de Goiás;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Alto Paraíso de Goiás;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Alto Paraíso de Goiás;2002;;;;;;;;;;;;
Alto Paraíso de Goiás;2003;;;;;;;;;;;;
Alto Paraíso de Goiás;2004;  ;2;  ;  ;  ;  ;  ;  ;  ;  ;  ;1
Alto Paraíso de Goiás;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;62
Alto Paraíso de Goiás;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;2
Alto Paraíso de Goiás;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;2
Alto Paraíso de Goiás;2008;  ;  ;  ;  ;  ;  ;  ;3;  ;  ;  ;3
Alto Paraíso de Goiás;2009;1;3;  ;  ;  ;  ;  ;  ;2;  ;  ;3
Alto Paraíso de Goiás;2010;1;  ;  ;  ;  ;  ;  ;  ;2;  ;  ;6
Alto Paraíso de Goiás;2011;5;;;;;;;;1;1;;8
Alto Paraíso de Goiás;2012;4;;;;;;;;2;;;10
Alto Paraíso de Goiás;2013;2;;;;;;;2;3;;;8
Alto Paraíso de Goiás;2014;1;;;;;1;2;1;;;;7
Alto Paraíso de Goiás;2015;1;;;;;1;2;2;;;;6
Alto Paraíso de Goiás;2016;;;;;;1;1;2;12;;;7
Alto Paraíso de Goiás;2017;;;;;;9;1;2;14;;;8
Alto Paraíso de Goiás;2018;1;  ;  ;  ;  ;13;1;2;17;  ;  ;11
Alvorada do Norte;1999;10;  ;3;  ;  ;  ;  ;  ;  ;  ;  ;5
Alvorada do Norte;2000;18;  ;4;  ;  ;  ;  ;  ;  ;  ;  ;4
Alvorada do Norte;2001;17;  ;3;  ;  ;  ;  ;  ;  ;  ;  ;3
Alvorada do Norte;2002;16;;3;;;;3;;;;;2
Alvorada do Norte;2003;13;;2;;;;3;;;;;2
Alvorada do Norte;2004;22;  ;2;  ;  ;  ;2;  ;  ;  ;  ;3
Alvorada do Norte;2005;25;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;5
Alvorada do Norte;2006;24;  ;  ;  ;  ;  ;2;  ;  ;  ;  ;2
Alvorada do Norte;2007;21;  ;  ;  ;  ;  ;2;  ;  ;  ;  ;2
Alvorada do Norte;2008;19;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Alvorada do Norte;2009;18;  ;  ;  ;  ;  ;1;  ;  ;  ;  ;  
Alvorada do Norte;2010;24;  ;  ;  ;  ;  ;  ;  ;  ;6;  ;  
Alvorada do Norte;2011;13;;;;;;1;;;6;;1
Alvorada do Norte;2012;26;;;;;;2;;;6;;
Alvorada do Norte;2013;16;7;;;;;1;;;;;
Alvorada do Norte;2014;20;;;;;;1;;2;;;
Alvorada do Norte;2015;7;;;;;6;;;1;;;
Alvorada do Norte;2016;5;;;;;;;;2;;;2
Alvorada do Norte;2017;10;;;;;;;;2;;;2
Alvorada do Norte;2018;11;  ;  ;  ;  ;  ;  ;  ;2;  ;  ;2
Amaralina;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Amaralina;2000;  ;  ;  ;  ;  ;  ;5;  ;  ;  ;  ;  
Amaralina;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Amaralina;2002;;;;;;;;;1;;;
Amaralina;2003;;;;;;;;;;;;
Amaralina;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Amaralina;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Amaralina;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Amaralina;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Amaralina;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Amaralina;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Amaralina;2010;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Amaralina;2011;;;;;;;;;;;;
Amaralina;2012;;;;;;;;;;;;
Amaralina;2013;;;;;;;;;;;;
Amaralina;2014;;;;;;;;;;;;5
Amaralina;2015;;;;;;;;;;;;9
Amaralina;2016;;;;;;;;;;;;14
Amaralina;2017;;;;;;;;;;;;18
Amaralina;2018;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;14
Americano do Brasil;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;9
Americano do Brasil;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;8;  ;7
Americano do Brasil;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;6
Americano do Brasil;2002;;;;;;;;;;2;;6
Americano do Brasil;2003;;;;;;;;;;3;;1
Americano do Brasil;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;4
Americano do Brasil;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;3
Americano do Brasil;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;6
Americano do Brasil;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;9;  ;13
Americano do Brasil;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;10;  ;14
Americano do Brasil;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;8;  ;17
Americano do Brasil;2010;  ;  ;  ;  ;  ;  ;  ;  ;  ;10;  ;21
Americano do Brasil;2011;;;;;;;;;;21;;25
Americano do Brasil;2012;8;;;;;;;;;29;;16
Americano do Brasil;2013;5;;;;;;;;;30;;15
Americano do Brasil;2014;;;;;;;;;;23;;13
Americano do Brasil;2015;;;;;;;;59;;37;;11
Americano do Brasil;2016;;;;;;;;98;;37;;16
Americano do Brasil;2017;;;;;;;;82;;45;;12
Americano do Brasil;2018;  ;  ;  ;  ;  ;  ;  ;106;  ;32;  ;17
Amorinópolis;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;10
Amorinópolis;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;15
Amorinópolis;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;4
Amorinópolis;2002;;;;;;;;;;;;17
Amorinópolis;2003;;;;;;;;;;;;20
Amorinópolis;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;22
Amorinópolis;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;52
Amorinópolis;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;60
Amorinópolis;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1;79
Amorinópolis;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1;79
Amorinópolis;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;2;89
Amorinópolis;2010;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;2;75
Amorinópolis;2011;;;;;;;;;;13;2;61
Amorinópolis;2012;;;;;;;;;;;1;92
Amorinópolis;2013;;;;;;;;;;;;92
Amorinópolis;2014;;;;;;;;;;;;20
Amorinópolis;2015;;;;;;;;;;;;13
Amorinópolis;2016;;;;;;;;;;9;;
Amorinópolis;2017;;;;;;;;;;;;
Amorinópolis;2018;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Anápolis;1999;1083;511;187;180;184;448;236;264;2805;1172;32;1896
Anápolis;2000;1181;557;372;164;205;500;365;282;4204;1182;25;1947
Anápolis;2001;973;565;142;38;236;495;357;227;4620;1036;24;2245
Anápolis;2002;1060;725;166;44;252;466;371;281;4771;1109;29;2296
Anápolis;2003;1054;695;200;35;267;319;500;290;4690;1094;55;2480
Anápolis;2004;982;694;185;46;297;283;568;205;5730;1101;69;2655
Anápolis;2005;1146;912;163;60;278;324;623;299;6174;1320;53;3017
Anápolis;2006;834;1166;148;65;245;574;779;357;6941;1450;54;3176
Anápolis;2007;1152;1439;185;55;507;533;838;430;6923;1490;19;3287
Anápolis;2008;1227;1471;557;41;515;601;900;416;6759;1550;41;3862
Anápolis;2009;1254;1307;557;46;873;800;941;441;6940;1621;30;4424
Anápolis;2010;1431;1456;688;77;1954;917;1093;451;7773;1938;43;4467
Anápolis;2011;1510;1570;1024;82;1983;930;1145;325;8744;2302;43;4766
Anápolis;2012;1433;1637;1234;124;1905;885;1240;354;9368;2600;58;5909
Anápolis;2013;1573;1752;932;266;2111;896;1525;350;10366;2598;39;6272
Anápolis;2014;1426;1528;1395;300;2049;957;1565;377;11282;2156;41;6263
Anápolis;2015;1345;1652;1389;310;1759;857;1691;429;11600;1737;31;5496
Anápolis;2016;1028;1365;965;278;1552;819;1669;336;11545;1561;32;5217
Anápolis;2017;872;1675;507;282;1476;758;1795;351;11936;1555;39;5205
Anápolis;2018;787;1764;592;275;1533;805;1876;427;12332;1014;26;5364
Anhanguera;1999;  ;  ;  ;  ;  ;  ;  ;  ;25;  ;  ;  
Anhanguera;2000;  ;  ;  ;  ;  ;  ;  ;  ;22;  ;  ;  
Anhanguera;2001;20;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Anhanguera;2002;20;;;;;;;;;;;
Anhanguera;2003;;;;;;;;;;;;
Anhanguera;2004;15;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Anhanguera;2005;2;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Anhanguera;2006;15;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Anhanguera;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Anhanguera;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Anhanguera;2009;7;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Anhanguera;2010;19;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Anhanguera;2011;3;;;;;;;;;;;
Anhanguera;2012;11;;;;;;;;;;;
Anhanguera;2013;10;;;;;;;;;;;
Anhanguera;2014;29;;;;;;;;;;;
Anhanguera;2015;16;;;;;;;;;;;
Anhanguera;2016;21;;;;;;;;;;;
Anhanguera;2017;9;;;;;;;;;;;
Anhanguera;2018;7;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Anicuns;1999;182;4;  ;  ;  ;12;2;35;214;3;26;165
Anicuns;2000;182;11;  ;  ;  ;9;1;17;295;1;18;32
Anicuns;2001;205;19;  ;  ;  ;10;2;50;109;2;22;206
Anicuns;2002;219;1;;;;3;1;79;47;3;16;618
Anicuns;2003;180;5;;;;5;2;83;33;3;11;680
Anicuns;2004;170;6;4;  ;  ;1;1;67;26;  ;21;684
Anicuns;2005;148;5;4;  ;  ;6;  ;  ;16;  ;5;910
Anicuns;2006;165;120;8;  ;  ;6;3;  ;19;4;14;1218
Anicuns;2007;203;148;64;  ;  ;4;3;8;19;3;16;1475
Anicuns;2008;186;65;31;5;  ;8;3;11;17;10;13;1226
Anicuns;2009;160;21;28;2;  ;8;3;1;27;13;13;1370
Anicuns;2010;190;11;  ;1;  ;4;5;  ;1376;21;30;86
Anicuns;2011;207;26;;;;4;3;;1678;99;24;95
Anicuns;2012;215;17;5;;;8;6;;1417;124;18;109
Anicuns;2013;219;16;;;;6;5;;1477;171;23;112
Anicuns;2014;237;18;;;;5;5;4;1329;126;25;128
Anicuns;2015;216;16;;;;4;2;;1091;120;25;118
Anicuns;2016;179;15;1;;;6;5;14;1106;70;30;124
Anicuns;2017;192;11;;;;4;4;24;927;107;25;112
Anicuns;2018;195;7;  ;  ;  ;6;4;2;878;65;18;128
Aparecida de Goiânia;1999;299;1007;154;190;2;507;571;125;1147;512;17;1920
Aparecida de Goiânia;2000;369;1047;281;143;5;743;598;131;1316;660;16;2611
Aparecida de Goiânia;2001;402;1067;213;142;28;744;756;130;1653;739;34;2805
Aparecida de Goiânia;2002;487;903;220;168;48;750;503;122;1521;714;44;2991
Aparecida de Goiânia;2003;447;788;204;82;76;892;670;160;1872;763;49;2850
Aparecida de Goiânia;2004;447;951;214;38;13;650;1065;205;2168;1026;34;2734
Aparecida de Goiânia;2005;710;1260;142;39;65;989;1363;246;1410;1222;42;2874
Aparecida de Goiânia;2006;897;1043;304;170;58;1145;1555;143;2833;1204;67;2827
Aparecida de Goiânia;2007;997;1179;333;127;53;1410;1326;169;3013;1325;42;3102
Aparecida de Goiânia;2008;1066;1652;313;157;88;1919;1501;257;3215;1579;46;3211
Aparecida de Goiânia;2009;1095;1637;553;160;96;2022;1668;301;3353;1787;44;3304
Aparecida de Goiânia;2010;1366;1993;646;318;101;2108;1673;253;3367;2005;46;3755
Aparecida de Goiânia;2011;1934;2370;614;276;108;2728;1722;314;3467;1994;60;3720
Aparecida de Goiânia;2012;1807;2612;808;244;89;2748;1681;361;3560;1950;51;4227
