Localidade;Ano;Instituições de Crédito, Seguro e de Capitalização;Administradoras de Imóveis, Valores Mobiliários, Serviços Técnicos, Profissionais, Auxiliar de Atividade Econômica;Transporte e Comunicações;Serviços de Alojamento, Alimentação, Reparo, Manutenção, Radiodifusão e Televisão;Serviços Médicos, Odontológicos e Veterinários;Ensino
Santa Tereza de Goiás;2016;;3;5;8;1;
Santa Tereza de Goiás;2017;;3;4;6;2;
Santa Tereza de Goiás;2018;  ;3;4;11;2;36
Santa Terezinha de Goiás;1999;8;3;3;3;7;  
Santa Terezinha de Goiás;2000;10;3;3;8;7;  
Santa Terezinha de Goiás;2001;10;4;3;10;5;7
Santa Terezinha de Goiás;2002;9;6;4;20;;7
Santa Terezinha de Goiás;2003;8;2;5;15;;12
Santa Terezinha de Goiás;2004;9;2;5;32;  ;15
Santa Terezinha de Goiás;2005;9;3;6;22;  ;19
Santa Terezinha de Goiás;2006;9;3;6;10;  ;16
Santa Terezinha de Goiás;2007;12;3;8;12;  ;16
Santa Terezinha de Goiás;2008;9;7;6;16;  ;13
Santa Terezinha de Goiás;2009;10;8;8;17;  ;20
Santa Terezinha de Goiás;2010;12;11;10;32;1;15
Santa Terezinha de Goiás;2011;16;20;8;23;;22
Santa Terezinha de Goiás;2012;16;19;11;31;1;21
Santa Terezinha de Goiás;2013;17;17;10;36;1;23
Santa Terezinha de Goiás;2014;16;18;11;40;1;38
Santa Terezinha de Goiás;2015;23;26;10;37;1;36
Santa Terezinha de Goiás;2016;23;21;11;46;3;26
Santa Terezinha de Goiás;2017;20;18;4;37;5;29
Santa Terezinha de Goiás;2018;20;40;5;28;5;29
Santo Antônio da Barra;1999;  ;  ;4;  ;  ;  
Santo Antônio da Barra;2000;  ;  ;  ;  ;  ;  
Santo Antônio da Barra;2001;  ;  ;5;  ;  ;  
Santo Antônio da Barra;2002;;;1;;;
Santo Antônio da Barra;2003;;;8;;;
Santo Antônio da Barra;2004;  ;2;6;  ;  ;  
Santo Antônio da Barra;2005;  ;5;1;1;  ;  
Santo Antônio da Barra;2006;  ;1;7;1;1;  
Santo Antônio da Barra;2007;  ;  ;10;1;  ;  
Santo Antônio da Barra;2008;  ;  ;8;  ;  ;  
Santo Antônio da Barra;2009;  ;  ;8;1;  ;  
Santo Antônio da Barra;2010;  ;1;7;3;  ;  
Santo Antônio da Barra;2011;;2;26;11;1;
Santo Antônio da Barra;2012;;2;31;13;1;
Santo Antônio da Barra;2013;;3;44;14;1;
Santo Antônio da Barra;2014;;60;35;14;2;
Santo Antônio da Barra;2015;4;18;41;7;;
Santo Antônio da Barra;2016;4;20;16;8;1;
Santo Antônio da Barra;2017;3;23;16;8;2;
Santo Antônio da Barra;2018;4;25;12;9;1;  
Santo Antônio de Goiás;1999;  ;367;4;13;  ;  
Santo Antônio de Goiás;2000;  ;365;1;44;1;  
Santo Antônio de Goiás;2001;  ;342;5;57;2;  
Santo Antônio de Goiás;2002;;334;4;150;2;
Santo Antônio de Goiás;2003;;341;17;75;3;
Santo Antônio de Goiás;2004;  ;349;37;14;3;  
Santo Antônio de Goiás;2005;  ;257;70;22;2;  
Santo Antônio de Goiás;2006;  ;420;116;38;1;  
Santo Antônio de Goiás;2007;  ;581;132;38;1;6
Santo Antônio de Goiás;2008;  ;625;127;48;1;9
Santo Antônio de Goiás;2009;  ;500;110;15;1;10
Santo Antônio de Goiás;2010;  ;513;132;41;1;7
Santo Antônio de Goiás;2011;;577;179;57;;9
Santo Antônio de Goiás;2012;;596;161;57;;7
Santo Antônio de Goiás;2013;;502;103;36;;10
Santo Antônio de Goiás;2014;;560;66;39;;10
Santo Antônio de Goiás;2015;;624;84;35;;12
Santo Antônio de Goiás;2016;;649;97;36;2;3
Santo Antônio de Goiás;2017;;634;158;33;2;4
Santo Antônio de Goiás;2018;3;744;39;36;1;3
Santo Antônio do Descoberto;1999;12;17;328;58;2;68
Santo Antônio do Descoberto;2000;10;11;362;65;9;77
Santo Antônio do Descoberto;2001;9;19;361;88;9;192
Santo Antônio do Descoberto;2002;10;13;383;109;10;103
Santo Antônio do Descoberto;2003;6;14;380;52;15;93
Santo Antônio do Descoberto;2004;11;17;397;60;14;82
Santo Antônio do Descoberto;2005;14;9;449;45;18;78
Santo Antônio do Descoberto;2006;16;17;474;68;18;78
Santo Antônio do Descoberto;2007;22;17;497;97;18;131
Santo Antônio do Descoberto;2008;25;19;477;66;20;100
Santo Antônio do Descoberto;2009;42;27;480;152;26;174
Santo Antônio do Descoberto;2010;39;41;488;172;37;207
Santo Antônio do Descoberto;2011;51;37;494;190;35;157
Santo Antônio do Descoberto;2012;67;43;503;145;36;163
Santo Antônio do Descoberto;2013;70;46;505;173;46;173
Santo Antônio do Descoberto;2014;58;115;478;192;49;137
Santo Antônio do Descoberto;2015;48;105;498;375;61;170
Santo Antônio do Descoberto;2016;45;161;521;308;115;189
Santo Antônio do Descoberto;2017;38;386;526;324;134;180
Santo Antônio do Descoberto;2018;33;315;501;442;589;2144
São Domingos;1999;6;9;3;1;  ;  
São Domingos;2000;8;10;3;2;  ;  
São Domingos;2001;6;9;3;  ;  ;  
São Domingos;2002;6;14;3;;;
São Domingos;2003;7;14;3;;1;
São Domingos;2004;7;13;4;  ;  ;  
São Domingos;2005;9;13;3;5;  ;  
São Domingos;2006;6;14;4;5;  ;  
São Domingos;2007;7;15;17;20;  ;  
São Domingos;2008;6;11;33;12;  ;  
São Domingos;2009;6;17;43;16;  ;  
São Domingos;2010;9;28;44;21;  ;  
São Domingos;2011;8;20;26;20;;
São Domingos;2012;11;15;21;20;;
São Domingos;2013;10;16;15;14;;
São Domingos;2014;11;18;14;16;;
São Domingos;2015;11;13;36;26;;
São Domingos;2016;10;14;9;20;;
São Domingos;2017;9;16;28;16;;
São Domingos;2018;8;17;28;16;1;  
São Francisco de Goiás;1999;5;21;2;2;2;  
São Francisco de Goiás;2000;3;28;2;1;1;  
São Francisco de Goiás;2001;4;32;2;18;1;  
São Francisco de Goiás;2002;4;23;5;25;2;
São Francisco de Goiás;2003;5;33;3;31;;
São Francisco de Goiás;2004;2;37;3;40;2;  
São Francisco de Goiás;2005;2;1;4;53;2;  
São Francisco de Goiás;2006;2;2;3;40;3;1
São Francisco de Goiás;2007;2;2;8;30;  ;  
São Francisco de Goiás;2008;2;  ;7;8;1;  
São Francisco de Goiás;2009;2;2;4;57;1;1
São Francisco de Goiás;2010;2;8;4;54;1;  
São Francisco de Goiás;2011;3;11;3;48;1;2
São Francisco de Goiás;2012;2;6;3;30;1;2
São Francisco de Goiás;2013;2;2;3;56;1;
São Francisco de Goiás;2014;2;3;3;57;;2
São Francisco de Goiás;2015;3;7;5;64;3;3
São Francisco de Goiás;2016;2;9;5;89;3;3
São Francisco de Goiás;2017;3;6;7;73;1;1
São Francisco de Goiás;2018;4;8;10;62;2;2
São João d'Aliança;1999;7;4;1;9;  ;1
São João d'Aliança;2000;8;4;2;22;  ;1
São João d'Aliança;2001;9;6;2;19;8;  
São João d'Aliança;2002;6;8;2;25;6;3
São João d'Aliança;2003;6;5;2;40;4;11
São João d'Aliança;2004;7;9;2;45;1;13
São João d'Aliança;2005;2;8;2;56;  ;11
São João d'Aliança;2006;2;9;3;54;1;12
São João d'Aliança;2007;3;7;4;38;1;10
São João d'Aliança;2008;9;9;7;44;4;10
São João d'Aliança;2009;4;7;10;61;  ;10
São João d'Aliança;2010;4;9;4;65;2;12
São João d'Aliança;2011;5;21;5;79;3;15
São João d'Aliança;2012;4;18;7;83;2;15
São João d'Aliança;2013;4;23;9;84;4;21
São João d'Aliança;2014;4;28;16;90;6;13
São João d'Aliança;2015;4;29;19;86;5;16
São João d'Aliança;2016;4;26;31;79;5;16
São João d'Aliança;2017;5;25;31;80;5;16
São João d'Aliança;2018;5;29;30;95;5;18
São João da Paraúna;1999;  ;  ;1;  ;  ;  
São João da Paraúna;2000;  ;  ;1;1;  ;  
São João da Paraúna;2001;  ;  ;1;2;  ;  
São João da Paraúna;2002;;;1;2;;
São João da Paraúna;2003;;;1;1;1;
São João da Paraúna;2004;  ;  ;1;1;  ;  
São João da Paraúna;2005;  ;  ;1;1;  ;  
São João da Paraúna;2006;  ;  ;2;1;  ;  
São João da Paraúna;2007;  ;  ;4;1;  ;  
São João da Paraúna;2008;  ;  ;1;1;  ;  
São João da Paraúna;2009;  ;  ;1;1;21;  
São João da Paraúna;2010;  ;1;1;2;20;  
São João da Paraúna;2011;;;2;2;19;
São João da Paraúna;2012;;;2;5;33;11
São João da Paraúna;2013;;1;2;13;45;19
São João da Paraúna;2014;;1;3;11;47;13
São João da Paraúna;2015;;1;2;12;43;4
São João da Paraúna;2016;;1;3;9;31;12
São João da Paraúna;2017;;1;1;9;30;
São João da Paraúna;2018;  ;1;6;11;29;  
São Luis de Montes Belos;1999;34;11;35;88;55;81
São Luis de Montes Belos;2000;37;17;39;90;49;69
São Luis de Montes Belos;2001;37;22;55;108;42;75
São Luis de Montes Belos;2002;38;33;85;115;42;78
São Luis de Montes Belos;2003;37;35;96;256;43;101
São Luis de Montes Belos;2004;37;24;125;284;49;136
São Luis de Montes Belos;2005;42;55;106;163;49;141
São Luis de Montes Belos;2006;45;36;161;159;57;187
São Luis de Montes Belos;2007;41;76;123;177;62;220
São Luis de Montes Belos;2008;45;77;118;180;61;140
São Luis de Montes Belos;2009;53;114;116;218;75;85
São Luis de Montes Belos;2010;58;117;141;218;85;304
São Luis de Montes Belos;2011;56;130;161;250;88;372
São Luis de Montes Belos;2012;58;163;180;247;97;368
São Luis de Montes Belos;2013;57;167;171;261;106;363
São Luis de Montes Belos;2014;54;171;179;304;155;373
São Luis de Montes Belos;2015;59;143;187;303;188;331
São Luis de Montes Belos;2016;57;156;207;304;216;335
São Luis de Montes Belos;2017;57;166;267;312;246;137
São Luis de Montes Belos;2018;64;189;322;324;264;286
São Luiz do Norte;1999;  ;  ;2;  ;  ;  
São Luiz do Norte;2000;  ;  ;2;1;  ;  
São Luiz do Norte;2001;  ;  ;1;24;  ;  
São Luiz do Norte;2002;;;1;16;;
São Luiz do Norte;2003;;;1;19;;
São Luiz do Norte;2004;  ;  ;2;9;  ;  
São Luiz do Norte;2005;  ;  ;4;10;  ;  
São Luiz do Norte;2006;  ;  ;3;7;  ;  
São Luiz do Norte;2007;  ;  ;3;9;  ;  
São Luiz do Norte;2008;  ;  ;11;15;  ;  
São Luiz do Norte;2009;  ;2;4;12;  ;  
São Luiz do Norte;2010;  ;3;4;17;  ;  
São Luiz do Norte;2011;;2;8;29;;
São Luiz do Norte;2012;;1;8;41;1;2
São Luiz do Norte;2013;;2;3;34;2;2
São Luiz do Norte;2014;;1;5;33;2;3
São Luiz do Norte;2015;;2;13;28;2;3
São Luiz do Norte;2016;;4;12;22;2;2
São Luiz do Norte;2017;;11;12;21;2;2
São Luiz do Norte;2018;  ;10;10;18;1;1
São Miguel do Araguaia;1999;36;12;13;68;34;5
São Miguel do Araguaia;2000;32;13;11;60;35;16
São Miguel do Araguaia;2001;34;16;12;62;31;46
São Miguel do Araguaia;2002;33;32;22;60;28;45
São Miguel do Araguaia;2003;32;33;20;65;33;42
São Miguel do Araguaia;2004;31;27;19;68;30;38
São Miguel do Araguaia;2005;32;26;22;74;28;37
São Miguel do Araguaia;2006;29;20;17;87;37;32
São Miguel do Araguaia;2007;31;29;17;95;33;31
São Miguel do Araguaia;2008;34;32;12;86;34;25
São Miguel do Araguaia;2009;37;43;17;75;32;22
São Miguel do Araguaia;2010;42;54;22;94;32;27
São Miguel do Araguaia;2011;39;61;29;140;24;32
São Miguel do Araguaia;2012;39;78;31;191;25;32
São Miguel do Araguaia;2013;37;89;48;205;42;30
São Miguel do Araguaia;2014;37;103;53;210;45;46
São Miguel do Araguaia;2015;38;99;76;219;46;47
São Miguel do Araguaia;2016;40;89;78;198;48;45
São Miguel do Araguaia;2017;37;93;91;140;46;42
São Miguel do Araguaia;2018;37;107;107;147;90;39
São Miguel do Passa Quatro;1999;  ;2;1;1;  ;2
São Miguel do Passa Quatro;2000;  ;1;1;2;  ;2
São Miguel do Passa Quatro;2001;  ;4;1;1;  ;3
São Miguel do Passa Quatro;2002;;1;1;1;;4
São Miguel do Passa Quatro;2003;;;3;6;;4
São Miguel do Passa Quatro;2004;  ;  ;4;10;  ;  
São Miguel do Passa Quatro;2005;3;  ;5;5;  ;  
São Miguel do Passa Quatro;2006;4;  ;7;12;  ;  
São Miguel do Passa Quatro;2007;  ;2;10;10;  ;  
São Miguel do Passa Quatro;2008;  ;3;7;10;  ;  
São Miguel do Passa Quatro;2009;  ;6;7;13;  ;  
São Miguel do Passa Quatro;2010;7;6;9;10;  ;  
São Miguel do Passa Quatro;2011;10;5;13;13;;
São Miguel do Passa Quatro;2012;4;6;6;17;;
São Miguel do Passa Quatro;2013;6;13;10;20;;
São Miguel do Passa Quatro;2014;5;10;16;22;2;1
São Miguel do Passa Quatro;2015;6;8;15;27;;1
São Miguel do Passa Quatro;2016;6;10;14;21;;
São Miguel do Passa Quatro;2017;8;8;20;32;1;
São Miguel do Passa Quatro;2018;6;8;21;40;1;  
São Patrício;1999;  ;  ;  ;  ;  ;  
São Patrício;2000;  ;  ;  ;  ;  ;  
São Patrício;2001;  ;  ;  ;  ;  ;  
São Patrício;2002;;;;;;
São Patrício;2003;;;;;;
São Patrício;2004;  ;  ;  ;  ;  ;  
São Patrício;2005;  ;  ;1;  ;  ;  
São Patrício;2006;  ;  ;1;  ;  ;  
São Patrício;2007;  ;  ;1;  ;  ;  
São Patrício;2008;  ;  ;1;1;  ;  
São Patrício;2009;  ;  ;1;1;  ;  
São Patrício;2010;  ;  ;1;  ;  ;  
São Patrício;2011;;;1;1;;
São Patrício;2012;;;1;1;;
São Patrício;2013;;;1;;;
São Patrício;2014;;;2;3;;
São Patrício;2015;;;2;5;;
São Patrício;2016;;;2;5;;
São Patrício;2017;;;1;3;;
São Patrício;2018;  ;  ;8;3;  ;  
São Simão;1999;16;15;36;35;6;1
São Simão;2000;16;6;30;52;9;3
São Simão;2001;19;8;24;65;7;22
São Simão;2002;21;6;27;67;11;15
São Simão;2003;20;16;40;62;18;1
São Simão;2004;17;8;58;67;75;7
São Simão;2005;18;7;61;75;20;6
São Simão;2006;19;13;57;80;12;  
São Simão;2007;18;21;117;129;13;2
São Simão;2008;20;33;128;126;15;23
São Simão;2009;31;131;170;160;18;28
São Simão;2010;28;39;160;172;18;30
São Simão;2011;29;46;138;189;27;9
São Simão;2012;32;59;170;207;23;21
São Simão;2013;36;78;193;221;27;30
São Simão;2014;40;100;133;193;38;24
São Simão;2015;41;69;108;168;37;24
São Simão;2016;46;82;246;149;38;11
São Simão;2017;44;188;226;236;42;19
São Simão;2018;43;202;239;223;46;5
Senador Canedo;1999;8;160;106;112;50;8
Senador Canedo;2000;4;253;133;64;49;8
Senador Canedo;2001;3;419;86;82;34;15
Senador Canedo;2002;29;329;206;109;40;23
Senador Canedo;2003;12;370;199;203;50;23
Senador Canedo;2004;17;363;325;168;56;24
Senador Canedo;2005;12;233;401;196;53;27
Senador Canedo;2006;31;302;301;168;69;33
Senador Canedo;2007;58;415;312;155;123;24
Senador Canedo;2008;37;500;168;203;73;43
Senador Canedo;2009;40;508;424;205;82;56
Senador Canedo;2010;48;534;602;234;87;75
Senador Canedo;2011;74;450;572;333;85;87
Senador Canedo;2012;84;665;543;323;88;110
Senador Canedo;2013;76;492;548;525;105;130
Senador Canedo;2014;71;729;543;657;106;175
Senador Canedo;2015;84;692;496;690;125;203
Senador Canedo;2016;82;814;598;691;114;212
Senador Canedo;2017;84;659;488;928;136;216
Senador Canedo;2018;81;923;643;776;149;260
Serranópolis;1999;5;4;1;5;  ;  
Serranópolis;2000;7;3;2;2;1;  
Serranópolis;2001;  ;4;2;12;1;  
Serranópolis;2002;;1;7;14;1;
Serranópolis;2003;;2;7;22;1;
Serranópolis;2004;  ;2;9;33;1;  
Serranópolis;2005;4;1;10;32;  ;  
Serranópolis;2006;4;3;19;26;  ;  
Serranópolis;2007;5;2;19;29;1;1
Serranópolis;2008;6;6;14;47;1;1
Serranópolis;2009;6;5;32;46;1;3
Serranópolis;2010;8;5;31;64;1;2
Serranópolis;2011;8;27;24;62;1;2
Serranópolis;2012;13;14;28;55;;6
Serranópolis;2013;12;13;29;48;;
Serranópolis;2014;10;12;38;48;1;
Serranópolis;2015;11;9;45;59;3;3
Serranópolis;2016;11;6;57;39;1;5
Serranópolis;2017;12;9;66;75;3;4
Serranópolis;2018;11;6;66;44;4;3
Silvânia;1999;27;45;26;59;31;37
Silvânia;2000;27;22;34;57;35;49
Silvânia;2001;26;7;28;95;44;32
Silvânia;2002;27;10;33;89;45;33
Silvânia;2003;28;13;35;99;45;38
Silvânia;2004;25;13;41;105;49;37
Silvânia;2005;28;8;51;116;13;177
Silvânia;2006;26;20;33;144;40;126
Silvânia;2007;27;25;38;119;45;95
Silvânia;2008;28;27;59;111;41;58
Silvânia;2009;31;21;62;105;14;53
Silvânia;2010;37;45;55;133;48;75
Silvânia;2011;40;101;63;135;43;107
Silvânia;2012;41;45;45;181;43;105
Silvânia;2013;37;69;58;147;40;105
Silvânia;2014;46;118;65;204;22;83
Silvânia;2015;46;107;79;192;207;43
Silvânia;2016;47;127;83;198;220;47
Silvânia;2017;47;176;78;202;229;144
Silvânia;2018;50;372;80;226;34;160
Simolândia;1999;  ;  ;  ;16;  ;  
Simolândia;2000;  ;1;  ;15;  ;  
Simolândia;2001;  ;1;  ;12;  ;  
Simolândia;2002;;;3;25;;
Simolândia;2003;;;3;23;;
Simolândia;2004;  ;7;5;25;  ;2
Simolândia;2005;  ;3;9;26;  ;1
Simolândia;2006;  ;4;6;29;  ;  
Simolândia;2007;  ;1;6;37;  ;  
Simolândia;2008;  ;4;10;30;  ;  
Simolândia;2009;  ;1;10;32;  ;  
Simolândia;2010;  ;7;17;40;  ;2
Simolândia;2011;;7;22;56;;6
Simolândia;2012;;7;22;60;;
Simolândia;2013;;10;13;53;;2
Simolândia;2014;;36;11;57;;10
Simolândia;2015;;46;14;70;;10
Simolândia;2016;;46;12;79;;6
Simolândia;2017;;57;11;85;1;5
Simolândia;2018;  ;38;8;127;  ;6
Sítio d'Abadia;1999;  ;  ;1;  ;  ;  
Sítio d'Abadia;2000;  ;  ;1;  ;  ;  
Sítio d'Abadia;2001;  ;  ;1;  ;  ;  
Sítio d'Abadia;2002;;;1;;;
Sítio d'Abadia;2003;;;2;;;
Sítio d'Abadia;2004;  ;  ;2;  ;  ;  
Sítio d'Abadia;2005;  ;  ;2;  ;  ;  
Sítio d'Abadia;2006;  ;  ;2;  ;  ;  
Sítio d'Abadia;2007;  ;  ;2;  ;  ;  
Sítio d'Abadia;2008;  ;  ;2;  ;  ;  
Sítio d'Abadia;2009;  ;  ;2;  ;  ;  
Sítio d'Abadia;2010;  ;  ;2;  ;  ;  
Sítio d'Abadia;2011;;;2;6;;
Sítio d'Abadia;2012;;;1;;;
Sítio d'Abadia;2013;;;1;;;
Sítio d'Abadia;2014;;;1;2;;
Sítio d'Abadia;2015;;;2;1;;
Sítio d'Abadia;2016;;;3;;;
Sítio d'Abadia;2017;;;3;;;
Sítio d'Abadia;2018;  ;  ;2;  ;  ;  
Taquaral de Goiás;1999;  ;  ;2;1;6;  
Taquaral de Goiás;2000;  ;  ;2;1;4;4
Taquaral de Goiás;2001;  ;  ;1;1;5;4
Taquaral de Goiás;2002;;;3;;3;
Taquaral de Goiás;2003;;;3;3;4;
Taquaral de Goiás;2004;  ;  ;3;2;4;  
Taquaral de Goiás;2005;  ;  ;3;3;5;  
Taquaral de Goiás;2006;  ;2;3;3;4;  
Taquaral de Goiás;2007;  ;  ;4;3;5;  
Taquaral de Goiás;2008;  ;  ;  ;3;4;  
Taquaral de Goiás;2009;  ;  ;2;2;5;1
Taquaral de Goiás;2010;  ;  ;2;6;3;1
Taquaral de Goiás;2011;;1;3;5;6;1
Taquaral de Goiás;2012;;;3;5;5;
Taquaral de Goiás;2013;;1;4;5;5;
Taquaral de Goiás;2014;;1;3;4;4;
Taquaral de Goiás;2015;;;9;6;3;
Taquaral de Goiás;2016;;2;9;6;4;4
Taquaral de Goiás;2017;;3;4;8;6;2
Taquaral de Goiás;2018;  ;5;6;6;7;6
Teresina de Goiás;1999;  ;  ;  ;  ;  ;  
Teresina de Goiás;2000;  ;  ;  ;  ;  ;  
Teresina de Goiás;2001;  ;  ;  ;  ;  ;  
Teresina de Goiás;2002;;;3;;;
Teresina de Goiás;2003;;;3;;;
Teresina de Goiás;2004;  ;  ;4;4;  ;  
Teresina de Goiás;2005;  ;  ;4;6;  ;  
Teresina de Goiás;2006;  ;  ;3;3;  ;  
Teresina de Goiás;2007;  ;2;4;5;  ;  
Teresina de Goiás;2008;  ;2;5;7;  ;  
Teresina de Goiás;2009;  ;2;4;11;  ;  
Teresina de Goiás;2010;  ;3;4;7;  ;  
Teresina de Goiás;2011;;2;4;17;;
Teresina de Goiás;2012;;1;4;15;;
Teresina de Goiás;2013;;1;3;15;;
Teresina de Goiás;2014;;1;8;13;;
Teresina de Goiás;2015;;;9;22;;
Teresina de Goiás;2016;;;8;23;;
Teresina de Goiás;2017;;2;2;14;;
Teresina de Goiás;2018;  ;1;2;19;  ;  
Terezópolis de Goiás;1999;  ;  ;1;12;  ;  
Terezópolis de Goiás;2000;  ;  ;1;21;  ;  
Terezópolis de Goiás;2001;  ;1;1;55;  ;  
Terezópolis de Goiás;2002;;27;5;58;;
Terezópolis de Goiás;2003;;3;1;86;;
Terezópolis de Goiás;2004;  ;5;6;75;  ;  
Terezópolis de Goiás;2005;  ;38;17;64;  ;  
Terezópolis de Goiás;2006;  ;22;4;61;  ;  
Terezópolis de Goiás;2007;1;22;3;81;1;  
Terezópolis de Goiás;2008;1;19;4;59;1;  
Terezópolis de Goiás;2009;1;4;9;58;1;  
Terezópolis de Goiás;2010;  ;6;12;51;1;  
Terezópolis de Goiás;2011;;10;12;56;1;
Terezópolis de Goiás;2012;;9;14;72;;
Terezópolis de Goiás;2013;;59;12;82;1;
Terezópolis de Goiás;2014;;44;92;91;;
Terezópolis de Goiás;2015;1;39;98;103;1;
Terezópolis de Goiás;2016;2;43;74;113;1;
Terezópolis de Goiás;2017;1;35;80;117;1;
Terezópolis de Goiás;2018;  ;36;82;121;1;  
Três Ranchos;1999;1;20;6;49;  ;  
Três Ranchos;2000;3;32;9;28;  ;  
Três Ranchos;2001;2;32;11;14;  ;  
Três Ranchos;2002;2;34;14;18;;
Três Ranchos;2003;2;27;10;35;;
Três Ranchos;2004;3;44;12;43;  ;  
Três Ranchos;2005;2;46;9;36;  ;  
Três Ranchos;2006;2;41;9;33;15;  
Três Ranchos;2007;3;39;9;41;  ;  
Três Ranchos;2008;3;39;7;32;  ;  
Três Ranchos;2009;2;40;7;20;  ;91
Três Ranchos;2010;3;42;8;16;  ;  
Três Ranchos;2011;3;44;8;28;;
Três Ranchos;2012;3;49;4;39;58;
Três Ranchos;2013;3;60;6;30;;
Três Ranchos;2014;3;47;10;33;;
Três Ranchos;2015;3;65;7;41;;
Três Ranchos;2016;3;48;9;42;1;
Três Ranchos;2017;3;69;3;30;;
Três Ranchos;2018;3;57;2;25;  ;  
Trindade;1999;46;137;28;533;40;161
Trindade;2000;41;247;19;637;37;118
Trindade;2001;44;280;25;750;30;136
Trindade;2002;46;122;50;910;54;159
Trindade;2003;47;106;43;1106;46;191
Trindade;2004;45;67;43;680;581;184
Trindade;2005;48;70;57;487;624;235
Trindade;2006;52;78;89;347;626;256
Trindade;2007;56;124;137;359;650;275
Trindade;2008;61;143;181;400;685;312
Trindade;2009;56;160;198;545;745;238
Trindade;2010;63;162;140;1539;770;388
Trindade;2011;66;223;186;1526;782;434
Trindade;2012;78;323;290;614;765;395
Trindade;2013;79;388;177;642;772;437
Trindade;2014;77;477;242;837;870;481
Trindade;2015;84;527;242;893;937;517
Trindade;2016;87;497;213;942;913;536
Trindade;2017;91;919;268;920;898;529
Trindade;2018;113;913;297;837;913;640
Trombas;1999;  ;  ;1;1;10;  
Trombas;2000;  ;  ;1;1;  ;  
Trombas;2001;  ;  ;1;1;  ;  
Trombas;2002;;;1;1;;
Trombas;2003;;;1;1;;
Trombas;2004;  ;  ;2;2;  ;  
Trombas;2005;  ;  ;1;2;  ;  
Trombas;2006;  ;  ;2;4;  ;  
Trombas;2007;  ;  ;2;6;  ;  
Trombas;2008;  ;  ;3;2;  ;  
Trombas;2009;  ;  ;7;3;  ;  
Trombas;2010;  ;  ;6;7;  ;  
Trombas;2011;;;3;8;;
Trombas;2012;;2;5;8;;
Trombas;2013;;;6;8;;
Trombas;2014;;;5;9;;
Trombas;2015;;;3;9;;
Trombas;2016;;1;2;7;;
Trombas;2017;;1;2;14;;
Trombas;2018;  ;  ;2;9;1;  
Turvânia;1999;  ;2;1;4;10;  
Turvânia;2000;  ;  ;1;10;18;  
Turvânia;2001;  ;2;1;13;2;  
Turvânia;2002;4;3;3;7;9;
Turvânia;2003;4;2;1;11;9;
Turvânia;2004;  ;3;3;8;11;  
Turvânia;2005;  ;3;3;9;10;  
Turvânia;2006;3;1;3;12;12;  
Turvânia;2007;  ;1;5;14;7;  
Turvânia;2008;  ;2;8;16;6;  
Turvânia;2009;  ;4;10;20;  ;  
Turvânia;2010;  ;3;9;21;  ;  
Turvânia;2011;;3;10;18;;
Turvânia;2012;;3;8;18;;
Turvânia;2013;;2;7;20;;
Turvânia;2014;5;2;7;22;;
Turvânia;2015;4;3;7;25;;
Turvânia;2016;4;3;7;22;;2
Turvânia;2017;2;3;7;22;;2
Turvânia;2018;3;3;7;21;  ;1
Turvelândia;1999;9;  ;5;  ;  ;  
Turvelândia;2000;8;  ;4;4;  ;  
Turvelândia;2001;7;  ;6;  ;  ;  
Turvelândia;2002;2;;7;1;;
Turvelândia;2003;2;;5;1;;
Turvelândia;2004;  ;  ;7;1;  ;  
Turvelândia;2005;  ;1;5;2;  ;  
Turvelândia;2006;  ;27;7;2;  ;  
Turvelândia;2007;  ;  ;8;7;  ;  
Turvelândia;2008;  ;  ;6;7;  ;  
Turvelândia;2009;  ;18;6;22;  ;  
Turvelândia;2010;  ;21;6;2;  ;  
Turvelândia;2011;;21;6;20;;
Turvelândia;2012;;6;3;2;;
Turvelândia;2013;;26;3;13;;
Turvelândia;2014;;30;2;13;;
Turvelândia;2015;;25;2;25;;
Turvelândia;2016;;28;2;13;;
Turvelândia;2017;;33;2;14;;
Turvelândia;2018;  ;6;5;15;  ;34
Uirapuru;1999;  ;  ;1;  ;  ;  
Uirapuru;2000;  ;  ;1;  ;  ;  
Uirapuru;2001;  ;  ;1;1;  ;  
Uirapuru;2002;;;1;5;;
Uirapuru;2003;;;1;1;;
Uirapuru;2004;  ;  ;1;  ;  ;  
Uirapuru;2005;  ;  ;1;  ;  ;  
Uirapuru;2006;  ;  ;2;  ;  ;  
Uirapuru;2007;  ;  ;2;  ;  ;  
Uirapuru;2008;  ;  ;2;  ;  ;  
Uirapuru;2009;  ;  ;2;31;  ;  
Uirapuru;2010;  ;  ;1;  ;  ;  
Uirapuru;2011;;;1;;;
Uirapuru;2012;;;1;;;
Uirapuru;2013;;;1;;;
Uirapuru;2014;;;1;;;9
Uirapuru;2015;;;1;3;;13
Uirapuru;2016;;;1;3;;13
Uirapuru;2017;;;1;3;;17
Uirapuru;2018;  ;  ;1;6;  ;18
Uruaçu;1999;48;18;38;136;122;96
Uruaçu;2000;46;23;32;182;121;49
Uruaçu;2001;42;22;28;192;107;69
Uruaçu;2002;45;36;33;231;99;68
Uruaçu;2003;42;34;40;202;91;69
Uruaçu;2004;44;34;50;240;80;72
Uruaçu;2005;43;64;71;352;91;69
Uruaçu;2006;40;137;81;351;106;87
Uruaçu;2007;43;93;72;273;93;98
