Localidade;Ano;PopulacaoContagemTotal;PopulacaoContagemMasculina;PopulacaoContagemFeminina;PopulacaoContagemUrbana;PopulacaoContagemRural;PopulacaoContagem0-4;PopulacaoContagem5-9;PopulacaoContagem10-14;PopulacaoContagem15-19;PopulacaoContagem20-29;PopulacaoContagem30-39;PopulacaoContagem40-49;PopulacaoContagem50-59;PopulacaoContagem60-69;PopulacaoContagem70-79;PopulacaoContagem80;PopulacaoContagemIdadeIgnorada
Águas Lindas de Goiás;2017;;;;;;;;;;;;;;;;;
Águas Lindas de Goiás;2018;;;;;;;;;;;;;;;;;
Águas Lindas de Goiás;2019;;;;;;;;;;;;;;;;;
Águas Lindas de Goiás;2020;;;;;;;;;;;;;;;;;
Alexânia;1996;18623;9531;9092;10956;7667;1991;1917;2172;2114;3310;2454;1864;1307;868;407;125;94
Alexânia;2007;20033;9275;9225;16635;3398;2349;2305;2149;2031;4226;3493;2544;1826;1211;673;274;
Alexânia;2011;;;;;;;;;;;;;;;;;
Alexânia;2012;;;;;;;;;;;;;;;;;
Alexânia;2013;;;;;;;;;;;;;;;;;
Alexânia;2014;;;;;;;;;;;;;;;;;
Alexânia;2015;;;;;;;;;;;;;;;;;
Alexânia;2016;;;;;;;;;;;;;;;;;
Alexânia;2017;;;;;;;;;;;;;;;;;
Alexânia;2018;;;;;;;;;;;;;;;;;
Alexânia;2019;;;;;;;;;;;;;;;;;
Alexânia;2020;;;;;;;;;;;;;;;;;
Aloândia;1996;2023;1046;977;1738;285;170;169;197;180;339;296;248;161;151;76;34;2
Aloândia;2007;2065;1072;993;1761;304;145;155;155;152;342;346;313;248;196;120;68;
Aloândia;2011;;;;;;;;;;;;;;;;;
Aloândia;2012;;;;;;;;;;;;;;;;;
Aloândia;2013;;;;;;;;;;;;;;;;;
Aloândia;2014;;;;;;;;;;;;;;;;;
Aloândia;2015;;;;;;;;;;;;;;;;;
Aloândia;2016;;;;;;;;;;;;;;;;;
Aloândia;2017;;;;;;;;;;;;;;;;;
Aloândia;2018;;;;;;;;;;;;;;;;;
Aloândia;2019;;;;;;;;;;;;;;;;;
Aloândia;2020;;;;;;;;;;;;;;;;;
Alto Horizonte;1996;2500;1352;1148;1499;1001;244;254;285;270;499;353;270;163;98;47;16;1
Alto Horizonte;2007;3136;1678;1458;2442;694;248;258;244;240;488;482;396;283;174;80;37;
Alto Horizonte;2011;;;;;;;;;;;;;;;;;
Alto Horizonte;2012;;;;;;;;;;;;;;;;;
Alto Horizonte;2013;;;;;;;;;;;;;;;;;
Alto Horizonte;2014;;;;;;;;;;;;;;;;;
Alto Horizonte;2015;;;;;;;;;;;;;;;;;
Alto Horizonte;2016;;;;;;;;;;;;;;;;;
Alto Horizonte;2017;;;;;;;;;;;;;;;;;
Alto Horizonte;2018;;;;;;;;;;;;;;;;;
Alto Horizonte;2019;;;;;;;;;;;;;;;;;
Alto Horizonte;2020;;;;;;;;;;;;;;;;;
Alto Paraíso de Goiás;1996;5414;2812;2602;3457;1957;652;740;757;571;843;700;472;335;182;75;41;46
Alto Paraíso de Goiás;2007;6638;3367;3271;4595;2043;932;882;770;806;1532;1096;818;536;291;159;56;
Alto Paraíso de Goiás;2011;;;;;;;;;;;;;;;;;
Alto Paraíso de Goiás;2012;;;;;;;;;;;;;;;;;
Alto Paraíso de Goiás;2013;;;;;;;;;;;;;;;;;
Alto Paraíso de Goiás;2014;;;;;;;;;;;;;;;;;
Alto Paraíso de Goiás;2015;;;;;;;;;;;;;;;;;
Alto Paraíso de Goiás;2016;;;;;;;;;;;;;;;;;
Alto Paraíso de Goiás;2017;;;;;;;;;;;;;;;;;
Alto Paraíso de Goiás;2018;;;;;;;;;;;;;;;;;
Alto Paraíso de Goiás;2019;;;;;;;;;;;;;;;;;
Alto Paraíso de Goiás;2020;;;;;;;;;;;;;;;;;
Alvorada do Norte;1996;7600;3827;3773;6379;1221;798;895;1084;969;1278;974;644;458;299;147;48;6
Alvorada do Norte;2007;8217;4049;3942;7070;1147;792;775;707;753;1526;1070;856;548;372;218;83;
Alvorada do Norte;2011;;;;;;;;;;;;;;;;;
Alvorada do Norte;2012;;;;;;;;;;;;;;;;;
Alvorada do Norte;2013;;;;;;;;;;;;;;;;;
Alvorada do Norte;2014;;;;;;;;;;;;;;;;;
Alvorada do Norte;2015;;;;;;;;;;;;;;;;;
Alvorada do Norte;2016;;;;;;;;;;;;;;;;;
Alvorada do Norte;2017;;;;;;;;;;;;;;;;;
Alvorada do Norte;2018;;;;;;;;;;;;;;;;;
Alvorada do Norte;2019;;;;;;;;;;;;;;;;;
Alvorada do Norte;2020;;;;;;;;;;;;;;;;;
Amaralina;1996;;;;;;;;;;;;;;;;;
Amaralina;2007;3492;1886;1600;1143;2349;264;249;302;304;517;438;487;276;162;93;37;
Amaralina;2011;;;;;;;;;;;;;;;;;
Amaralina;2012;;;;;;;;;;;;;;;;;
Amaralina;2013;;;;;;;;;;;;;;;;;
Amaralina;2014;;;;;;;;;;;;;;;;;
Amaralina;2015;;;;;;;;;;;;;;;;;
Amaralina;2016;;;;;;;;;;;;;;;;;
Amaralina;2017;;;;;;;;;;;;;;;;;
Amaralina;2018;;;;;;;;;;;;;;;;;
Amaralina;2019;;;;;;;;;;;;;;;;;
Amaralina;2020;;;;;;;;;;;;;;;;;
Americano do Brasil;1996;5148;2639;2509;4558;590;420;474;578;585;898;749;589;380;288;132;42;13
Americano do Brasil;2007;4698;2407;2284;4371;327;387;418;379;406;838;756;683;519;318;216;76;
Americano do Brasil;2011;;;;;;;;;;;;;;;;;
Americano do Brasil;2012;;;;;;;;;;;;;;;;;
Americano do Brasil;2013;;;;;;;;;;;;;;;;;
Americano do Brasil;2014;;;;;;;;;;;;;;;;;
Americano do Brasil;2015;;;;;;;;;;;;;;;;;
Americano do Brasil;2016;;;;;;;;;;;;;;;;;
Americano do Brasil;2017;;;;;;;;;;;;;;;;;
Americano do Brasil;2018;;;;;;;;;;;;;;;;;
Americano do Brasil;2019;;;;;;;;;;;;;;;;;
Americano do Brasil;2020;;;;;;;;;;;;;;;;;
Amorinópolis;1996;4300;2213;2087;2623;1677;369;405;416;424;767;680;488;331;256;116;48;
Amorinópolis;2007;3527;1799;1713;2307;1220;254;256;282;337;649;607;586;432;265;172;66;
Amorinópolis;2011;;;;;;;;;;;;;;;;;
Amorinópolis;2012;;;;;;;;;;;;;;;;;
Amorinópolis;2013;;;;;;;;;;;;;;;;;
Amorinópolis;2014;;;;;;;;;;;;;;;;;
Amorinópolis;2015;;;;;;;;;;;;;;;;;
Amorinópolis;2016;;;;;;;;;;;;;;;;;
Amorinópolis;2017;;;;;;;;;;;;;;;;;
Amorinópolis;2018;;;;;;;;;;;;;;;;;
Amorinópolis;2019;;;;;;;;;;;;;;;;;
Amorinópolis;2020;;;;;;;;;;;;;;;;;
Anápolis;1996;264975;129518;135457;244670;20305;25335;26536;27392;28318;50743;42665;28338;17561;10960;5128;1749;250
Anápolis;2007;325544;...;...;...;...;26938;27943;27864;28767;60302;51643;43330;28614;16337;8744;3677;
Anápolis;2011;;;;;;;;;;;;;;;;;
Anápolis;2012;;;;;;;;;;;;;;;;;
Anápolis;2013;;;;;;;;;;;;;;;;;
Anápolis;2014;;;;;;;;;;;;;;;;;
Anápolis;2015;;;;;;;;;;;;;;;;;
Anápolis;2016;;;;;;;;;;;;;;;;;
Anápolis;2017;;;;;;;;;;;;;;;;;
Anápolis;2018;;;;;;;;;;;;;;;;;
Anápolis;2019;;;;;;;;;;;;;;;;;
Anápolis;2020;;;;;;;;;;;;;;;;;
Anhanguera;1996;861;451;410;797;64;72;88;89;91;133;128;111;67;45;28;8;1
Anhanguera;2007;966;488;478;919;47;59;60;66;73;152;129;122;117;72;44;21;
Anhanguera;2011;;;;;;;;;;;;;;;;;
Anhanguera;2012;;;;;;;;;;;;;;;;;
Anhanguera;2013;;;;;;;;;;;;;;;;;
Anhanguera;2014;;;;;;;;;;;;;;;;;
Anhanguera;2015;;;;;;;;;;;;;;;;;
Anhanguera;2016;;;;;;;;;;;;;;;;;
Anhanguera;2017;;;;;;;;;;;;;;;;;
Anhanguera;2018;;;;;;;;;;;;;;;;;
Anhanguera;2019;;;;;;;;;;;;;;;;;
Anhanguera;2020;;;;;;;;;;;;;;;;;
Anicuns;1996;17951;9216;8735;13551;4400;1595;1717;1944;1929;3378;2786;1944;1316;795;373;126;48
Anicuns;2007;17705;8856;8526;15228;2477;1367;1373;1568;1668;3351;3149;2707;1874;1239;648;275;
Anicuns;2011;;;;;;;;;;;;;;;;;
Anicuns;2012;;;;;;;;;;;;;;;;;
Anicuns;2013;;;;;;;;;;;;;;;;;
Anicuns;2014;;;;;;;;;;;;;;;;;
Anicuns;2015;;;;;;;;;;;;;;;;;
Anicuns;2016;;;;;;;;;;;;;;;;;
Anicuns;2017;;;;;;;;;;;;;;;;;
Anicuns;2018;;;;;;;;;;;;;;;;;
Anicuns;2019;;;;;;;;;;;;;;;;;
Anicuns;2020;;;;;;;;;;;;;;;;;
Aparecida de Goiânia;1996;265868;132201;133667;265868;;30548;29656;29823;29129;54639;43567;25562;12889;6451;2452;800;352
Aparecida de Goiânia;2007;475303;...;...;...;...;46114;44456;44367;45431;96570;82697;56235;31157;14803;6652;2249;
Aparecida de Goiânia;2011;;;;;;;;;;;;;;;;;
Aparecida de Goiânia;2012;;;;;;;;;;;;;;;;;
Aparecida de Goiânia;2013;;;;;;;;;;;;;;;;;
Aparecida de Goiânia;2014;;;;;;;;;;;;;;;;;
Aparecida de Goiânia;2015;;;;;;;;;;;;;;;;;
Aparecida de Goiânia;2016;;;;;;;;;;;;;;;;;
Aparecida de Goiânia;2017;;;;;;;;;;;;;;;;;
Aparecida de Goiânia;2018;;;;;;;;;;;;;;;;;
Aparecida de Goiânia;2019;;;;;;;;;;;;;;;;;
Aparecida de Goiânia;2020;;;;;;;;;;;;;;;;;
Aparecida do Rio Doce;1996;2220;1164;1056;1672;548;228;211;244;226;402;322;214;179;87;55;16;36
Aparecida do Rio Doce;2007;2702;1368;1309;2088;614;250;241;264;250;523;448;348;244;162;73;45;
Aparecida do Rio Doce;2011;;;;;;;;;;;;;;;;;
Aparecida do Rio Doce;2012;;;;;;;;;;;;;;;;;
Aparecida do Rio Doce;2013;;;;;;;;;;;;;;;;;
Aparecida do Rio Doce;2014;;;;;;;;;;;;;;;;;
Aparecida do Rio Doce;2015;;;;;;;;;;;;;;;;;
Aparecida do Rio Doce;2016;;;;;;;;;;;;;;;;;
Aparecida do Rio Doce;2017;;;;;;;;;;;;;;;;;
Aparecida do Rio Doce;2018;;;;;;;;;;;;;;;;;
Aparecida do Rio Doce;2019;;;;;;;;;;;;;;;;;
Aparecida do Rio Doce;2020;;;;;;;;;;;;;;;;;
Aporé;1996;3396;1777;1619;2087;1309;319;368;437;294;594;543;338;251;148;62;26;16
Aporé;2007;3554;1846;1577;2291;1263;279;263;276;318;598;551;519;336;231;112;38;
Aporé;2011;;;;;;;;;;;;;;;;;
Aporé;2012;;;;;;;;;;;;;;;;;
Aporé;2013;;;;;;;;;;;;;;;;;
Aporé;2014;;;;;;;;;;;;;;;;;
Aporé;2015;;;;;;;;;;;;;;;;;
Aporé;2016;;;;;;;;;;;;;;;;;
Aporé;2017;;;;;;;;;;;;;;;;;
Aporé;2018;;;;;;;;;;;;;;;;;
Aporé;2019;;;;;;;;;;;;;;;;;
Aporé;2020;;;;;;;;;;;;;;;;;
Araçu;1996;3678;1860;1818;2903;775;326;376;378;355;637;556;400;292;226;88;35;9
Araçu;2007;3880;1955;1925;3343;537;339;342;348;403;738;679;606;446;324;199;68;
Araçu;2011;;;;;;;;;;;;;;;;;
Araçu;2012;;;;;;;;;;;;;;;;;
Araçu;2013;;;;;;;;;;;;;;;;;
Araçu;2014;;;;;;;;;;;;;;;;;
Araçu;2015;;;;;;;;;;;;;;;;;
Araçu;2016;;;;;;;;;;;;;;;;;
Araçu;2017;;;;;;;;;;;;;;;;;
Araçu;2018;;;;;;;;;;;;;;;;;
Araçu;2019;;;;;;;;;;;;;;;;;
Araçu;2020;;;;;;;;;;;;;;;;;
Aragarças;1996;15956;8108;7848;15441;515;1677;1620;1792;1806;3157;2357;1579;911;608;289;142;18
Aragarças;2007;17156;8594;8499;16776;380;1615;1636;1687;1710;3614;3107;2355;1556;976;528;236;
Aragarças;2011;;;;;;;;;;;;;;;;;
Aragarças;2012;;;;;;;;;;;;;;;;;
Aragarças;2013;;;;;;;;;;;;;;;;;
Aragarças;2014;;;;;;;;;;;;;;;;;
Aragarças;2015;;;;;;;;;;;;;;;;;
Aragarças;2016;;;;;;;;;;;;;;;;;
Aragarças;2017;;;;;;;;;;;;;;;;;
Aragarças;2018;;;;;;;;;;;;;;;;;
Aragarças;2019;;;;;;;;;;;;;;;;;
Aragarças;2020;;;;;;;;;;;;;;;;;
Aragoiânia;1996;5998;3063;2935;3676;2322;617;630;626;595;1087;923;635;419;302;126;37;1
Aragoiânia;2007;7243;3625;3599;5146;2097;664;659;695;711;1324;1232;1028;757;475;261;106;
Aragoiânia;2011;;;;;;;;;;;;;;;;;
Aragoiânia;2012;;;;;;;;;;;;;;;;;
Aragoiânia;2013;;;;;;;;;;;;;;;;;
Aragoiânia;2014;;;;;;;;;;;;;;;;;
Aragoiânia;2015;;;;;;;;;;;;;;;;;
Aragoiânia;2016;;;;;;;;;;;;;;;;;
Aragoiânia;2017;;;;;;;;;;;;;;;;;
Aragoiânia;2018;;;;;;;;;;;;;;;;;
Aragoiânia;2019;;;;;;;;;;;;;;;;;
Aragoiânia;2020;;;;;;;;;;;;;;;;;
Araguapaz;1996;7808;4047;3761;5758;2050;757;861;939;961;1488;1125;734;474;297;100;56;16
Araguapaz;2007;7482;3788;3548;5218;2264;611;593;607;664;1337;1149;977;668;402;190;65;
Araguapaz;2011;;;;;;;;;;;;;;;;;
Araguapaz;2012;;;;;;;;;;;;;;;;;
Araguapaz;2013;;;;;;;;;;;;;;;;;
Araguapaz;2014;;;;;;;;;;;;;;;;;
Araguapaz;2015;;;;;;;;;;;;;;;;;
Araguapaz;2016;;;;;;;;;;;;;;;;;
Araguapaz;2017;;;;;;;;;;;;;;;;;
Araguapaz;2018;;;;;;;;;;;;;;;;;
Araguapaz;2019;;;;;;;;;;;;;;;;;
Araguapaz;2020;;;;;;;;;;;;;;;;;
Arenópolis;1996;3980;2064;1916;2399;1581;397;366;391;354;760;646;435;306;183;95;23;24
Arenópolis;2007;3495;1755;1655;2116;1379;247;254;308;330;575;654;598;442;281;133;52;
Arenópolis;2011;;;;;;;;;;;;;;;;;
Arenópolis;2012;;;;;;;;;;;;;;;;;
Arenópolis;2013;;;;;;;;;;;;;;;;;
Arenópolis;2014;;;;;;;;;;;;;;;;;
Arenópolis;2015;;;;;;;;;;;;;;;;;
Arenópolis;2016;;;;;;;;;;;;;;;;;
Arenópolis;2017;;;;;;;;;;;;;;;;;
Arenópolis;2018;;;;;;;;;;;;;;;;;
Arenópolis;2019;;;;;;;;;;;;;;;;;
Arenópolis;2020;;;;;;;;;;;;;;;;;
Aruanã;1996;5336;2838;2498;4302;1034;603;614;672;581;988;806;491;282;187;86;25;1
Aruanã;2007;6476;3373;2986;5349;1127;542;497;482;463;1020;844;595;397;231;129;52;
Aruanã;2011;;;;;;;;;;;;;;;;;
Aruanã;2012;;;;;;;;;;;;;;;;;
Aruanã;2013;;;;;;;;;;;;;;;;;
Aruanã;2014;;;;;;;;;;;;;;;;;
Aruanã;2015;;;;;;;;;;;;;;;;;
Aruanã;2016;;;;;;;;;;;;;;;;;
Aruanã;2017;;;;;;;;;;;;;;;;;
Aruanã;2018;;;;;;;;;;;;;;;;;
Aruanã;2019;;;;;;;;;;;;;;;;;
Aruanã;2020;;;;;;;;;;;;;;;;;
Aurilândia;1996;4609;2342;2267;3398;1211;389;422;495;460;740;694;522;419;258;137;71;2
Aurilândia;2007;3719;1852;1867;2762;957;239;245;313;362;690;552;638;479;376;207;106;
Aurilândia;2011;;;;;;;;;;;;;;;;;
Aurilândia;2012;;;;;;;;;;;;;;;;;
Aurilândia;2013;;;;;;;;;;;;;;;;;
Aurilândia;2014;;;;;;;;;;;;;;;;;
Aurilândia;2015;;;;;;;;;;;;;;;;;
Aurilândia;2016;;;;;;;;;;;;;;;;;
Aurilândia;2017;;;;;;;;;;;;;;;;;
Aurilândia;2018;;;;;;;;;;;;;;;;;
Aurilândia;2019;;;;;;;;;;;;;;;;;
Aurilândia;2020;;;;;;;;;;;;;;;;;
Avelinópolis;1996;2531;1312;1219;1568;963;202;254;300;283;437;387;281;178;136;53;19;1
Avelinópolis;2007;2375;1183;1192;1804;571;191;187;194;228;503;392;380;276;161;100;31;
Avelinópolis;2011;;;;;;;;;;;;;;;;;
Avelinópolis;2012;;;;;;;;;;;;;;;;;
Avelinópolis;2013;;;;;;;;;;;;;;;;;
Avelinópolis;2014;;;;;;;;;;;;;;;;;
Avelinópolis;2015;;;;;;;;;;;;;;;;;
Avelinópolis;2016;;;;;;;;;;;;;;;;;
Avelinópolis;2017;;;;;;;;;;;;;;;;;
Avelinópolis;2018;;;;;;;;;;;;;;;;;
Avelinópolis;2019;;;;;;;;;;;;;;;;;
Avelinópolis;2020;;;;;;;;;;;;;;;;;
Baliza;1996;4058;2098;1960;1121;2937;358;371;449;522;796;566;449;278;160;59;23;27
Baliza;2007;3299;1774;1460;1043;2256;55;48;52;61;106;96;84;77;61;38;12;
Baliza;2011;;;;;;;;;;;;;;;;;
Baliza;2012;;;;;;;;;;;;;;;;;
Baliza;2013;;;;;;;;;;;;;;;;;
Baliza;2014;;;;;;;;;;;;;;;;;
Baliza;2015;;;;;;;;;;;;;;;;;
Baliza;2016;;;;;;;;;;;;;;;;;
Baliza;2017;;;;;;;;;;;;;;;;;
Baliza;2018;;;;;;;;;;;;;;;;;
Baliza;2019;;;;;;;;;;;;;;;;;
Baliza;2020;;;;;;;;;;;;;;;;;
Barro Alto;1996;10443;5364;5079;4070;6373;1011;1141;1290;1215;1835;1461;1049;692;431;213;69;36
Barro Alto;2007;6446;3303;3131;4239;2207;477;475;475;481;939;766;682;501;336;192;79;
Barro Alto;2011;;;;;;;;;;;;;;;;;
Barro Alto;2012;;;;;;;;;;;;;;;;;
Barro Alto;2013;;;;;;;;;;;;;;;;;
Barro Alto;2014;;;;;;;;;;;;;;;;;
Barro Alto;2015;;;;;;;;;;;;;;;;;
Barro Alto;2016;;;;;;;;;;;;;;;;;
Barro Alto;2017;;;;;;;;;;;;;;;;;
Barro Alto;2018;;;;;;;;;;;;;;;;;
Barro Alto;2019;;;;;;;;;;;;;;;;;
Barro Alto;2020;;;;;;;;;;;;;;;;;
Bela Vista de Goiás;1996;17786;9182;8604;10455;7331;1679;1785;1861;1855;3097;2799;1882;1322;897;416;170;23
Bela Vista de Goiás;2007;20615;10552;10027;14296;6319;1737;1728;1864;1963;4089;3451;3092;2059;1381;774;327;
Bela Vista de Goiás;2011;;;;;;;;;;;;;;;;;
Bela Vista de Goiás;2012;;;;;;;;;;;;;;;;;
Bela Vista de Goiás;2013;;;;;;;;;;;;;;;;;
Bela Vista de Goiás;2014;;;;;;;;;;;;;;;;;
Bela Vista de Goiás;2015;;;;;;;;;;;;;;;;;
Bela Vista de Goiás;2016;;;;;;;;;;;;;;;;;
Bela Vista de Goiás;2017;;;;;;;;;;;;;;;;;
Bela Vista de Goiás;2018;;;;;;;;;;;;;;;;;
Bela Vista de Goiás;2019;;;;;;;;;;;;;;;;;
Bela Vista de Goiás;2020;;;;;;;;;;;;;;;;;
Bom Jardim de Goiás;1996;8048;4219;3829;5914;2134;781;772;837;870;1478;1148;904;601;387;188;78;4
Bom Jardim de Goiás;2007;8372;4367;4001;6102;2270;604;616;657;645;1353;1293;1025;871;585;340;140;
Bom Jardim de Goiás;2011;;;;;;;;;;;;;;;;;
Bom Jardim de Goiás;2012;;;;;;;;;;;;;;;;;
Bom Jardim de Goiás;2013;;;;;;;;;;;;;;;;;
Bom Jardim de Goiás;2014;;;;;;;;;;;;;;;;;
Bom Jardim de Goiás;2015;;;;;;;;;;;;;;;;;
Bom Jardim de Goiás;2016;;;;;;;;;;;;;;;;;
Bom Jardim de Goiás;2017;;;;;;;;;;;;;;;;;
Bom Jardim de Goiás;2018;;;;;;;;;;;;;;;;;
Bom Jardim de Goiás;2019;;;;;;;;;;;;;;;;;
Bom Jardim de Goiás;2020;;;;;;;;;;;;;;;;;
Bom Jesus de Goiás;1996;14618;7524;7094;12929;1689;1510;1464;1432;1439;2874;2389;1560;1002;590;254;95;9
Bom Jesus de Goiás;2007;19574;10216;9337;18218;1356;1497;1547;1671;1651;3158;3077;2456;1574;963;513;195;
Bom Jesus de Goiás;2011;;;;;;;;;;;;;;;;;
Bom Jesus de Goiás;2012;;;;;;;;;;;;;;;;;
Bom Jesus de Goiás;2013;;;;;;;;;;;;;;;;;
Bom Jesus de Goiás;2014;;;;;;;;;;;;;;;;;
Bom Jesus de Goiás;2015;;;;;;;;;;;;;;;;;
Bom Jesus de Goiás;2016;;;;;;;;;;;;;;;;;
Bom Jesus de Goiás;2017;;;;;;;;;;;;;;;;;
Bom Jesus de Goiás;2018;;;;;;;;;;;;;;;;;
Bom Jesus de Goiás;2019;;;;;;;;;;;;;;;;;
Bom Jesus de Goiás;2020;;;;;;;;;;;;;;;;;
Bonfinópolis;1996;4303;2263;2040;3712;591;401;431;524;500;784;646;409;268;200;106;32;2
Bonfinópolis;2007;6744;3454;3290;6167;577;672;671;642;659;1374;1116;872;508;325;164;78;
Bonfinópolis;2011;;;;;;;;;;;;;;;;;
Bonfinópolis;2012;;;;;;;;;;;;;;;;;
Bonfinópolis;2013;;;;;;;;;;;;;;;;;
