Localidade;Ano;Varejo;Atacado
Americano do Brasil;2003;9;51
Americano do Brasil;2004;12;
Americano do Brasil;2005;17;
Americano do Brasil;2006;19;
Americano do Brasil;2007;31;
Americano do Brasil;2008;26;
Americano do Brasil;2009;45;
Americano do Brasil;2010;42;53
Americano do Brasil;2011;50;
Americano do Brasil;2012;69;
Americano do Brasil;2013;57;
Americano do Brasil;2014;56;
Americano do Brasil;2015;67;
Americano do Brasil;2016;57;
Americano do Brasil;2017;54;1
Americano do Brasil;2018;58;1
Amorinópolis;1999;9;  
Amorinópolis;2000;12;  
Amorinópolis;2001;8;  
Amorinópolis;2002;15;
Amorinópolis;2003;8;
Amorinópolis;2004;16;
Amorinópolis;2005;18;
Amorinópolis;2006;14;
Amorinópolis;2007;18;
Amorinópolis;2008;17;
Amorinópolis;2009;13;
Amorinópolis;2010;21;8
Amorinópolis;2011;20;
Amorinópolis;2012;21;
Amorinópolis;2013;32;
Amorinópolis;2014;30;
Amorinópolis;2015;33;
Amorinópolis;2016;37;
Amorinópolis;2017;34;
Amorinópolis;2018;23;  
Anápolis;1999;6834;3392
Anápolis;2000;7559;3299
Anápolis;2001;8510;3469
Anápolis;2002;8994;3417
Anápolis;2003;9268;3147
Anápolis;2004;9952;
Anápolis;2005;10548;
Anápolis;2006;10357;
Anápolis;2007;11117;
Anápolis;2008;12360;
Anápolis;2009;12730;
Anápolis;2010;14019;20945
Anápolis;2011;15089;5280
Anápolis;2012;15470;5630
Anápolis;2013;16052;6043
Anápolis;2014;16304;6683
Anápolis;2015;16244;6146
Anápolis;2016;15664;5766
Anápolis;2017;15318;5829
Anápolis;2018;15479;5895
Anhanguera;1999;  ;  
Anhanguera;2000;  ;1
Anhanguera;2001;  ;1
Anhanguera;2002;;1
Anhanguera;2003;1;1
Anhanguera;2004;  ;
Anhanguera;2005;1;
Anhanguera;2006;1;
Anhanguera;2007;10;
Anhanguera;2008;2;
Anhanguera;2009;1;
Anhanguera;2010;1;3
Anhanguera;2011;2;
Anhanguera;2012;;
Anhanguera;2013;2;
Anhanguera;2014;1;
Anhanguera;2015;1;
Anhanguera;2016;;
Anhanguera;2017;2;
Anhanguera;2018;2;  
Anicuns;1999;170;10
Anicuns;2000;180;13
Anicuns;2001;202;2
Anicuns;2002;215;3
Anicuns;2003;236;35
Anicuns;2004;273;
Anicuns;2005;280;
Anicuns;2006;288;
Anicuns;2007;307;
Anicuns;2008;298;
Anicuns;2009;319;
Anicuns;2010;366;347
Anicuns;2011;427;4
Anicuns;2012;415;7
Anicuns;2013;468;7
Anicuns;2014;506;7
Anicuns;2015;515;2
Anicuns;2016;461;3
Anicuns;2017;450;10
Anicuns;2018;484;4
Aparecida de Goiânia;1999;2523;701
Aparecida de Goiânia;2000;3135;821
Aparecida de Goiânia;2001;3603;1226
Aparecida de Goiânia;2002;4285;1220
Aparecida de Goiânia;2003;4947;1398
Aparecida de Goiânia;2004;5953;
Aparecida de Goiânia;2005;6667;
Aparecida de Goiânia;2006;7650;
Aparecida de Goiânia;2007;8618;
Aparecida de Goiânia;2008;9619;
Aparecida de Goiânia;2009;10469;
Aparecida de Goiânia;2010;11625;46021
Aparecida de Goiânia;2011;13703;5982
Aparecida de Goiânia;2012;13664;5874
Aparecida de Goiânia;2013;14981;6709
Aparecida de Goiânia;2014;15695;7280
Aparecida de Goiânia;2015;15242;7514
Aparecida de Goiânia;2016;15146;7335
Aparecida de Goiânia;2017;15487;6875
Aparecida de Goiânia;2018;16327;7381
Aparecida do Rio Doce;1999;22;  
Aparecida do Rio Doce;2000;22;241
Aparecida do Rio Doce;2001;38;  
Aparecida do Rio Doce;2002;32;2
Aparecida do Rio Doce;2003;25;
Aparecida do Rio Doce;2004;24;
Aparecida do Rio Doce;2005;22;
Aparecida do Rio Doce;2006;35;
Aparecida do Rio Doce;2007;27;
Aparecida do Rio Doce;2008;26;
Aparecida do Rio Doce;2009;32;
Aparecida do Rio Doce;2010;34;264
Aparecida do Rio Doce;2011;34;
Aparecida do Rio Doce;2012;28;
Aparecida do Rio Doce;2013;47;80
Aparecida do Rio Doce;2014;69;3
Aparecida do Rio Doce;2015;64;2
Aparecida do Rio Doce;2016;54;3
Aparecida do Rio Doce;2017;64;
Aparecida do Rio Doce;2018;48;1
Aporé;1999;10;  
Aporé;2000;14;  
Aporé;2001;10;3
Aporé;2002;17;
Aporé;2003;21;
Aporé;2004;17;
Aporé;2005;25;
Aporé;2006;20;
Aporé;2007;45;
Aporé;2008;51;
Aporé;2009;57;
Aporé;2010;45;30
Aporé;2011;52;
Aporé;2012;49;
Aporé;2013;55;
Aporé;2014;56;
Aporé;2015;60;
Aporé;2016;48;
Aporé;2017;60;
Aporé;2018;77;1
Araçu;1999;4;  
Araçu;2000;1;  
Araçu;2001;8;  
Araçu;2002;9;
Araçu;2003;12;
Araçu;2004;10;
Araçu;2005;13;
Araçu;2006;8;
Araçu;2007;10;
Araçu;2008;19;
Araçu;2009;16;
Araçu;2010;21;4
Araçu;2011;27;
Araçu;2012;34;
Araçu;2013;36;
Araçu;2014;38;
Araçu;2015;37;
Araçu;2016;40;
Araçu;2017;41;
Araçu;2018;45;  
Aragarças;1999;57;  
Aragarças;2000;58;  
Aragarças;2001;82;  
Aragarças;2002;93;7
Aragarças;2003;109;25
Aragarças;2004;106;
Aragarças;2005;132;
Aragarças;2006;136;
Aragarças;2007;157;
Aragarças;2008;198;
Aragarças;2009;221;
Aragarças;2010;255;166
Aragarças;2011;275;30
Aragarças;2012;249;25
Aragarças;2013;271;12
Aragarças;2014;303;18
Aragarças;2015;316;25
Aragarças;2016;309;27
Aragarças;2017;320;42
Aragarças;2018;296;53
Aragoiânia;1999;20;  
Aragoiânia;2000;26;28
Aragoiânia;2001;40;31
Aragoiânia;2002;39;24
Aragoiânia;2003;30;23
Aragoiânia;2004;62;
Aragoiânia;2005;41;
Aragoiânia;2006;44;
Aragoiânia;2007;65;
Aragoiânia;2008;33;
Aragoiânia;2009;49;
Aragoiânia;2010;53;51
Aragoiânia;2011;65;9
Aragoiânia;2012;58;10
Aragoiânia;2013;79;21
Aragoiânia;2014;103;20
Aragoiânia;2015;102;26
Aragoiânia;2016;125;22
Aragoiânia;2017;117;18
Aragoiânia;2018;95;21
Araguapaz;1999;13;  
Araguapaz;2000;15;  
Araguapaz;2001;26;  
Araguapaz;2002;30;1
Araguapaz;2003;34;
Araguapaz;2004;37;
Araguapaz;2005;58;
Araguapaz;2006;64;
Araguapaz;2007;67;
Araguapaz;2008;40;
Araguapaz;2009;69;
Araguapaz;2010;100;30
Araguapaz;2011;96;
Araguapaz;2012;114;
Araguapaz;2013;154;1
Araguapaz;2014;149;1
Araguapaz;2015;143;
Araguapaz;2016;138;
Araguapaz;2017;134;
Araguapaz;2018;113;1
Arenópolis;1999;10;  
Arenópolis;2000;6;  
Arenópolis;2001;7;  
Arenópolis;2002;9;
Arenópolis;2003;11;
Arenópolis;2004;15;
Arenópolis;2005;12;
Arenópolis;2006;22;
Arenópolis;2007;36;
Arenópolis;2008;36;
Arenópolis;2009;35;
Arenópolis;2010;41;12
Arenópolis;2011;20;
Arenópolis;2012;20;
Arenópolis;2013;20;1
Arenópolis;2014;28;1
Arenópolis;2015;27;2
Arenópolis;2016;26;1
Arenópolis;2017;22;2
Arenópolis;2018;21;  
Aruanã;1999;28;  
Aruanã;2000;10;3
Aruanã;2001;15;7
Aruanã;2002;21;4
Aruanã;2003;27;6
Aruanã;2004;30;
Aruanã;2005;37;
Aruanã;2006;55;
Aruanã;2007;61;
Aruanã;2008;82;
Aruanã;2009;98;
Aruanã;2010;115;37
Aruanã;2011;110;
Aruanã;2012;103;
Aruanã;2013;124;
Aruanã;2014;158;
Aruanã;2015;131;
Aruanã;2016;139;
Aruanã;2017;121;
Aruanã;2018;117;  
Aurilândia;1999;28;  
Aurilândia;2000;23;  
Aurilândia;2001;19;  
Aurilândia;2002;22;
Aurilândia;2003;21;
Aurilândia;2004;23;
Aurilândia;2005;22;
Aurilândia;2006;23;
Aurilândia;2007;31;
Aurilândia;2008;27;
Aurilândia;2009;18;
Aurilândia;2010;29;12
Aurilândia;2011;44;37
Aurilândia;2012;35;52
Aurilândia;2013;40;48
Aurilândia;2014;34;9
Aurilândia;2015;41;9
Aurilândia;2016;38;10
Aurilândia;2017;37;10
Aurilândia;2018;44;13
Avelinópolis;1999;5;  
Avelinópolis;2000;7;  
Avelinópolis;2001;6;  
Avelinópolis;2002;16;
Avelinópolis;2003;15;
Avelinópolis;2004;20;
Avelinópolis;2005;18;
Avelinópolis;2006;18;
Avelinópolis;2007;13;
Avelinópolis;2008;14;
Avelinópolis;2009;15;
Avelinópolis;2010;17;5
Avelinópolis;2011;20;
Avelinópolis;2012;21;
Avelinópolis;2013;21;1
Avelinópolis;2014;28;1
Avelinópolis;2015;27;1
Avelinópolis;2016;23;1
Avelinópolis;2017;27;1
Avelinópolis;2018;27;  
Baliza;1999;  ;  
Baliza;2000;  ;  
Baliza;2001;  ;  
Baliza;2002;;
Baliza;2003;;
Baliza;2004;  ;
Baliza;2005;3;
Baliza;2006;4;
Baliza;2007;3;
Baliza;2008;4;
Baliza;2009;3;
Baliza;2010;2;3
Baliza;2011;5;
Baliza;2012;4;
Baliza;2013;7;
Baliza;2014;6;
Baliza;2015;21;
Baliza;2016;14;
Baliza;2017;20;
Baliza;2018;15;  
Barro Alto;1999;13;3
Barro Alto;2000;13;2
Barro Alto;2001;17;2
Barro Alto;2002;30;3
Barro Alto;2003;34;1
Barro Alto;2004;29;
Barro Alto;2005;62;
Barro Alto;2006;46;
Barro Alto;2007;40;
Barro Alto;2008;132;
Barro Alto;2009;83;
Barro Alto;2010;105;515
Barro Alto;2011;134;
Barro Alto;2012;132;1
Barro Alto;2013;155;9
Barro Alto;2014;156;3
Barro Alto;2015;165;14
Barro Alto;2016;173;16
Barro Alto;2017;183;16
Barro Alto;2018;178;2
Bela Vista de Goiás;1999;299;35
Bela Vista de Goiás;2000;349;72
Bela Vista de Goiás;2001;382;25
Bela Vista de Goiás;2002;366;24
Bela Vista de Goiás;2003;370;36
Bela Vista de Goiás;2004;403;
Bela Vista de Goiás;2005;403;
Bela Vista de Goiás;2006;429;
Bela Vista de Goiás;2007;438;
Bela Vista de Goiás;2008;426;
Bela Vista de Goiás;2009;510;
Bela Vista de Goiás;2010;574;340
Bela Vista de Goiás;2011;626;35
Bela Vista de Goiás;2012;711;40
Bela Vista de Goiás;2013;754;45
Bela Vista de Goiás;2014;817;44
Bela Vista de Goiás;2015;844;40
Bela Vista de Goiás;2016;863;49
Bela Vista de Goiás;2017;891;67
Bela Vista de Goiás;2018;953;69
Bom Jardim de Goiás;1999;22;3
Bom Jardim de Goiás;2000;33;  
Bom Jardim de Goiás;2001;45;  
Bom Jardim de Goiás;2002;71;
Bom Jardim de Goiás;2003;80;
Bom Jardim de Goiás;2004;65;
Bom Jardim de Goiás;2005;85;
Bom Jardim de Goiás;2006;81;
Bom Jardim de Goiás;2007;85;
Bom Jardim de Goiás;2008;100;
Bom Jardim de Goiás;2009;94;
Bom Jardim de Goiás;2010;104;72
Bom Jardim de Goiás;2011;109;
Bom Jardim de Goiás;2012;101;
Bom Jardim de Goiás;2013;104;
Bom Jardim de Goiás;2014;117;2
Bom Jardim de Goiás;2015;124;5
Bom Jardim de Goiás;2016;133;1
Bom Jardim de Goiás;2017;114;2
Bom Jardim de Goiás;2018;136;1
Bom Jesus de Goiás;1999;204;6
Bom Jesus de Goiás;2000;263;8
Bom Jesus de Goiás;2001;295;15
Bom Jesus de Goiás;2002;291;13
Bom Jesus de Goiás;2003;427;22
Bom Jesus de Goiás;2004;409;
Bom Jesus de Goiás;2005;420;
Bom Jesus de Goiás;2006;417;
Bom Jesus de Goiás;2007;422;
Bom Jesus de Goiás;2008;518;
Bom Jesus de Goiás;2009;508;
Bom Jesus de Goiás;2010;543;714
Bom Jesus de Goiás;2011;700;23
Bom Jesus de Goiás;2012;806;27
Bom Jesus de Goiás;2013;818;37
Bom Jesus de Goiás;2014;769;41
Bom Jesus de Goiás;2015;685;40
Bom Jesus de Goiás;2016;632;38
Bom Jesus de Goiás;2017;665;44
Bom Jesus de Goiás;2018;632;28
Bonfinópolis;1999;10;  
Bonfinópolis;2000;12;  
Bonfinópolis;2001;34;1
Bonfinópolis;2002;12;
Bonfinópolis;2003;25;
Bonfinópolis;2004;27;
Bonfinópolis;2005;25;
Bonfinópolis;2006;36;
Bonfinópolis;2007;36;
Bonfinópolis;2008;50;
Bonfinópolis;2009;55;
Bonfinópolis;2010;64;151
Bonfinópolis;2011;65;1
Bonfinópolis;2012;81;1
Bonfinópolis;2013;94;1
Bonfinópolis;2014;101;1
Bonfinópolis;2015;113;2
Bonfinópolis;2016;138;4
Bonfinópolis;2017;134;4
Bonfinópolis;2018;171;9
Bonópolis;1999;2;  
Bonópolis;2000;5;  
Bonópolis;2001;4;  
Bonópolis;2002;5;
Bonópolis;2003;6;
Bonópolis;2004;10;
Bonópolis;2005;11;
Bonópolis;2006;10;
Bonópolis;2007;11;
Bonópolis;2008;13;
Bonópolis;2009;17;
Bonópolis;2010;20;4
Bonópolis;2011;18;
Bonópolis;2012;20;
Bonópolis;2013;26;
Bonópolis;2014;25;
Bonópolis;2015;22;
Bonópolis;2016;29;5
Bonópolis;2017;28;5
Bonópolis;2018;29;4
Brazabrantes;1999;1;1
Brazabrantes;2000;4;2
Brazabrantes;2001;6;2
Brazabrantes;2002;11;2
Brazabrantes;2003;8;1
Brazabrantes;2004;16;
Brazabrantes;2005;13;
Brazabrantes;2006;11;
Brazabrantes;2007;17;
Brazabrantes;2008;20;
Brazabrantes;2009;24;
Brazabrantes;2010;16;145
Brazabrantes;2011;20;1
Brazabrantes;2012;14;
Brazabrantes;2013;17;
Brazabrantes;2014;9;4
Brazabrantes;2015;12;2
Brazabrantes;2016;14;2
Brazabrantes;2017;16;3
Brazabrantes;2018;27;2
Britânia;1999;33;  
Britânia;2000;33;  
Britânia;2001;33;3
Britânia;2002;41;2
Britânia;2003;57;2
Britânia;2004;49;
Britânia;2005;59;
Britânia;2006;55;
Britânia;2007;69;
Britânia;2008;75;
Britânia;2009;73;
Britânia;2010;88;31
Britânia;2011;98;1
Britânia;2012;92;
Britânia;2013;91;2
Britânia;2014;106;
Britânia;2015;105;9
Britânia;2016;99;9
Britânia;2017;93;10
Britânia;2018;106;12
Buriti Alegre;1999;69;  
Buriti Alegre;2000;80;  
Buriti Alegre;2001;82;  
Buriti Alegre;2002;90;
Buriti Alegre;2003;101;
Buriti Alegre;2004;98;
Buriti Alegre;2005;105;
Buriti Alegre;2006;118;
Buriti Alegre;2007;151;
Buriti Alegre;2008;151;
Buriti Alegre;2009;163;
Buriti Alegre;2010;171;115
Buriti Alegre;2011;181;6
Buriti Alegre;2012;178;9
Buriti Alegre;2013;170;11
Buriti Alegre;2014;154;9
Buriti Alegre;2015;184;12
Buriti Alegre;2016;284;10
Buriti Alegre;2017;174;29
Buriti Alegre;2018;181;33
Buriti de Goiás;1999;3;  
Buriti de Goiás;2000;5;  
Buriti de Goiás;2001;10;  
Buriti de Goiás;2002;9;
Buriti de Goiás;2003;5;
Buriti de Goiás;2004;4;
Buriti de Goiás;2005;8;
Buriti de Goiás;2006;2;
Buriti de Goiás;2007;16;
Buriti de Goiás;2008;5;
Buriti de Goiás;2009;18;
Buriti de Goiás;2010;19;41
Buriti de Goiás;2011;25;
Buriti de Goiás;2012;29;
Buriti de Goiás;2013;34;
Buriti de Goiás;2014;45;
Buriti de Goiás;2015;45;
Buriti de Goiás;2016;39;
Buriti de Goiás;2017;24;
Buriti de Goiás;2018;29;  
Buritinópolis;1999;  ;  
Buritinópolis;2000;1;  
Buritinópolis;2001;1;  
Buritinópolis;2002;;
Buritinópolis;2003;;
Buritinópolis;2004;  ;
Buritinópolis;2005;  ;
Buritinópolis;2006;1;
Buritinópolis;2007;2;
Buritinópolis;2008;1;
Buritinópolis;2009;1;
Buritinópolis;2010;2;5
Buritinópolis;2011;5;
Buritinópolis;2012;6;
Buritinópolis;2013;10;
Buritinópolis;2014;11;
Buritinópolis;2015;12;
Buritinópolis;2016;17;
Buritinópolis;2017;18;
Buritinópolis;2018;19;  
Cabeceiras;1999;6;4
Cabeceiras;2000;10;6
Cabeceiras;2001;20;3
Cabeceiras;2002;25;5
Cabeceiras;2003;51;5
Cabeceiras;2004;22;
Cabeceiras;2005;27;
Cabeceiras;2006;23;
Cabeceiras;2007;28;
Cabeceiras;2008;29;
Cabeceiras;2009;27;
Cabeceiras;2010;32;138
Cabeceiras;2011;28;2
Cabeceiras;2012;44;
Cabeceiras;2013;48;
Cabeceiras;2014;57;
Cabeceiras;2015;50;
Cabeceiras;2016;47;
Cabeceiras;2017;50;
Cabeceiras;2018;72;  
Cachoeira Alta;1999;73;2
Cachoeira Alta;2000;79;3
Cachoeira Alta;2001;73;3
Cachoeira Alta;2002;85;1
Cachoeira Alta;2003;111;1
Cachoeira Alta;2004;117;
Cachoeira Alta;2005;119;
Cachoeira Alta;2006;97;
Cachoeira Alta;2007;126;
Cachoeira Alta;2008;150;
Cachoeira Alta;2009;184;
Cachoeira Alta;2010;193;151
Cachoeira Alta;2011;258;1
Cachoeira Alta;2012;235;1
Cachoeira Alta;2013;250;532
Cachoeira Alta;2014;300;1
Cachoeira Alta;2015;308;3
Cachoeira Alta;2016;328;3
Cachoeira Alta;2017;280;5
Cachoeira Alta;2018;273;4
Cachoeira de Goiás;1999;1;1
Cachoeira de Goiás;2000;2;  
Cachoeira de Goiás;2001;2;  
Cachoeira de Goiás;2002;2;
Cachoeira de Goiás;2003;1;
Cachoeira de Goiás;2004;1;
Cachoeira de Goiás;2005;1;
Cachoeira de Goiás;2006;1;
Cachoeira de Goiás;2007;4;
Cachoeira de Goiás;2008;15;
Cachoeira de Goiás;2009;19;
Cachoeira de Goiás;2010;20;15
Cachoeira de Goiás;2011;3;
Cachoeira de Goiás;2012;3;
Cachoeira de Goiás;2013;4;
Cachoeira de Goiás;2014;9;
Cachoeira de Goiás;2015;9;
Cachoeira de Goiás;2016;9;
Cachoeira de Goiás;2017;9;
Cachoeira de Goiás;2018;10;  
Cachoeira Dourada;1999;43;  
Cachoeira Dourada;2000;59;  
Cachoeira Dourada;2001;65;  
Cachoeira Dourada;2002;78;1
Cachoeira Dourada;2003;92;3
Cachoeira Dourada;2004;91;
Cachoeira Dourada;2005;94;
Cachoeira Dourada;2006;102;
Cachoeira Dourada;2007;141;
Cachoeira Dourada;2008;119;
Cachoeira Dourada;2009;114;
Cachoeira Dourada;2010;124;85
Cachoeira Dourada;2011;127;
Cachoeira Dourada;2012;143;
Cachoeira Dourada;2013;135;
Cachoeira Dourada;2014;147;
Cachoeira Dourada;2015;137;
Cachoeira Dourada;2016;125;
Cachoeira Dourada;2017;124;
Cachoeira Dourada;2018;126;  
Caçu;1999;128;10
Caçu;2000;199;  
Caçu;2001;201;7
Caçu;2002;164;8
Caçu;2003;248;12
Caçu;2004;225;
Caçu;2005;215;
Caçu;2006;227;
Caçu;2007;249;
Caçu;2008;281;
Caçu;2009;329;
Caçu;2010;411;182
Caçu;2011;398;26
Caçu;2012;404;24
Caçu;2013;366;14
Caçu;2014;561;19
Caçu;2015;430;23
Caçu;2016;412;192
Caçu;2017;393;40
Caçu;2018;431;39
Caiapônia;1999;105;  
Caiapônia;2000;97;1
Caiapônia;2001;116;4
Caiapônia;2002;119;8
Caiapônia;2003;145;13
Caiapônia;2004;190;
Caiapônia;2005;171;
Caiapônia;2006;187;
Caiapônia;2007;196;
Caiapônia;2008;192;
Caiapônia;2009;217;
Caiapônia;2010;246;165
Caiapônia;2011;267;31
Caiapônia;2012;270;31
Caiapônia;2013;328;34
Caiapônia;2014;403;45
