Localidade;Ano;Total;Indústria de Transformação ;Indústria de Extração de Minerais ;Serviços Industriais de Utilidade Pública ;Construção Civil ;Comércio ;Serviços ;Administração Pública Direta e Indireta ;Agricultura, Silvicultura, Criação de Animais, Extração Vegetal e Pesca ;Atividade não especificada ou classificada
Acreúna;2003;1501;206;;;;107;201;;987;
Acreúna;2004;1607;240;;;2;124;245;;996;
Acreúna;2005;2073;524;;;26;211;187;;1125;
Acreúna;2006;1969;424;;;79;235;852;;379;
Acreúna;2007;1987;760;;;6;210;196;;815;
Acreúna;2008;1579;627;;;23;258;168;;503;
Acreúna;2009;1668;634;;;52;248;203;;531;
Acreúna;2010;1314;220;;1;136;215;209;;533;
Acreúna;2011;1433;217;;;186;279;273;;478;
Acreúna;2012;1608;240;;;101;316;367;;584;
Acreúna;2013;1460;184;;;212;347;265;;452;
Acreúna;2014;1570;181;1;;49;381;275;;683;
Acreúna;2015;1343;126;;;46;310;354;;507;
Acreúna;2016;1260;86;;;52;314;265;;543;
Acreúna;2017;1300;116;;1;68;306;251;;558;
Acreúna;2018;1463;185;0;0;12;291;249;1;725;1463
Adelândia;1999;6;2;;;2;;2;;;
Adelândia;2000;5;4;;;;;1;;;
Adelândia;2001;6;;;1;;1;2;;2;
Adelândia;2002;2;2;;;;;;;;
Adelândia;2003;15;13;;;;1;;;1;
Adelândia;2004;8;;;;6;2;;;;
Adelândia;2005;16;12;;;;3;;;1;
Adelândia;2006;19;17;;;;;;;2;
Adelândia;2007;10;4;;;;1;;;5;
Adelândia;2008;22;20;;;;1;;;1;
Adelândia;2009;40;33;;;;4;;;3;
Adelândia;2010;51;32;;;;14;1;;4;
Adelândia;2011;65;44;;;;15;2;;4;
Adelândia;2012;84;68;;;;6;4;;6;
Adelândia;2013;98;82;;;;6;;;10;
Adelândia;2014;91;66;;;;7;10;;8;
Adelândia;2015;81;56;;;;5;13;;7;
Adelândia;2016;122;40;;;;1;59;;22;
Adelândia;2017;149;34;;;;6;38;;71;
Adelândia;2018;194;36;0;0;0;14;39;0;105;194
Água Fria de Goiás;1999;54;3;;1;4;14;19;;11;2
Água Fria de Goiás;2000;90;1;;2;33;2;3;;49;
Água Fria de Goiás;2001;112;2;;;;8;;;102;
Água Fria de Goiás;2002;70;1;;;;7;4;;58;
Água Fria de Goiás;2003;113;;;;;1;2;;110;
Água Fria de Goiás;2004;161;3;;;2;5;5;;146;
Água Fria de Goiás;2005;131;;;;;8;29;;94;
Água Fria de Goiás;2006;142;2;;;;17;59;;64;
Água Fria de Goiás;2007;211;2;;;;5;27;;177;
Água Fria de Goiás;2008;202;1;;;;8;13;;180;
Água Fria de Goiás;2009;257;3;;;;35;28;;191;
Água Fria de Goiás;2010;217;3;;;;21;20;;173;
Água Fria de Goiás;2011;291;5;;;;84;19;;183;
Água Fria de Goiás;2012;307;4;4;;2;32;39;;226;
Água Fria de Goiás;2013;318;2;;;2;19;29;;266;
Água Fria de Goiás;2014;239;3;;;1;21;18;;196;
Água Fria de Goiás;2015;299;;;;5;18;14;;262;
Água Fria de Goiás;2016;246;2;;;12;27;12;;193;
Água Fria de Goiás;2017;392;3;;;;45;15;;329;
Água Fria de Goiás;2018;736;0;0;0;0;38;20;0;678;736
Água Limpa;1999;13;;;2;2;8;1;;;
Água Limpa;2000;10;3;;;;;;;7;
Água Limpa;2001;12;;;;;;;;12;
Água Limpa;2002;15;;;;;3;;;12;
Água Limpa;2003;17;4;;;;2;;;11;
Água Limpa;2004;21;2;;;;2;;;17;
Água Limpa;2005;21;2;;;;1;;;18;
Água Limpa;2006;21;1;;;;;7;;13;
Água Limpa;2007;29;;;;;4;2;;23;
Água Limpa;2008;23;2;;;;1;1;;19;
Água Limpa;2009;26;;;;;1;2;;23;
Água Limpa;2010;32;1;;;;5;1;;25;
Água Limpa;2011;39;4;;;;10;;;25;
Água Limpa;2012;40;4;;;;9;;;27;
Água Limpa;2013;28;1;;;;6;;;21;
Água Limpa;2014;46;;;;;4;5;;37;
Água Limpa;2015;27;;;;;4;2;;21;
Água Limpa;2016;48;;;;;7;4;;37;
Água Limpa;2017;47;;;;;9;4;;34;
Água Limpa;2018;49;5;0;0;0;5;4;0;35;49
Águas Lindas de Goiás;1999;300;24;;2;18;138;117;;;1
Águas Lindas de Goiás;2000;441;5;;2;11;122;301;;;
Águas Lindas de Goiás;2001;800;28;;;21;238;504;;8;1
Águas Lindas de Goiás;2002;508;13;;;41;184;265;;5;
Águas Lindas de Goiás;2003;560;24;;;60;213;257;;5;1
Águas Lindas de Goiás;2004;592;14;1;4;8;224;334;;7;
Águas Lindas de Goiás;2005;681;24;;11;46;228;368;;4;
Águas Lindas de Goiás;2006;862;29;;2;63;374;383;;11;
Águas Lindas de Goiás;2007;1190;44;;;279;368;486;;13;
Águas Lindas de Goiás;2008;1755;69;1;;526;590;556;;13;
Águas Lindas de Goiás;2009;2399;66;4;;1045;674;595;;15;
Águas Lindas de Goiás;2010;2957;110;4;;1294;672;864;;13;
Águas Lindas de Goiás;2011;2898;118;;;847;732;1190;;11;
Águas Lindas de Goiás;2012;3302;131;;;950;976;1241;;4;
Águas Lindas de Goiás;2013;3422;178;11;;1003;1301;922;;7;
Águas Lindas de Goiás;2014;3043;229;7;;444;1082;1270;;11;
Águas Lindas de Goiás;2015;2874;192;7;;427;1205;1033;;10;
Águas Lindas de Goiás;2016;2946;185;;;353;1239;1159;;10;
Águas Lindas de Goiás;2017;2477;201;;1;205;1288;772;;10;
Águas Lindas de Goiás;2018;2853;148;0;3;207;1436;1048;0;11;2853
Alexânia;1999;503;24;;2;362;71;19;;12;13
Alexânia;2000;408;56;3;;240;54;27;;28;
Alexânia;2001;530;30;17;;391;38;27;;27;
Alexânia;2002;322;35;14;;108;65;60;;40;
Alexânia;2003;324;55;4;2;101;54;65;;43;
Alexânia;2004;257;88;;;4;76;62;;27;
Alexânia;2005;359;111;;;79;77;60;;32;
Alexânia;2006;536;103;13;;229;86;44;;61;
Alexânia;2007;449;113;;;36;132;81;;87;
Alexânia;2008;483;197;;;4;126;64;;92;
Alexânia;2009;686;180;;;11;127;274;;94;
Alexânia;2010;906;183;;;12;222;336;;153;
Alexânia;2011;850;219;1;1;64;196;216;;153;
Alexânia;2012;1040;149;6;;11;528;232;;114;
Alexânia;2013;1572;151;;;104;833;363;;121;
Alexânia;2014;1740;303;1;;30;881;387;;138;
Alexânia;2015;1734;258;2;5;45;808;476;;140;
Alexânia;2016;1716;216;2;;61;913;426;;98;
Alexânia;2017;1956;283;3;2;29;883;600;;156;
Alexânia;2018;1736;284;0;1;13;751;499;0;188;1736
Aloândia;1999;2;;;;1;;1;;;
Aloândia;2000;2;;;;;;2;;;
Aloândia;2001;1;;;;;;;;1;
Aloândia;2002;1;;;;;;;;1;
Aloândia;2003;3;;;;;;;;3;
Aloândia;2004;5;;;;;1;;;4;
Aloândia;2005;4;;;;;1;;;3;
Aloândia;2006;7;2;;;;2;1;;2;
Aloândia;2007;2;;;;;1;;;1;
Aloândia;2008;13;2;;;;3;;;8;
Aloândia;2009;12;2;;;;1;;;9;
Aloândia;2010;27;4;;;2;5;;;16;
Aloândia;2011;30;2;;;;13;2;;13;
Aloândia;2012;22;2;;;1;7;2;;10;
Aloândia;2013;34;11;;;;6;5;;12;
Aloândia;2014;32;15;;;;4;4;;9;
Aloândia;2015;22;7;;;;8;1;;6;
Aloândia;2016;36;22;;;;4;2;;8;
Aloândia;2017;28;9;;;;7;2;;10;
Aloândia;2018;33;6;0;0;0;16;2;0;9;33
Alto Horizonte;1999;10;5;;;;3;;;;2
Alto Horizonte;2000;12;1;;;6;;;;5;
Alto Horizonte;2001;10;;;;;;;;10;
Alto Horizonte;2002;11;;;;;;;;11;
Alto Horizonte;2003;8;;;;;1;;;7;
Alto Horizonte;2004;17;;11;;;;;;6;
Alto Horizonte;2005;41;;21;;;2;2;;16;
Alto Horizonte;2006;58;;40;;;4;2;;12;
Alto Horizonte;2007;278;;125;;7;7;136;;3;
Alto Horizonte;2008;725;;218;;406;8;78;;15;
Alto Horizonte;2009;1338;;232;;982;11;99;;14;
Alto Horizonte;2010;814;24;88;;557;21;107;;17;
Alto Horizonte;2011;547;64;98;;145;41;171;;28;
Alto Horizonte;2012;555;193;79;;111;49;97;;26;
Alto Horizonte;2013;865;363;79;5;221;52;113;;32;
Alto Horizonte;2014;680;212;86;;215;43;102;;22;
Alto Horizonte;2015;657;225;110;4;155;62;72;;29;
Alto Horizonte;2016;927;536;110;4;174;41;45;;17;
Alto Horizonte;2017;941;463;70;6;270;54;55;;23;
Alto Horizonte;2018;858;303;51;4;197;58;219;0;26;858
Alto Paraíso de Goiás;1999;170;5;;;29;49;50;;35;2
Alto Paraíso de Goiás;2000;149;2;;;;31;75;;41;
Alto Paraíso de Goiás;2001;177;;;;;49;73;;55;
Alto Paraíso de Goiás;2002;192;1;;;;32;101;;58;
Alto Paraíso de Goiás;2003;233;;;2;13;42;108;;68;
Alto Paraíso de Goiás;2004;241;1;;;16;57;124;;43;
Alto Paraíso de Goiás;2005;205;;4;;9;39;83;;70;
Alto Paraíso de Goiás;2006;245;32;4;;4;42;87;;76;
Alto Paraíso de Goiás;2007;215;;;;;43;95;;77;
Alto Paraíso de Goiás;2008;270;1;;;8;46;133;;82;
Alto Paraíso de Goiás;2009;281;2;;;;56;131;;92;
Alto Paraíso de Goiás;2010;288;4;;;;49;128;;107;
Alto Paraíso de Goiás;2011;303;5;;;1;48;146;;103;
Alto Paraíso de Goiás;2012;373;10;;;;69;175;;119;
Alto Paraíso de Goiás;2013;394;10;;;;78;182;;124;
Alto Paraíso de Goiás;2014;422;14;;;19;59;208;;122;
Alto Paraíso de Goiás;2015;436;10;;;4;83;235;;104;
Alto Paraíso de Goiás;2016;435;5;;;11;74;260;;85;
Alto Paraíso de Goiás;2017;509;18;;;23;82;277;;109;
Alto Paraíso de Goiás;2018;483;22;0;0;29;85;255;0;92;483
Alvorada do Norte;1999;100;9;;2;26;24;32;2;5;
Alvorada do Norte;2000;62;;;;;31;15;;16;
Alvorada do Norte;2001;50;2;;;;27;15;;6;
Alvorada do Norte;2002;35;3;;;;12;6;;14;
Alvorada do Norte;2003;43;9;;3;;14;3;;14;
Alvorada do Norte;2004;57;6;;2;;16;8;;25;
Alvorada do Norte;2005;119;5;1;;24;33;25;;31;
Alvorada do Norte;2006;236;8;2;;91;45;72;;18;
Alvorada do Norte;2007;340;3;5;4;199;46;51;;32;
Alvorada do Norte;2008;157;9;;1;93;19;10;;25;
Alvorada do Norte;2009;113;;;62;1;27;8;;15;
Alvorada do Norte;2010;155;;;109;;16;10;;20;
Alvorada do Norte;2011;89;;;42;;21;12;;14;
Alvorada do Norte;2012;107;14;;15;8;24;18;;28;
Alvorada do Norte;2013;113;12;;2;35;25;15;;24;
Alvorada do Norte;2014;196;7;;4;34;51;67;;33;
Alvorada do Norte;2015;223;15;;8;39;35;82;;44;
Alvorada do Norte;2016;209;4;;;48;60;52;;45;
Alvorada do Norte;2017;241;2;1;1;74;58;74;;31;
Alvorada do Norte;2018;226;3;1;0;46;71;64;0;41;226
Amaralina;1999;;;;;;;;;;
Amaralina;2000;2;;;;1;1;;;;
Amaralina;2001;2;;;;;;;;2;
Amaralina;2002;12;;;;;;;;12;
Amaralina;2003;21;;;;;1;;;20;
Amaralina;2004;43;;;;;1;;;42;
Amaralina;2005;74;;;;5;;1;;68;
Amaralina;2006;65;;;;;;;;65;
Amaralina;2007;75;;;;;2;1;;72;
Amaralina;2008;107;;;;;5;17;;85;
Amaralina;2009;55;;2;;3;1;;;49;
Amaralina;2010;88;;7;;3;2;;;76;
Amaralina;2011;45;;1;;;7;;;37;
Amaralina;2012;26;;;;;2;;;24;
Amaralina;2013;52;;;;7;3;;;42;
Amaralina;2014;48;;;;6;;;;42;
Amaralina;2015;29;1;;;;2;;;26;
Amaralina;2016;32;9;;;;;;;23;
Amaralina;2017;24;3;;;;4;2;;15;
Amaralina;2018;43;20;0;0;2;0;1;0;20;43
Americano do Brasil;1999;11;6;;2;1;;2;;;
Americano do Brasil;2000;10;8;;;;1;;;1;
Americano do Brasil;2001;14;9;;;2;;;;3;
Americano do Brasil;2002;8;5;;;;3;;;;
Americano do Brasil;2003;13;;;1;;11;;;1;
Americano do Brasil;2004;27;;;;;26;;;1;
Americano do Brasil;2005;27;;;;16;7;1;;3;
Americano do Brasil;2006;180;;;;177;1;;;2;
Americano do Brasil;2007;88;;79;;;1;4;;4;
Americano do Brasil;2008;204;2;105;;;8;71;;18;
Americano do Brasil;2009;152;4;82;;;5;53;;8;
Americano do Brasil;2010;124;8;46;;3;15;33;;19;
Americano do Brasil;2011;221;11;65;;18;23;56;;48;
Americano do Brasil;2012;272;35;102;;18;22;68;;27;
Americano do Brasil;2013;568;12;370;;33;22;91;;40;
Americano do Brasil;2014;141;18;3;;;23;61;;36;
Americano do Brasil;2015;251;16;5;;97;20;47;;66;
Americano do Brasil;2016;241;60;;;32;18;81;;50;
Americano do Brasil;2017;237;44;;;4;40;110;;39;
Americano do Brasil;2018;297;50;0;0;6;16;38;0;187;297
Amorinópolis;1999;18;5;;;1;5;1;;6;
Amorinópolis;2000;38;19;;;;3;;;16;
Amorinópolis;2001;38;10;;;1;10;2;;15;
Amorinópolis;2002;27;5;;;;4;;;18;
Amorinópolis;2003;33;5;;;;7;;;21;
Amorinópolis;2004;38;11;;;;8;;;19;
Amorinópolis;2005;34;13;;;;3;1;;17;
Amorinópolis;2006;30;15;;;;4;;;11;
Amorinópolis;2007;63;29;;;;4;;;30;
Amorinópolis;2008;69;33;;;;8;;;28;
Amorinópolis;2009;62;25;;;;4;;;33;
Amorinópolis;2010;86;43;;;;2;;;41;
Amorinópolis;2011;53;22;;;;6;2;;23;
Amorinópolis;2012;78;36;;;;9;4;;29;
Amorinópolis;2013;93;60;;;;12;4;;17;
Amorinópolis;2014;125;76;;;;15;7;;27;
Amorinópolis;2015;59;7;;;;10;23;;19;
Amorinópolis;2016;49;;;;12;8;3;;26;
Amorinópolis;2017;49;8;;;;14;1;;26;
Amorinópolis;2018;987;156;0;1;124;261;409;0;36;987
Anápolis;1999;15753;4446;39;71;706;5814;4170;179;252;76
Anápolis;2000;16544;4993;35;59;2087;5002;4014;28;313;13
Anápolis;2001;20107;6127;23;72;2748;6323;4445;4;360;5
Anápolis;2002;17007;5353;25;14;1585;5584;4127;6;313;
Anápolis;2003;17321;4891;15;278;1250;6025;4449;3;406;4
Anápolis;2004;17166;4933;18;393;1455;6083;3732;2;550;
Anápolis;2005;19359;5840;4;5;1460;7116;4487;18;429;
Anápolis;2006;20501;6456;14;2;1768;6771;5172;;318;
Anápolis;2007;23451;7151;26;5;2066;8052;5740;;411;
Anápolis;2008;28139;9303;47;117;2230;8633;7158;2;649;
Anápolis;2009;28024;7996;41;137;3457;9097;6896;;400;
Anápolis;2010;32962;10552;41;349;2924;9929;8795;2;370;
Anápolis;2011;39950;12954;45;17;4639;11466;10415;;414;
Anápolis;2012;41082;14440;;186;4563;11526;9930;2;435;
Anápolis;2013;45415;15994;9;349;4453;12898;11198;14;500;
Anápolis;2014;47754;17209;9;292;4307;12670;12867;5;395;
Anápolis;2015;43480;13929;16;226;4222;11919;12725;;443;
Anápolis;2016;35496;10505;4;239;3352;10211;10687;3;495;
Anápolis;2017;32995;8838;8;296;2595;9480;11420;6;352;
Anápolis;2018;33898;8885;3;165;3286;9186;12041;13;319;33898
Anhanguera;1999;21;3;3;;;3;11;;1;
Anhanguera;2000;14;2;1;;;;8;;3;
Anhanguera;2001;10;3;2;;;;;;5;
Anhanguera;2002;4;;;;;;;;4;
Anhanguera;2003;9;;3;;;1;;;5;
Anhanguera;2004;9;2;2;;;1;2;;2;
Anhanguera;2005;9;5;1;;;;;;3;
Anhanguera;2006;12;11;;;;;;;1;
Anhanguera;2007;6;4;;;;;1;;1;
Anhanguera;2008;4;;;;;;;;4;
Anhanguera;2009;2;;;;;1;;;1;
Anhanguera;2010;9;;;;;1;;;8;
Anhanguera;2011;3;;;;;1;;;2;
Anhanguera;2012;4;;3;;;;;;1;
Anhanguera;2013;9;7;1;;;;;;1;
Anhanguera;2014;33;31;2;;;;;;;
Anhanguera;2015;21;16;1;;;1;1;;2;
Anhanguera;2016;13;12;;;1;;;;;
Anhanguera;2017;23;15;;;5;;;;3;
Anhanguera;2018;1543;325;16;9;411;297;478;0;7;1543
Anicuns;1999;1756;547;;2;31;64;54;;1058;
Anicuns;2000;2075;590;;;16;42;34;;1393;
Anicuns;2001;1808;479;;;;71;24;;1234;
Anicuns;2002;2280;1893;;1;9;80;53;;244;
Anicuns;2003;2575;2410;;2;6;107;34;;16;
Anicuns;2004;2652;2473;27;;16;89;24;;23;
Anicuns;2005;3658;3231;;;204;167;34;;22;
Anicuns;2006;2159;1780;;;166;97;47;;69;
Anicuns;2007;3941;3269;;;443;126;38;;65;
Anicuns;2008;4311;3988;;;5;144;84;;90;
Anicuns;2009;3503;3209;;1;2;118;101;;72;
Anicuns;2010;3619;3300;;1;4;140;62;;112;
Anicuns;2011;3232;2845;;;12;167;124;;84;
Anicuns;2012;3399;2893;;1;11;218;166;;110;
Anicuns;2013;2750;2281;3;;15;211;105;;135;
Anicuns;2014;2855;2303;4;;10;260;155;;123;
Anicuns;2015;2229;1727;3;;1;229;105;;164;
Anicuns;2016;2095;1529;;;4;241;161;;160;
Anicuns;2017;1963;1481;;2;8;219;112;;141;
Anicuns;2018;1507;998;0;0;23;204;148;0;134;1507
Aparecida de Goiânia;1999;19829;3796;88;155;3031;2281;10398;7;55;18
Aparecida de Goiânia;2000;20545;4322;51;13;3078;2463;10500;2;100;16
Aparecida de Goiânia;2001;26596;5077;30;19;5242;2779;13314;24;110;1
Aparecida de Goiânia;2002;24348;5022;24;99;3915;3260;11956;2;70;
Aparecida de Goiânia;2003;20924;4288;60;3;3310;3238;9944;8;73;
Aparecida de Goiânia;2004;25538;4043;68;26;3937;4489;12887;5;83;
Aparecida de Goiânia;2005;29997;5140;110;101;3700;4931;15745;1;269;
Aparecida de Goiânia;2006;31330;6137;106;142;4586;4947;15328;1;83;
Aparecida de Goiânia;2007;35439;6392;82;119;7225;6095;15443;;83;
Aparecida de Goiânia;2008;46735;8406;167;164;10448;7690;19711;;149;
Aparecida de Goiânia;2009;49577;8945;38;83;10109;8534;21712;34;122;
Aparecida de Goiânia;2010;60926;10783;49;558;13466;10291;25698;;81;
Aparecida de Goiânia;2011;69930;12429;41;64;14537;12355;30345;1;158;
Aparecida de Goiânia;2012;66950;12521;51;654;13478;13202;26940;;104;
Aparecida de Goiânia;2013;70810;13465;14;1218;14849;14193;26925;;146;
Aparecida de Goiânia;2014;72150;13535;24;878;15248;14849;27461;1;154;
Aparecida de Goiânia;2015;59937;11883;51;333;10144;13420;24020;;86;
Aparecida de Goiânia;2016;47180;8501;52;380;7830;10626;19708;1;82;
Aparecida de Goiânia;2017;43721;7988;53;203;6503;11044;17832;;98;
Aparecida de Goiânia;2018;47117;8421;42;156;7865;11354;19159;5;115;47117
Aparecida do Rio Doce;1999;34;8;;;2;10;5;;9;
Aparecida do Rio Doce;2000;57;1;;;3;1;9;;43;
Aparecida do Rio Doce;2001;112;1;;;3;62;11;;35;
Aparecida do Rio Doce;2002;286;60;;;;125;20;;81;
Aparecida do Rio Doce;2003;327;181;;;2;28;30;;86;
Aparecida do Rio Doce;2004;446;110;;;20;229;45;;42;
Aparecida do Rio Doce;2005;206;49;;;3;109;26;;19;
Aparecida do Rio Doce;2006;85;14;;;;35;12;;24;
Aparecida do Rio Doce;2007;90;9;;;;34;14;;33;
Aparecida do Rio Doce;2008;62;20;;;;4;4;;34;
Aparecida do Rio Doce;2009;84;6;1;;;6;3;;68;
Aparecida do Rio Doce;2010;92;6;;2;2;2;4;;76;
Aparecida do Rio Doce;2011;92;6;;;;14;;;72;
Aparecida do Rio Doce;2012;97;7;;;;15;18;;57;
Aparecida do Rio Doce;2013;147;3;;;2;8;65;;69;
Aparecida do Rio Doce;2014;240;7;;;10;10;76;;137;
Aparecida do Rio Doce;2015;222;;;;13;31;66;;112;
Aparecida do Rio Doce;2016;203;;;;9;30;24;;140;
Aparecida do Rio Doce;2017;196;1;;;;34;18;;143;
Aparecida do Rio Doce;2018;145;1;0;0;1;19;20;0;104;145
Aporé;1999;113;38;;;5;17;33;1;19;
Aporé;2000;111;5;;;10;9;25;;62;
Aporé;2001;64;;;;;3;4;;57;
Aporé;2002;90;;;;49;;2;;39;
Aporé;2003;317;3;;;267;3;1;;43;
Aporé;2004;113;;;;39;8;1;;65;
Aporé;2005;247;11;;;145;5;1;;85;
Aporé;2006;134;8;;;60;5;16;;45;
Aporé;2007;229;4;;19;38;14;2;;152;
Aporé;2008;703;99;;43;407;11;6;;137;
Aporé;2009;761;146;;113;310;18;2;;172;
Aporé;2010;421;154;;56;1;27;11;;172;
Aporé;2011;341;104;;49;2;30;43;;113;
Aporé;2012;477;152;;53;;25;35;;212;
Aporé;2013;399;205;;8;;31;21;;134;
Aporé;2014;414;159;;22;2;19;43;;169;
Aporé;2015;290;51;;;5;19;36;;179;
Aporé;2016;249;27;;;;28;47;;147;
Aporé;2017;256;53;;;;17;7;;179;
Aporé;2018;256;48;0;0;1;22;5;0;180;256
Araçu;1999;26;8;;;3;2;7;;4;2
Araçu;2000;34;5;;;5;3;10;;11;
Araçu;2001;40;23;;;;;3;;14;
Araçu;2002;36;15;;;;5;1;;15;
Araçu;2003;22;11;;;;1;;;10;
Araçu;2004;49;21;;;1;6;;;21;
Araçu;2005;38;15;;;;4;2;;17;
Araçu;2006;56;24;;;;6;12;;14;
Araçu;2007;52;26;;;;1;2;;23;
Araçu;2008;43;11;;;;1;1;;30;
Araçu;2009;53;8;;;;7;3;;35;
Araçu;2010;42;6;;;;6;1;;29;
Araçu;2011;61;19;;;;9;;;33;
Araçu;2012;106;73;;;;8;;;25;
Araçu;2013;178;37;;;;8;104;;29;
Araçu;2014;130;69;;;;17;8;;36;
Araçu;2015;73;32;;;3;13;3;;22;
Araçu;2016;46;19;;;4;7;1;;15;
Araçu;2017;153;23;;;13;10;76;;31;
Araçu;2018;144;36;0;0;40;14;27;0;27;144
Aragarças;1999;103;13;;;22;28;30;;10;
Aragarças;2000;74;4;;;12;24;14;;20;
Aragarças;2001;98;10;;1;27;28;16;;16;
Aragarças;2002;77;5;;;;49;15;;8;
Aragarças;2003;104;6;;;2;59;22;;15;
Aragarças;2004;134;5;;;26;62;20;2;19;
Aragarças;2005;133;8;;;25;70;17;;13;
Aragarças;2006;98;6;;1;2;52;28;;9;
Aragarças;2007;107;7;;;7;47;35;;11;
Aragarças;2008;120;3;;;3;71;34;;9;
Aragarças;2009;322;2;;1;168;110;31;;10;
Aragarças;2010;299;4;;;108;118;52;;17;
Aragarças;2011;253;13;;;39;120;58;;23;
Aragarças;2012;326;22;;2;30;141;91;;40;
Aragarças;2013;308;17;;;5;141;112;;33;
Aragarças;2014;404;12;;;5;205;138;;44;
Aragarças;2015;474;12;2;1;12;227;155;;65;
Aragarças;2016;431;11;2;;42;222;110;;44;
Aragarças;2017;361;12;4;4;18;169;120;;34;
Aragarças;2018;310;12;7;0;9;167;82;0;33;310
Aragoiânia;1999;94;31;;2;19;22;16;;4;
Aragoiânia;2000;78;31;;;5;8;24;;10;
Aragoiânia;2001;130;57;;;3;14;38;;18;
Aragoiânia;2002;217;40;;;24;32;101;;20;
Aragoiânia;2003;292;105;;;28;26;113;;20;
Aragoiânia;2004;256;125;;;39;14;59;;19;
Aragoiânia;2005;168;60;;;16;18;48;;26;
Aragoiânia;2006;190;16;;;93;23;47;;11;
Aragoiânia;2007;166;13;;;24;31;72;;26;
Aragoiânia;2008;162;41;;;47;16;11;;47;
Aragoiânia;2009;219;80;;;48;52;13;;26;
Aragoiânia;2010;266;127;;1;56;29;7;;46;
Aragoiânia;2011;370;206;;;65;15;9;;75;
Aragoiânia;2012;346;207;;;41;35;15;;48;
Aragoiânia;2013;306;161;;;42;31;7;;65;
Aragoiânia;2014;236;105;3;;8;26;15;;79;
Aragoiânia;2015;260;100;;;39;45;25;;51;
Aragoiânia;2016;267;56;;;41;49;18;;103;
Aragoiânia;2017;365;44;;;9;30;20;;262;
Aragoiânia;2018;329;35;0;0;47;29;19;0;199;329
Araguapaz;1999;36;7;;;2;4;13;;9;1
Araguapaz;2000;40;5;;;1;2;3;;29;
Araguapaz;2001;32;7;;;1;;4;;20;
Araguapaz;2002;39;4;;;;;1;;34;
Araguapaz;2003;59;9;;;;1;2;;47;
Araguapaz;2004;55;6;;;;3;2;;44;
Araguapaz;2005;44;3;;;;1;5;;35;
Araguapaz;2006;66;1;;;;2;15;;48;
Araguapaz;2007;52;;;;;6;1;;45;
Araguapaz;2008;180;;;;;12;5;;163;
Araguapaz;2009;202;;;;;12;5;;185;
Araguapaz;2010;94;2;;;;17;5;;70;
Araguapaz;2011;138;11;;;6;28;7;;86;
Araguapaz;2012;152;25;5;;;36;16;;70;
Araguapaz;2013;156;16;11;;1;40;15;;73;
