Localidade;Ano;IDM Economia;EquilibrioOrcamentarioMunicipio;EvolucaoPIB;RecursosProprios;PIBperCapita;SetorAgropecuario;SetorIndustrial;SetorServicos
Valparaíso de Goiás;2018;1,84;4,25;2,1;0,51;5,14;0;0,44;0,44
Varjão;2012;1,17428571428571;3,9;2,05;1,82;0,29;0,16;0;0
Varjão;2012;1,17428571428571;3,9;2,05;0,29;1,82;0,16;0;0
Varjão;2014;1,65285714285714;6,16;2,57;2,36;0,34;0,14;0;0
Varjão;2014;1,65285714285714;6,16;2,57;0,34;2,36;0,14;0;0
Varjão;2016;1,49285714285714;3,47;4,14;2,16;0,52;0,15;0;0,01
Varjão;2016;1,49285714285714;3,47;4,14;0,52;2,16;0,15;0;0,01
Varjão;2018;1,14714285714286;3,47;1,69;2,16;0,54;0,17;0;0
Varjão;2018;1,14714285714286;3,47;1,69;0,54;2,16;0,17;0;0
Vianópolis;2012;1,08714285714286;1,93;1,9;2,15;0,7;0,83;0,06;0,04
Vianópolis;2012;1,08714285714286;1,93;1,9;0,7;2,15;0,83;0,06;0,04
Vianópolis;2014;2,01571428571429;5,98;3,09;3,22;0,85;0,89;0,04;0,04
Vianópolis;2014;2,01571428571429;5,98;3,09;0,85;3,22;0,89;0,04;0,04
Vianópolis;2016;2,01428571428571;3,04;4,88;3,78;1,39;0,92;0,04;0,05
Vianópolis;2016;2,01428571428571;3,04;4,88;1,39;3,78;0,92;0,04;0,05
Vianópolis;2018;1,68714285714286;3,04;2,47;3,78;1,42;1,01;0,04;0,05
Vianópolis;2018;1,68714285714286;3,04;2,47;1,42;3,78;1,01;0,04;0,05
Vicentinópolis;2012;0,974285714285714;2,78;1,25;1,17;0,83;0,74;0,03;0,02
Vicentinópolis;2012;0,974285714285714;2,78;1,25;0,83;1,17;0,74;0,03;0,02
Vicentinópolis;2014;1,97857142857143;5,97;3,98;1,42;1,43;0,98;0,04;0,03
Vicentinópolis;2014;1,97857142857143;5,97;3,98;1,43;1,42;0,98;0,04;0,03
Vicentinópolis;2016;2,36714285714286;3,28;6,66;3,19;2,34;1,02;0,05;0,03
Vicentinópolis;2016;2,36714285714286;3,28;6,66;2,34;3,19;1,02;0,05;0,03
Vicentinópolis;2018;1,81285714285714;3,28;2,55;3,19;2,42;1,16;0,06;0,03
Vicentinópolis;2018;1,81285714285714;3,28;2,55;2,42;3,19;1,16;0,06;0,03
Vila Boa;2012;1,06714285714286;3,66;1,33;1,4;0,68;0,37;0,02;0,01
Vila Boa;2012;1,06714285714286;3,66;1,33;0,68;1,4;0,37;0,02;0,01
Vila Boa;2014;1,52571428571429;6,39;2,31;0,98;0,71;0,26;0,02;0,01
Vila Boa;2014;1,52571428571429;6,39;2,31;0,71;0,98;0,26;0,02;0,01
Vila Boa;2016;1,63428571428571;4,09;3,84;1,89;1,25;0,34;0,02;0,01
Vila Boa;2016;1,63428571428571;4,09;3,84;1,25;1,89;0,34;0,02;0,01
Vila Boa;2018;1,58428571428571;4,09;3,56;1,89;1,14;0,38;0,02;0,01
Vila Boa;2018;1,58428571428571;4,09;3,56;1,14;1,89;0,38;0,02;0,01
Vila Propício;2012;1,35;5,12;1,06;1,45;0,93;0,86;0,02;0,01
Vila Propício;2012;1,35;5,12;1,06;0,93;1,45;0,86;0,02;0,01
Vila Propício;2014;1,84857142857143;6,45;3,44;1,26;0,94;0,82;0,02;0,01
Vila Propício;2014;1,84857142857143;6,45;3,44;0,94;1,26;0,82;0,02;0,01
Vila Propício;2016;1,63142857142857;3,96;4,17;0,66;1,83;0,77;0,02;0,01
Vila Propício;2016;1,63142857142857;3,96;4,17;1,83;0,66;0,77;0,02;0,01
Vila Propício;2018;1,66571428571429;3,96;3,83;0,66;2,13;1,05;0,02;0,01
Vila Propício;2018;1,66571428571429;3,96;3,83;2,13;0,66;1,05;0,02;0,01
